raceid,kind,combo,payout
01261605,単勝,11,240
01261605,複勝,11,120
01261605,複勝,13,150
01261605,複勝,10,400
01261605,枠連,7 - 8,240
01261605,馬連,11 - 13,570
01261605,ワイド,11 - 13,290
01261605,ワイド,10 - 11,1040
01261605,ワイド,10 - 13,1140
01261605,馬単,11 → 13,1080
01261605,三連複,10 - 11 - 13,4030
01261605,三連単,11 → 13 → 10,11930
01261610,単勝,3,1220
01261610,複勝,3,220
01261610,複勝,13,110
01261610,複勝,8,110
01261610,枠連,3 - 8,840
01261610,馬連,3 - 13,1120
01261610,ワイド,3 - 13,430
01261610,ワイド,3 - 8,470
01261610,ワイド,8 - 13,150
01261610,馬単,3 → 13,2970
01261610,三連複,3 - 8 - 13,820
01261610,三連単,3 → 13 → 8,8690
01261611,単勝,10,360
01261611,複勝,10,170
01261611,複勝,13,190
01261611,複勝,2,450
01261611,枠連,5 - 7,510
01261611,馬連,10 - 13,940
01261611,ワイド,10 - 13,440
01261611,ワイド,2 - 10,1010
01261611,ワイド,2 - 13,1580
01261611,馬単,10 → 13,1800
01261611,三連複,2 - 10 - 13,4590
01261611,三連単,10 → 13 → 2,19480
01261612,単勝,4,780
01261612,複勝,4,190
01261612,複勝,5,250
01261612,複勝,1,170
01261612,馬連,4 - 5,2270
01261612,ワイド,4 - 5,500
01261612,ワイド,1 - 4,410
01261612,ワイド,1 - 5,500
01261612,馬単,4 → 5,4960
01261612,三連複,1 - 4 - 5,2280
01261612,三連単,4 → 5 → 1,17500
04262602,単勝,6,280
04262602,複勝,6,140
04262602,複勝,7,200
04262602,複勝,5,130
04262602,枠連,6 - 6,1650
04262602,馬連,6 - 7,1670
04262602,ワイド,6 - 7,580
04262602,ワイド,5 - 6,230
04262602,ワイド,5 - 7,540
04262602,馬単,6 → 7,2580
04262602,三連複,5 - 6 - 7,1390
04262602,三連単,6 → 7 → 5,7360
04262606,単勝,1,120
04262606,複勝,1,110
04262606,複勝,3,180
04262606,複勝,9,750
04262606,枠連,1 - 3,480
04262606,馬連,1 - 3,490
04262606,ワイド,1 - 3,240
04262606,ワイド,1 - 9,1340
04262606,ワイド,3 - 9,3900
04262606,馬単,1 → 3,540
04262606,三連複,1 - 3 - 9,7160
04262606,三連単,1 → 3 → 9,14550
04262607,単勝,4,2080
04262607,複勝,4,400
04262607,複勝,11,190
04262607,複勝,12,130
04262607,枠連,4 - 8,1840
04262607,馬連,4 - 11,5680
04262607,ワイド,4 - 11,1550
04262607,ワイド,4 - 12,870
04262607,ワイド,11 - 12,330
04262607,馬単,4 → 11,13190
04262607,三連複,4 - 11 - 12,3980
04262607,三連単,4 → 11 → 12,43120
04262608,単勝,17,420
04262608,複勝,17,170
04262608,複勝,11,130
04262608,複勝,8,250
04262608,枠連,6 - 8,350
04262608,馬連,11 - 17,690
04262608,ワイド,11 - 17,300
04262608,ワイド,8 - 17,980
04262608,ワイド,8 - 11,460
04262608,馬単,17 → 11,1140
04262608,三連複,8 - 11 - 17,2430
04262608,三連単,17 → 11 → 8,9950
07262602,単勝,2,550
07262602,複勝,2,120
07262602,複勝,3,110
07262602,複勝,1,110
07262602,枠連,2 - 3,600
07262602,馬連,2 - 3,560
07262602,ワイド,2 - 3,210
07262602,ワイド,1 - 2,220
07262602,ワイド,1 - 3,140
07262602,馬単,2 → 3,1320
07262602,三連複,1 - 2 - 3,270
07262602,三連単,2 → 3 → 1,2310
07262603,単勝,6,150
07262603,複勝,6,100
07262603,複勝,2,100
07262603,複勝,7,120
07262603,馬連,2 - 6,160
07262603,ワイド,2 - 6,110
07262603,ワイド,6 - 7,180
07262603,ワイド,2 - 7,240
07262603,馬単,6 → 2,230
07262603,三連複,2 - 6 - 7,250
07262603,三連単,6 → 2 → 7,820
07262606,単勝,5,340
07262606,複勝,5,180
07262606,複勝,2,230
07262606,馬連,2 - 5,790
07262606,ワイド,2 - 5,240
07262606,ワイド,1 - 5,180
07262606,ワイド,1 - 2,210
07262606,馬単,5 → 2,1500
07262606,三連複,1 - 2 - 5,570
07262606,三連単,5 → 2 → 1,3990
07262607,単勝,2,3510
07262607,複勝,2,640
07262607,複勝,3,190
07262607,複勝,6,250
07262607,枠連,1 - 2,4520
07262607,馬連,2 - 3,9220
07262607,ワイド,2 - 3,2260
07262607,ワイド,2 - 6,2830
07262607,ワイド,3 - 6,750
07262607,馬単,2 → 3,25490
07262607,三連複,2 - 3 - 6,19470
07262607,三連単,2 → 3 → 6,162460
07262608,単勝,11,160
07262608,複勝,11,110
07262608,複勝,4,140
07262608,複勝,2,140
07262608,枠連,4 - 8,390
07262608,馬連,4 - 11,380
07262608,ワイド,4 - 11,210
07262608,ワイド,2 - 11,220
07262608,ワイド,2 - 4,450
07262608,馬単,11 → 4,520
07262608,三連複,2 - 4 - 11,630
07262608,三連単,11 → 4 → 2,1760
