ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘
2026072601010207,1,07252139,7,         72,  57.6,  14.4,  11.5,   1.9,   6.4,   2.4,   0.0
2026072601010207,1,07252147,7,        149,  14.9,  13.2,   8.5,   2.8,   4.1,   3.0,  14.9
2026072601010207,1,07252155,7,        227,  20.1,   8.6,  12.1,   2.6,   2.8,   4.4,  20.1
2026072601010207,1,07252204,7,        326,  16.3,   5.4,   4.9,   3.1,   3.6,   6.0,  20.0
2026072601010207,1,07252212,7,        408,  11.2,   5.0,   5.9,   3.7,   3.7,   5.3,  13.6
2026072601010207,1,07252220,7,        550,  12.9,   5.5,   5.4,   3.7,   3.3,   6.1,  13.3
2026072601010207,1,07252228,7,        597,  14.0,   5.6,   5.3,   3.4,   3.3,   6.2,  14.4
2026072601010207,1,07252237,7,        711,  15.3,   4.3,   6.1,   3.5,   3.6,   5.6,  16.7
2026072601010207,1,07252245,7,        753,  13.6,   4.3,   6.2,   3.4,   3.7,   5.8,  16.7
2026072601010207,1,07252253,7,        805,  14.0,   4.3,   6.1,   3.5,   3.6,   5.9,  16.9
2026072601010207,1,07252301,7,        844,  13.5,   4.3,   6.1,   3.5,   3.6,   5.9,  16.4
2026072601010207,1,07252310,7,        924,  13.9,   4.5,   6.3,   3.8,   3.1,   6.1,  16.0
2026072601010207,1,07252318,7,       1022,  14.6,   4.9,   4.8,   4.1,   3.4,   5.5,  16.0
2026072601010207,1,07252326,7,       1087,  14.2,   4.9,   4.9,   4.2,   3.3,   5.8,  15.5
2026072601010207,1,07252335,7,       1160,  14.7,   5.0,   5.2,   4.4,   3.0,   5.6,  16.5
2026072601010207,1,07252343,7,       1223,  14.8,   5.2,   5.5,   4.4,   2.9,   5.5,  17.1
2026072601010207,1,07252351,7,       1253,  15.1,   5.3,   5.4,   4.4,   2.8,   5.6,  17.2
2026072601010207,1,07252359,7,       1337,  15.2,   5.0,   5.6,   4.2,   2.9,   5.6,  18.4
2026072601010207,1,07260008,7,       1381,  15.3,   5.0,   5.8,   4.1,   2.9,   5.6,  18.4
2026072601010207,1,07260016,7,       1443,  15.8,   4.9,   5.9,   4.0,   2.8,   5.8,  18.9
2026072601010207,1,07260024,7,       1474,  15.7,   5.0,   6.1,   4.0,   2.7,   6.0,  19.0
2026072601010207,1,07260032,7,       1646,  17.5,   5.4,   5.9,   4.0,   2.6,   5.9,  21.2
2026072601010207,1,07260041,7,       1690,  18.0,   5.4,   5.6,   3.9,   2.7,   5.9,  21.4
