ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026072601010209,1,07252140,8,         98,  39.2,   5.6,  78.4,  26.1,  26.1,   2.0,   5.2,   3.7
2026072601010209,1,07252148,8,        527,  22.1,  21.0,  35.1,  70.2,   1.2,   6.0,  12.7,  16.2
2026072601010209,1,07252156,8,        598,  15.4,  15.9,  31.8,  68.3,   1.3,   5.3,  14.0,  13.6
2026072601010209,1,07252204,8,        791,  18.0,  19.7,  31.6,  48.6,   1.6,   3.0,  15.8,  11.5
2026072601010209,1,07252213,8,        852,  16.6,  19.4,  34.0,  45.4,   1.6,   3.2,  13.9,  10.0
2026072601010209,1,07252221,8,       1158,  17.8,  21.0,  37.0,  54.4,   1.4,   4.1,  14.0,  12.1
2026072601010209,1,07252229,8,       1909,  28.8,  31.1,  36.3,  84.8,   1.1,   6.5,  21.2,  19.3
2026072601010209,1,07252237,8,       3041,  41.2,  41.2,  55.2, 135.1,   1.1,  10.1,  19.4,  26.4
2026072601010209,1,07252246,8,       4419,  42.5,  50.5,  80.3, 196.4,   1.1,  14.6,  25.2,  38.0
2026072601010209,1,07252254,8,       5566,  20.7,   8.3,  30.0,  37.1,   1.1,  12.3,  18.3,  22.4
2026072601010209,1,07252302,8,       5597,  19.6,   8.3,  29.8,  36.7,   1.1,  12.3,  18.3,  22.0
2026072601010209,1,07252310,8,       5671,  19.0,   8.3,  29.8,  37.1,   1.2,  12.1,  16.6,  21.8
2026072601010209,1,07252319,8,       5731,  18.8,   7.9,  30.1,  37.2,   1.2,  12.0,  16.8,  21.6
2026072601010209,1,07252327,8,       5840,  17.5,   7.5,  30.3,  37.6,   1.2,  11.9,  16.5,  20.4
2026072601010209,1,07252335,8,       5997,  17.7,   7.6,  31.1,  38.6,   1.2,   9.4,  17.0,  18.8
2026072601010209,1,07252344,8,       6312,  16.6,   7.8,  32.7,  40.3,   1.2,   9.5,  17.4,  19.6
2026072601010209,1,07252352,8,       6325,  16.5,   7.8,  32.6,  40.4,   1.2,   9.5,  17.4,  19.6
2026072601010209,1,07260008,8,       7022,  17.8,   8.5,  36.2,  44.5,   1.2,   8.7,  18.7,  21.1
2026072601010209,1,07260017,8,       7090,  17.8,   8.1,  35.2,  44.3,   1.2,   8.7,  18.6,  20.9
2026072601010209,1,07260025,8,       7157,  17.6,   8.2,  34.9,  44.7,   1.2,   8.8,  17.6,  19.4
2026072601010209,1,07260033,8,       7316,  16.4,   7.8,  35.6,  45.7,   1.2,   8.8,  17.9,  16.8
2026072601010209,1,07260041,8,       7366,  16.5,   7.8,  35.9,  46.0,   1.2,   8.6,  17.9,  16.4
