ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘
2026062802010605,1,06271934,6,          4,   0.0,   1.1,   3.2,   0.0,   0.0,   0.0
2026062802010605,1,06271943,6,         77,   8.8,   1.1,  61.6,  30.8,   0.0,  15.4
2026062802010605,1,06271951,6,        200,   7.2,   1.1,  53.3,   8.4, 160.0,  11.4
2026062802010605,1,06271959,6,        308,   8.2,   1.4,  12.3,   4.4,  82.1,   9.4
2026062802010605,1,06272007,6,        520,  11.5,   1.2,  15.4,   6.8,  46.2,   9.9
2026062802010605,1,06272016,6,        578,   9.4,   1.2,  15.4,   6.7,  35.5,   9.6
2026062802010605,1,06272024,6,        903,   8.9,   1.2,  20.6,   6.9,  42.4,   9.5
2026062802010605,1,06272032,6,        958,   8.6,   1.2,  20.7,   7.0,  45.0,   9.3
2026062802010605,1,06272040,6,       1032,   8.7,   1.2,  19.2,   6.7,  39.3,   9.8
2026062802010605,1,06272049,6,       1131,   7.9,   1.2,  17.7,   6.9,  33.5,   9.1
2026062802010605,1,06272057,6,       1313,   7.4,   1.2,  16.4,   7.9,  33.8,   8.6
2026062802010605,1,06272105,6,       1363,   7.0,   1.2,  17.0,   7.8,  35.1,   8.3
2026062802010605,1,06272113,6,       1470,   6.5,   1.3,  17.0,   8.1,  31.7,   8.5
2026062802010605,1,06272122,6,       1527,   6.4,   1.3,  17.2,   7.4,  32.1,   8.5
2026062802010605,1,06272130,6,       1702,   6.6,   1.3,  17.2,   7.7,  30.9,   6.9
2026062802010605,1,06272138,6,       1770,   6.6,   1.3,  17.0,   7.9,  30.1,   6.7
2026062802010605,1,06272146,6,       1854,   6.4,   1.3,  17.4,   8.0,  27.9,   6.3
2026062802010605,1,06272155,6,       1924,   6.5,   1.4,  16.9,   7.1,  24.0,   6.4
2026062802010605,1,06272203,6,       2174,   6.3,   1.3,  16.1,   7.6,  24.1,   7.0
2026062802010605,1,06272211,6,       2416,   5.0,   1.4,  17.2,   8.4,  24.7,   7.7
2026062802010605,1,06272219,6,       2554,   4.6,   1.4,  17.9,   8.4,  25.5,   7.8
2026062802010605,1,06272228,6,       2657,   4.7,   1.4,  18.1,   8.7,  22.1,   7.8
2026062802010605,1,06272236,6,       2829,   4.7,   1.4,  18.1,   9.0,  23.3,   7.5
2026062802010605,1,06272244,6,       3005,   4.9,   1.4,  13.8,   9.5,  24.7,   7.8
2026062802010605,1,06272252,6,       3089,   4.8,   1.4,  14.1,   9.1,  24.4,   7.7
2026062802010605,1,06272301,6,       3226,   5.0,   1.4,  14.2,   9.0,  23.4,   7.3
2026062802010605,1,06272309,6,       3341,   4.9,   1.4,  14.1,   8.5,  23.0,   7.4
2026062802010605,1,06272317,6,       3398,   4.9,   1.4,  14.0,   8.5,  22.8,   7.4
2026062802010605,1,06272325,6,       3511,   4.6,   1.4,  14.1,   8.2,  23.2,   7.4
2026062802010605,1,06272334,6,       3591,   4.6,   1.5,  13.8,   8.1,  23.3,   7.5
2026062802010605,1,06272342,6,       3672,   4.5,   1.5,  13.6,   8.2,  22.4,   7.5
2026062802010605,1,06272350,6,       3734,   4.5,   1.5,  13.0,   8.3,  21.8,   7.5
2026062802010605,1,06272358,6,       3777,   4.5,   1.5,  12.4,   8.4,  21.4,   7.5
2026062802010605,1,06280007,6,       3807,   4.5,   1.5,  12.3,   8.4,  21.6,   7.5
2026062802010605,1,06280015,6,       3914,   4.6,   1.5,  11.6,   7.9,  22.2,   7.7
2026062802010605,1,06280023,6,       4020,   4.6,   1.5,  11.3,   7.9,  21.2,   7.7
2026062802010605,1,06280031,6,       4113,   4.7,   1.5,  11.5,   7.8,  20.4,   7.6
2026062802010605,1,06280040,6,       4225,   4.7,   1.5,  11.3,   7.8,  20.3,   7.7
2026062802010605,1,06280048,6,       4343,   4.6,   1.5,  11.3,   7.9,  20.8,   7.7
2026062802010605,1,06280056,6,       4400,   4.6,   1.5,  11.4,   7.9,  21.0,   7.7
