ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘
2026062802010610,1,06271940,11,         85,  34.0,   0.0,  68.0,  34.0,  68.0,  22.6,   0.0,   0.0,   0.0,   1.1,   0.0
2026062802010610,1,06271949,11,        234,  18.7,  62.4,  23.4,  11.7,  93.6,   2.8,  11.0,  37.4,   8.5,   2.2,  62.4
2026062802010610,1,06271957,11,        382,  13.8,   5.3,  38.2,  10.1,  33.9,   3.6,  13.8,  27.7,   7.8,   3.3,  38.2
2026062802010610,1,06272005,11,        600,  18.4,   7.8,  60.0,  13.7,  34.2,   4.9,  21.8,  36.9,  10.0,   1.8,  40.0
2026062802010610,1,06272013,11,        640,  14.6,   8.1,  64.0,  13.4,  28.4,   5.0,  20.4,  36.5,   9.1,   1.9,  39.3
2026062802010610,1,06272022,11,       1159,  15.7,  13.4,  92.7,   2.6,  42.1,   4.4,  27.2,  25.0,  14.7,   3.3,  40.3
2026062802010610,1,06272030,11,       1338,   9.3,  14.6,  71.3,   2.9,  46.5,   4.5,  19.8,  26.7,  14.2,   3.3,  41.1
2026062802010610,1,06272038,11,       1514,   9.6,  15.7,  75.7,   3.1,  25.7,   4.4,  20.8,  28.1,  14.5,   3.2,  39.0
2026062802010610,1,06272046,11,       1735,   5.5,  16.9,  51.4,   3.6,  22.3,   4.7,  17.1,  29.5,  14.4,   3.6,  43.3
2026062802010610,1,06272055,11,       1874,   5.7,  15.7,  51.6,   3.8,  20.2,   4.5,  15.4,  28.8,  13.2,   3.7,  44.0
2026062802010610,1,06272103,11,       1903,   5.7,  15.8,  50.7,   3.8,  20.2,   4.5,  15.3,  28.1,  12.7,   3.7,  43.4
2026062802010610,1,06272111,11,       2047,   5.7,  13.9,  49.6,   4.1,  20.4,   4.2,  14.3,  29.7,  13.3,   3.8,  46.7
