ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘
2026070502010805,1,07041934,5,          1,   0.0,   0.0,   1.0,   0.0,   0.0
2026070502010805,1,07041943,5,        304,   1.1,   4.4,  14.3,  14.3, 243.2
2026070502010805,1,07041951,5,        936,   1.1,   7.2,  17.4,   5.3,  53.4
2026070502010805,1,07041959,5,       1128,   1.3,   4.8,   7.9,   5.8,  45.1
2026070502010805,1,07042007,5,       1369,   1.4,   4.1,   6.5,   6.3,  35.3
2026070502010805,1,07042016,5,       1507,   1.5,   3.8,   5.7,   6.3,  33.4
2026070502010805,1,07042024,5,       1764,   1.6,   3.6,   5.4,   6.9,  28.2
2026070502010805,1,07042032,5,       2004,   1.5,   3.8,   5.4,   7.5,  22.5
2026070502010805,1,07042040,5,       2359,   1.7,   3.6,   4.1,   7.9,  20.7
2026070502010805,1,07042049,5,       3071,   1.7,   3.9,   3.7,   9.3,  23.3
2026070502010805,1,07042057,5,       4394,   1.7,   4.1,   4.0,   7.1,  15.6
2026070502010805,1,07042105,5,       4603,   1.8,   4.0,   4.1,   6.6,  16.0
2026070502010805,1,07042113,5,       5294,   1.9,   3.9,   4.5,   4.7,  15.8
2026070502010805,1,07042122,5,       5640,   1.9,   3.9,   4.6,   5.0,  15.1
2026070502010805,1,07042130,5,       6899,   1.7,   3.8,   4.8,   6.0,  17.1
2026070502010805,1,07042138,5,       7103,   1.8,   3.8,   4.6,   6.0,  16.8
2026070502010805,1,07042146,5,       7591,   1.8,   3.8,   4.3,   6.2,  16.5
2026070502010805,1,07042155,5,       7815,   1.8,   3.8,   4.3,   6.3,  16.0
2026070502010805,1,07042203,5,       8544,   1.8,   3.9,   4.5,   6.7,  10.8
2026070502010805,1,07042211,5,       8679,   1.8,   3.9,   4.4,   6.6,  10.7
2026070502010805,1,07042219,5,       9173,   1.8,   3.9,   4.4,   6.6,  10.9
2026070502010805,1,07042228,5,       9258,   1.8,   3.9,   4.4,   6.6,  11.0
2026070502010805,1,07042236,5,       9709,   1.9,   3.8,   4.2,   6.8,  10.9
2026070502010805,1,07042244,5,       9923,   1.9,   3.8,   4.2,   6.9,  10.8
2026070502010805,1,07042252,5,      10185,   1.9,   3.8,   4.2,   7.1,  10.7
2026070502010805,1,07042301,5,      10441,   1.9,   3.8,   4.2,   7.2,  10.9
2026070502010805,1,07042309,5,      10918,   1.9,   3.8,   4.1,   7.4,  10.9
2026070502010805,1,07042317,5,      11135,   1.9,   3.7,   4.2,   7.4,  11.0
2026070502010805,1,07042325,5,      11431,   1.9,   3.7,   4.1,   7.5,  10.6
2026070502010805,1,07042334,5,      11574,   1.9,   3.7,   4.1,   7.5,  10.6
2026070502010805,1,07042342,5,      11753,   1.9,   3.6,   4.1,   7.5,  10.4
2026070502010805,1,07042350,5,      11898,   1.9,   3.6,   4.1,   7.6,  10.2
2026070502010805,1,07042358,5,      12084,   1.9,   3.6,   4.1,   7.6,  10.1
2026070502010805,1,07050007,5,      12207,   1.9,   3.6,   4.1,   7.7,  10.2
2026070502010805,1,07050015,5,      12312,   1.9,   3.6,   4.1,   7.7,  10.0
2026070502010805,1,07050023,5,      12624,   1.9,   3.6,   4.1,   7.8,   9.5
2026070502010805,1,07050031,5,      12756,   1.9,   3.7,   4.1,   7.7,   9.5
2026070502010805,1,07050040,5,      12858,   1.9,   3.7,   4.1,   7.7,   9.4
