ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026071102010904,1,07101834,14,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071102010904,1,07101842,14,         41,  16.4,  16.4,  32.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  32.8,  10.9,  16.4,   1.1,   0.0
2026071102010904,1,07101850,14,         89,   7.9,   7.1,  35.6,   0.0,  71.2,   0.0,  71.2,   0.0,   0.0,   6.4,   8.9,   7.1,   2.0,  35.6
2026071102010904,1,07101858,14,         92,   7.3,   7.3,  36.8,   0.0,  73.6,   0.0,  73.6,   0.0,   0.0,   6.1,   9.2,   7.3,   2.1,  24.5
2026071102010904,1,07101907,14,        105,   8.4,   6.0,  28.0,   0.0,  42.0,   0.0,  42.0,   0.0,  42.0,   5.6,  10.5,   8.4,   2.4,  21.0
2026071102010904,1,07101915,14,        127,  10.1,   6.3,  25.4,   0.0,  33.8,   0.0,  50.8,   0.0,  50.8,   3.2,  12.7,   9.2,   2.9,  20.3
2026071102010904,1,07101923,14,        264,  19.2,  10.0,  42.2,   6.8,  42.2, 211.2, 105.6, 211.2,  70.4,   5.0,  15.0,  17.6,   5.8,   2.6
2026071102010904,1,07101931,14,        315,  16.8,  10.5,  25.2,   7.8,  50.4, 252.0,  84.0, 126.0,  84.0,   3.5,  18.0,  18.0,   7.0,   3.0
2026071102010904,1,07101940,14,        367,  19.5,  10.1,  16.3,   8.6,  41.9, 293.6,  48.9,  16.3,  97.8,   3.9,  20.9,  10.4,   8.1,   3.4
2026071102010904,1,07101948,14,        389,  20.7,   9.1,  13.5,   8.6,  44.4, 311.2,  44.4,  17.2, 103.7,   4.0,  20.7,  10.7,   8.6,   3.4
2026071102010904,1,07101956,14,        511,  22.7,   9.7,  11.0,   7.8,  19.4, 102.2,  51.1,  21.5,  81.7,   3.5,  22.7,  13.1,   8.6,   4.3
2026071102010904,1,07102004,14,        566,  23.8,   9.2,  11.6,   8.2,  19.6, 113.2,  50.3,  20.5,  90.5,   3.4,  21.5,  13.7,   9.4,   4.1
2026071102010904,1,07102013,14,        763,   4.5,  11.7,  13.8,  10.0,  14.1, 101.7,  55.4,  24.4,  87.2,   4.3,  24.4,  16.0,  12.2,   4.8
2026071102010904,1,07102021,14,        846,   4.6,  10.9,  10.5,   9.1,  15.0,  96.6,  61.5,  24.1,  96.6,   4.5,  18.2,  16.9,  13.5,   5.3
2026071102010904,1,07102029,14,        917,   4.9,  11.1,  10.0,   9.2,  14.1, 104.8,  33.3,  25.2, 104.8,   4.9,  17.4,  13.1,  14.3,   5.3
2026071102010904,1,07102037,14,        997,   4.7,  11.7,  10.9,  10.0,  15.3,  79.7,  34.6,  25.7, 113.9,   4.4,  18.9,  11.0,  15.6,   5.6
2026071102010904,1,07102046,14,       1078,   5.0,  11.6,  11.4,   8.5,  15.4,  66.3,  33.1,  26.9,  95.8,   4.5,  15.1,  10.6,  16.9,   6.0
2026071102010904,1,07102054,14,       1230,   5.6,  12.7,  13.1,   9.6,  14.4,  75.6,  33.9,  30.7, 109.3,   4.9,  17.2,  10.2,  18.5,   3.9
2026071102010904,1,07102102,14,       1304,   5.7,  12.4,  13.0,  10.2,  15.1,  69.5,  26.0,  32.6, 115.9,   5.1,  17.6,  10.6,  19.3,   3.7
2026071102010904,1,07102110,14,       1356,   5.5,  12.7,  13.2,  10.4,  15.2,  72.3,  27.1,  33.9, 120.5,   4.8,  17.7,  10.5,  20.0,   3.8
2026071102010904,1,07102119,14,       1423,   5.7,  12.3,  13.5,  10.3,  15.1,  71.1,  27.1,  33.4, 126.4,   4.7,  18.0,  10.5,  20.6,   3.8
2026071102010904,1,07102127,14,       1539,   5.9,  11.9,  14.6,  10.8,  15.7,  55.9,  29.3,  35.1, 123.1,   5.0,  18.6,  10.8,  21.2,   3.4
2026071102010904,1,07102135,14,       1607,   6.0,  12.3,  14.1,   9.9,  13.9,  51.4,  29.8,  36.7, 107.1,   5.1,  19.1,  10.9,  22.1,   3.4
2026071102010904,1,07102143,14,       1675,   6.0,  12.5,  13.8,   9.3,  13.8,  53.6,  28.5,  33.5,  95.7,   5.2,  20.0,  10.7,  23.1,   3.5
2026071102010904,1,07102152,14,       1872,   6.3,  11.6,  10.3,  10.2,  12.9,  42.7,  29.9,  35.6,  65.1,   5.1,  22.3,  11.4,  23.7,   3.7
2026071102010904,1,07102200,14,       1922,   6.4,  11.8,  10.6,  10.5,  13.1,  43.9,  27.4,  36.6,  66.8,   5.0,  22.9,  10.3,  24.4,   3.7
2026071102010904,1,07102208,14,       2009,   6.6,  11.3,  10.1,  10.3,  12.0,  44.6,  28.7,  35.7,  64.2,   5.2,  22.6,  10.4,  25.1,   3.7
2026071102010904,1,07102216,14,       2099,   6.7,  10.8,  10.3,   9.2,  12.4,  45.3,  29.9,  37.3,  67.1,   5.3,  23.0,  10.5,  26.2,   3.8
2026071102010904,1,07102225,14,       2165,   6.9,  10.6,  10.5,   9.4,  11.5,  46.8,  30.3,  36.0,  69.2,   5.3,  21.1,  10.1,  27.0,   3.8
2026071102010904,1,07102233,14,       2333,   7.2,  10.9,   9.9,   9.5,  11.5,  41.4,  30.5,  38.8,  74.6,   5.6,  22.4,  10.7,  25.2,   3.5
2026071102010904,1,07102246,14,       2603,   6.6,  11.0,  10.1,  10.3,   8.9,  42.4,  33.5,  37.8,  77.1,   5.7,  23.3,  11.0,  27.4,   3.7
2026071102010904,1,07102254,14,       2910,   7.3,  12.0,  10.7,  11.5,   7.6,  45.6,  34.7,  42.3,  80.2,   6.0,  23.5,   6.8,  29.8,   4.0
2026071102010904,1,07102302,14,       3015,   7.6,  10.6,  11.1,   9.5,   7.8,  46.3,  33.5,  43.0,  80.4,   6.2,  23.8,   7.0,  30.5,   4.2
2026071102010904,1,07102310,14,       3120,   7.7,  10.9,  11.3,   9.3,   7.7,  47.0,  34.6,  43.7,  75.6,   6.2,  24.0,   7.1,  31.5,   4.0
2026071102010904,1,07102319,14,       3335,   7.8,  10.6,  11.0,   9.6,   8.2,  50.3,  15.4,  43.0,  80.8,   6.5,  25.4,   7.6,  28.6,   4.2
2026071102010904,1,07102327,14,       3499,   7.4,  10.6,  10.9,   9.7,   8.3,  49.1,  15.9,  38.3,  82.3,   6.7,  25.2,   7.6,  29.7,   4.2
2026071102010904,1,07102335,14,       3590,   7.1,  10.6,  10.5,   9.9,   8.1,  50.3,  16.3,  39.3,  84.4,   6.7,  25.1,   7.8,  29.0,   4.3
2026071102010904,1,07102343,14,       3752,   7.1,  10.5,  10.9,  10.1,   7.7,  52.6,  17.0,  40.0,  88.2,   6.5,  25.8,   7.8,  30.3,   4.2
2026071102010904,1,07102352,14,       3803,   7.2,  10.5,  10.7,  10.2,   7.8,  44.7,  17.1,  40.5,  89.4,   6.5,  25.3,   7.9,  30.1,   4.3
2026071102010904,1,07110008,14,       3885,   7.3,  10.5,  10.8,  10.2,   7.7,  45.7,  17.5,  41.4,  91.4,   6.3,  24.8,   7.9,  30.4,   4.3
2026071102010904,1,07110016,14,       3956,   7.4,  10.5,  10.8,   9.4,   7.6,  46.5,  17.7,  42.1,  93.0,   6.4,  25.1,   8.0,  30.7,   4.3
2026071102010904,1,07110025,14,       4002,   7.4,  10.5,  10.7,   9.2,   7.7,  47.0,  17.8,  42.1,  94.1,   6.4,  25.2,   8.0,  31.0,   4.3
