ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘
2026071202011002,1,07111933,13,         10,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071202011002,1,07111941,13,         65,   2.6,  52.0,  52.0,   0.0,  26.0,   4.7,  10.4,  26.0,   3.0,  52.0,  52.0,  26.0,  26.0
2026071202011002,1,07111950,13,        251,   6.0,  13.3,  20.0, 100.4, 100.4,   8.3,  16.7,  50.2,   1.5,  18.2,  50.2,  66.9,  66.9
2026071202011002,1,07111958,13,        374,   8.3,  11.0,  24.9,  99.7, 149.6,   6.8,   8.3,  59.8,   1.8,  24.9,  27.2,  74.8,  17.6
2026071202011002,1,07112006,13,        753,  13.0,  17.2,   3.6, 120.4, 150.6,  10.9,  10.2,  18.8,   2.3,  18.2,  33.4,  75.3,  19.4
2026071202011002,1,07112014,13,        905,  15.7,  16.8,   4.3, 103.4, 181.0,   9.1,   8.3,  17.2,   2.1,  20.1,  38.1,  80.4,  20.6
2026071202011002,1,07112023,13,       2201,  29.8,  30.8,  10.1, 103.5, 352.1,   8.9,  13.0,  37.4,   1.2,  45.1,  83.8, 135.4,  41.9
2026071202011002,1,07112031,13,       2356,  31.4,  22.4,  10.8, 104.7, 269.2,   8.7,  13.3,  33.6,   1.2,  31.9,  67.3, 125.6,  43.8
2026071202011002,1,07112039,13,       2607,  34.1,  21.5,  11.3, 109.7, 260.7,   7.3,   9.6,  37.2,   1.3,  34.1,  69.5, 139.0,  46.3
2026071202011002,1,07112047,13,       2751,  36.0,  21.5,  12.0,  91.7, 220.0,   7.1,   8.3,  36.0,   1.4,  32.8,  68.7, 146.7,  38.6
2026071202011002,1,07112056,13,       3088,  34.3,  13.4,  12.4,  57.4, 205.8,   7.1,   6.9,  40.4,   1.5,  28.0,  63.3, 145.3,  39.8
2026071202011002,1,07112104,13,       3220,  33.4,  13.8,  12.8,  58.5, 214.6,   7.2,   6.5,  41.5,   1.5,  28.9,  56.0, 151.5,  40.2
2026071202011002,1,07112112,13,       3451,  28.7,  14.0,  13.5,  58.7, 212.3,   7.3,   6.2,  37.3,   1.5,  30.6,  47.6, 153.3,  36.3
2026071202011002,1,07112120,13,       3665,  29.9,  12.6,  14.3,  44.4, 127.4,   7.6,   5.9,  32.5,   1.6,  31.5,  48.8, 162.8,  38.5
2026071202011002,1,07112129,13,       3819,  29.6,  12.1,  14.4,  41.2, 122.2,   7.4,   5.9,  29.6,   1.6,  30.2,  50.9, 138.8,  39.6
2026071202011002,1,07112137,13,       4025,  30.6,  12.4,  15.1,  35.7, 107.3,   7.2,   5.9,  30.9,   1.6,  26.1,  43.5, 140.0,  37.0
2026071202011002,1,07112145,13,       4262,  31.2,  13.0,  15.7,  32.4,  94.7,   7.3,   6.1,  27.4,   1.6,  23.5,  34.7, 131.1,  34.7
2026071202011002,1,07112153,13,       4460,  31.8,  12.7,  16.4,  33.3,  96.4,   6.9,   6.1,  27.8,   1.7,  23.6,  31.0, 132.1,  30.2
2026071202011002,1,07112202,13,       4579,  31.5,  12.2,  16.6,  33.9,  99.0,   6.9,   6.0,  28.1,   1.7,  24.2,  31.3, 118.1,  31.0
2026071202011002,1,07112210,13,       4724,  29.0,  11.8,  17.1,  29.0,  94.4,   7.1,   6.1,  27.9,   1.7,  25.0,  31.7, 111.1,  29.5
2026071202011002,1,07112218,13,       5063,  26.1,  11.4,  18.0,  30.0,  92.0,   7.0,   5.4,  23.4,   1.8,  26.8,  32.1,  98.7,  31.1
2026071202011002,1,07112226,13,       5246,  24.4,  11.6,  18.4,  30.4,  93.2,   7.2,   5.2,  23.9,   1.8,  24.1,  31.7,  99.9,  32.0
2026071202011002,1,07112235,13,       5633,  20.0,  10.7,  19.5,  28.8,  73.8,   6.1,   5.5,  23.5,   1.9,  25.7,  33.1, 104.8,  33.1
2026071202011002,1,07112243,13,       5812,  20.4,  10.4,  19.3,  29.6,  76.2,   6.1,   5.5,  23.9,   1.9,  26.4,  33.9, 105.6,  34.1
2026071202011002,1,07112251,13,       6103,  20.8,  10.4,  20.2,  31.0,  80.0,   5.8,   5.4,  22.6,   1.9,  21.4,  33.6, 106.1,  35.6
2026071202011002,1,07112259,13,       6231,  19.7,   9.9,  20.6,  31.5,  81.7,   5.8,   5.5,  22.8,   2.0,  21.7,  33.2, 106.0,  35.6
2026071202011002,1,07112308,13,       7440,  22.0,  11.4,  24.5,  34.8,  97.5,   6.8,   6.3,  27.0,   1.6,  23.6,  36.2, 112.3,  42.5
2026071202011002,1,07112316,13,       7652,  22.2,  10.5,  24.6,  34.7,  98.7,   6.9,   6.2,  24.4,   1.7,  24.2,  35.1, 102.0,  43.7
