ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026071202011003,1,07111934,14,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071202011003,1,07111942,14,         35,   0.0,   9.3,   0.0,   0.0,   0.0,   0.0,  14.0,  14.0,  28.0,  14.0,  14.0,   9.3,   0.0,   1.4
2026071202011003,1,07111950,14,        654, 104.6,  58.1,  74.7, 130.8,  43.6, 174.4, 174.4, 174.4,  32.7,  16.8,  58.1,   1.1, 261.6,  26.1
2026071202011003,1,07111958,14,        717,  95.6,  57.3,  81.9, 143.4,  21.2, 143.4,  71.7,  63.7,  31.8,  13.0,  63.7,   1.1, 143.4,  28.6
2026071202011003,1,07112007,14,        779, 103.8,  56.6,  51.9, 155.8,  14.1,  69.2,  69.2,  51.9,  28.3,  12.4,  62.3,   1.1, 103.8,  24.9
2026071202011003,1,07112015,14,        850,  85.0,  48.5,  30.9, 113.3,  13.3,  75.5,  75.5,  48.5,  21.2,  10.7,  30.9,   1.2,  48.5,  27.2
2026071202011003,1,07112023,14,        943,  68.5,  41.9,  34.2,  75.4,  13.2,  75.4,  39.7,  35.9,  15.7,  10.1,  34.2,   1.2,  47.1,  25.1
2026071202011003,1,07112031,14,        991,  72.0,  41.7,  34.4,  66.0,  11.6,  79.2,  39.6,  34.4,  16.1,  10.0,  33.0,   1.3,  46.6,  26.4
2026071202011003,1,07112040,14,       1080,  66.4,  41.1,  20.5,  37.5,  12.5,  72.0,  37.5,  27.8,  15.7,   9.8,  32.0,   1.4,  30.8,  26.1
2026071202011003,1,07112048,14,       1136,  69.9,  36.3,  20.6,  37.8,  11.3,  75.7,  36.3,  25.2,  12.9,   9.5,  33.6,   1.4,  32.4,  23.3
