ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘
2026071202011004,1,07111934,16,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0
2026071202011004,1,07111942,16,         56,   0.0,  14.9,  44.8,  44.8,  22.4,  22.4,  22.4,   0.0,  22.4,  44.8,   0.0,  44.8,  14.9,   2.0,   7.4,   4.4
2026071202011004,1,07111950,16,        149, 119.2,  23.8,  29.8,  39.7,   5.4,   8.5,  39.7,  14.9,  39.7,  39.7,  39.7,  59.6,  11.9,   2.9,   7.9,   9.9
2026071202011004,1,07111959,16,        248, 198.4,  39.6,  49.6,  49.6,   6.4,   9.0,  66.1,  13.2,  49.6,  66.1,  22.0,  28.3,   6.2,   2.7,  11.0,  10.4
2026071202011004,1,07112007,16,        344, 137.6,  45.8,  16.1,  11.4,   7.4,   9.4,  45.8,  17.2,  55.0,  68.8,  16.1,  34.4,   7.2,   3.2,   8.8,  13.7
2026071202011004,1,07112015,16,        432, 115.2,  49.3,  20.3,  10.1,   8.6,  11.9,  49.3,  15.0,  69.1,   7.8,  20.3,  43.2,   8.6,   3.5,   9.6,  13.8
2026071202011004,1,07112023,16,        599,  95.8,  34.2,  22.8,   9.9,   9.0,  14.5,  43.5,  19.9,  95.8,   9.9,   6.9,  47.9,   5.4,   4.8,  10.8,  17.7
2026071202011004,1,07112032,16,        678,  90.4,  36.1,  23.5,  10.8,   9.1,  15.9,  41.7,  16.9,  90.4,  10.8,   7.7,  49.3,   3.9,   5.4,  11.5,  20.0
2026071202011004,1,07112040,16,        808,  80.8,  43.0,  24.8,  10.2,   9.9,  17.9,  34.0,  10.7,  71.8,  12.1,   8.7,  58.7,   3.8,   5.8,  10.4,  22.2
2026071202011004,1,07112048,16,        884,  88.4,  39.2,  23.5,  10.7,   9.9,  18.6,  35.3,  10.4,  70.7,  12.8,   9.3,  64.2,   3.4,   6.2,  10.8,  24.3
2026071202011004,1,07112056,16,       1040,  92.4,  26.8,  17.3,   7.4,  10.2,  18.9,  36.1,  12.0,  64.0,  14.8,   8.6,  64.0,   3.6,   6.9,  12.4,  23.7
2026071202011004,1,07112105,16,       1164,  93.1,  22.1,  18.2,   7.2,  10.9,  17.5,  40.4,  12.2,  58.2,  16.0,   8.2,  66.5,   3.9,   6.9,  10.2,  25.8
2026071202011004,1,07112113,16,       1315,  75.1,  25.0,  16.1,   7.7,  10.7,  19.8,  38.9,  11.3,  61.8,  11.9,   9.3,  70.1,   3.8,   7.4,  10.6,  26.9
2026071202011004,1,07112121,16,       1400,  80.0,  25.4,  16.9,   7.8,  10.4,  14.0,  37.3,  11.9,  65.8,  12.7,   9.7,  74.6,   3.8,   7.3,  10.6,  28.7
2026071202011004,1,07112129,16,       1559,  77.9,  25.9,  17.0,   8.1,  10.4,  15.2,  29.0,  11.6,  73.3,  13.4,  10.7,  69.2,   3.5,   7.6,  10.5,  31.1
2026071202011004,1,07112138,16,       1698,  59.0,  27.1,  16.1,   8.7,  11.3,  15.4,  27.7,  12.5,  54.3,  14.2,  11.6,  71.4,   3.5,   8.3,   7.5,  33.1
2026071202011004,1,07112146,16,       1865,  62.1,  29.8,  12.4,   8.7,  10.1,  16.5,  30.4,  10.8,  49.7,  15.5,  12.7,  74.6,   3.5,   8.8,   8.0,  33.9
2026071202011004,1,07112154,16,       1914,  61.2,  28.3,  12.0,   8.9,  10.2,  17.0,  29.4,  11.0,  51.0,  15.9,  12.7,  66.5,   3.5,   8.9,   8.1,  34.8
2026071202011004,1,07112202,16,       2014,  61.9,  29.8,  12.3,   8.7,  10.4,  17.1,  28.7,  10.8,  51.9,  16.7,  13.4,  70.0,   3.4,   9.1,   7.6,  34.2
2026071202011004,1,07112211,16,       2122,  65.2,  26.1,  11.7,   8.4,  10.2,  18.0,  29.2,  11.4,  54.7,  14.6,  13.9,  65.2,   3.5,   9.2,   7.9,  34.6
2026071202011004,1,07112219,16,       2366,  61.0,  27.4,  12.8,   8.7,  11.2,  18.2,  31.0,  12.2,  55.6,   8.6,  15.0,  63.0,   3.4,  10.0,   8.5,  35.7
2026071202011004,1,07112227,16,       2465,  59.7,  23.4,  12.8,   9.0,  11.3,  18.9,  31.8,  12.5,  56.3,   8.8,  15.4,  65.7,   3.4,   9.5,   8.7,  37.2
2026071202011004,1,07112235,16,       2747,  64.6,  24.9,  12.5,   9.2,  12.1,  19.9,  34.8,   8.4,  62.7,   9.7,  17.0,  73.2,   3.5,   9.0,   9.2,  30.5
2026071202011004,1,07112244,16,       2806,  66.0,  24.9,  12.6,   9.0,  12.1,  19.8,  35.0,   8.6,  62.3,   9.9,  17.4,  72.4,   3.4,   9.2,   9.1,  30.7
2026071202011004,1,07112252,16,       3049,  65.9,  26.8,  11.5,   9.0,  12.3,  18.9,  36.4,   9.1,  67.7,  10.8,  14.5,  73.9,   3.5,   8.8,   9.2,  31.2
2026071202011004,1,07112300,16,       3276,  70.8,  27.8,  12.0,   9.4,  10.3,  19.5,  39.1,   9.7,  72.8,  11.6,  15.4,  79.4,   3.2,   8.9,   9.1,  33.1
2026071202011004,1,07112308,16,       3466,  72.9,  28.0,  11.0,   9.0,  10.1,  20.5,  39.0,   9.8,  74.9,  12.1,  15.8,  84.0,   3.2,   9.4,   9.2,  34.6
2026071202011004,1,07112317,16,       3530,  70.6,  27.9,  11.0,   8.9,  10.1,  20.7,  38.1,   9.9,  74.3,  12.3,  15.3,  85.5,   3.2,   9.4,   9.1,  34.4
2026071202011004,1,07112325,16,       3630,  70.8,  28.7,  11.3,   7.8,  10.3,  21.1,  38.7,  10.1,  76.4,  12.5,  15.7,  88.0,   3.2,   9.3,   9.0,  35.4
2026071202011004,1,07112333,16,       3714,  69.0,  29.4,  10.6,   7.5,  10.4,  21.3,  38.0,  10.3,  76.1,  12.8,  15.4,  87.3,   3.3,   9.3,   9.2,  35.7
2026071202011004,1,07112341,16,       3831,  69.6,  23.0,  10.9,   7.5,  10.6,  21.4,  36.4,  10.5,  76.6,  13.0,  15.9,  87.5,   3.3,   9.6,   9.1,  34.8
2026071202011004,1,07112350,16,       3886,  70.6,  23.3,  11.0,   7.5,  10.7,  21.7,  36.1,  10.1,  75.8,  13.2,  15.3,  88.8,   3.3,   9.7,   9.0,  34.9
2026071202011004,1,07112358,16,       4080,  74.1,  24.0,  10.8,   6.2,  11.2,  21.0,  37.9,  10.3,  74.1,  13.5,  16.1,  88.2,   3.4,  10.2,   9.3,  36.2
2026071202011004,1,07120006,16,       4181,  74.3,  24.4,  11.0,   5.7,  11.4,  21.5,  35.9,  10.5,  76.0,  13.8,  16.5,  90.4,   3.4,  10.3,   9.1,  36.3
2026071202011004,1,07120014,16,       4403,  76.5,  25.5,  11.0,   5.8,  11.7,  20.7,  37.4,  11.0,  78.2,  14.5,  17.0,  80.0,   3.2,  10.8,   9.6,  37.0
2026071202011004,1,07120023,16,       4549,  79.1,  26.3,  11.4,   6.0,  11.7,  20.5,  37.5,  11.4,  80.8,  15.0,  17.4,  80.8,   3.0,  11.1,   9.5,  38.3
2026071202011004,1,07120031,16,       4617,  78.5,  26.3,  11.4,   6.0,  11.8,  20.8,  37.6,  11.1,  78.5,  15.1,  17.5,  80.2,   3.0,  10.8,   9.4,  38.8
2026071202011004,1,07120039,16,       4655,  79.2,  25.8,  11.5,   6.0,  11.7,  20.9,  37.2,  11.2,  77.5,  15.2,  17.7,  79.2,   3.0,  10.7,   9.4,  39.2
2026071202011004,1,07120047,16,       4854,  82.6,  26.7,  11.6,   5.9,  11.6,  21.5,  38.0,  11.6,  79.2,  15.9,  18.4,  80.9,   2.9,  10.8,   9.6,  40.0
2026071202011004,1,07120056,16,       4907,  83.5,  27.0,  11.4,   5.9,  11.7,  21.8,  38.4,  11.4,  78.5,  16.0,  18.6,  81.7,   2.9,  10.6,   9.7,  40.0
2026071202011004,1,07120104,16,       4958,  84.3,  27.1,  11.5,   5.8,  11.7,  20.8,  38.8,  11.5,  79.3,  16.2,  18.6,  82.6,   2.9,  10.6,   9.6,  39.6
2026071202011004,1,07120112,16,       5082,  84.7,  27.6,  11.7,   6.0,  12.0,  16.8,  26.5,  11.8,  81.3,  16.6,  19.0,  84.7,   3.0,  10.9,   9.7,  40.2
2026071202011004,1,07120120,16,       5169,  73.8,  27.0,  11.7,   6.0,  12.1,  16.0,  26.8,  11.7,  82.7,  16.9,  19.4,  84.3,   3.0,  11.1,   9.7,  40.1
2026071202011004,1,07120129,16,       5221,  74.5,  27.2,  11.7,   6.1,  12.2,  16.1,  27.1,  11.7,  75.9,  17.1,  19.6,  85.2,   2.9,  11.1,   9.6,  40.5
2026071202011004,1,07120137,16,       5276,  74.0,  27.2,  11.8,   6.1,  12.3,  15.9,  27.4,  11.8,  69.1,  16.5,  19.7,  86.1,   3.0,  11.1,   9.7,  38.3
2026071202011004,1,07120145,16,       5312,  74.5,  27.2,  11.9,   6.1,  12.3,  16.0,  27.4,  11.9,  69.6,  16.6,  19.4,  86.7,   3.0,  10.6,   9.7,  38.6
2026071202011004,1,07120153,16,       5408,  75.9,  27.5,  11.7,   6.2,  11.8,  16.1,  27.7,  12.0,  70.9,  16.9,  19.5,  88.2,   3.0,  10.6,   9.3,  38.9
2026071202011004,1,07120202,16,       5443,  76.3,  27.7,  11.7,   6.2,  11.9,  16.1,  27.5,  12.1,  71.3,  17.0,  19.6,  88.8,   3.0,  10.5,   9.3,  39.2
2026071202011004,1,07120210,16,       5528,  73.7,  27.9,  11.6,   6.2,  11.7,  16.1,  27.4,  12.3,  71.3,  17.2,  19.8,  88.4,   3.0,  10.7,   8.9,  39.8
2026071202011004,1,07120218,16,       5567,  73.0,  28.0,  11.6,   6.3,  11.8,  15.9,  27.4,  12.3,  70.6,  17.3,  18.8,  89.0,   3.0,  10.7,   9.0,  40.1
2026071202011004,1,07120226,16,       5644,  72.8,  28.3,  11.6,   6.3,  12.0,  16.0,  27.7,  12.5,  71.6,  17.5,  19.1,  90.3,   2.9,  10.8,   9.0,  39.6
2026071202011004,1,07120235,16,       5683,  73.3,  28.4,  11.5,   6.3,  12.0,  15.6,  27.8,  12.6,  71.0,  17.6,  18.8,  90.9,   3.0,  10.8,   8.9,  39.5
2026071202011004,1,07120243,16,       5718,  73.7,  28.5,  11.6,   6.4,  12.0,  15.1,  28.0,  12.7,  71.4,  17.3,  18.9,  87.9,   3.0,  10.8,   9.0,  38.4
2026071202011004,1,07120251,16,       5752,  74.2,  28.5,  11.5,   6.4,  12.0,  15.1,  27.3,  12.7,  71.9,  17.4,  19.0,  88.4,   3.0,  10.9,   8.8,  38.6
2026071202011004,1,07120259,16,       5827,  75.1,  28.9,  11.6,   6.4,  12.1,  15.1,  27.7,  12.9,  72.8,  17.7,  19.1,  89.6,   3.0,  10.8,   8.1,  39.1
