ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026071202011005,1,07111934,10,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071202011005,1,07111943,10,        109,  29.0,   3.7,   0.0,   2.5,   3.6,  17.4,  14.5,  43.6,  10.9,  21.8
2026071202011005,1,07111951,10,        372,  14.8,   9.9,  42.5,   5.6,   1.7,  33.0,  11.4,  18.6,  16.5,  14.8
2026071202011005,1,07111959,10,        508,  13.1,  11.9,  50.8,   4.7,   1.8,  15.0,  13.1,  23.9,  18.4,  14.0
2026071202011005,1,07112007,10,       1032,  18.3,  20.6,  82.5,   8.4,   2.1,  24.2,   3.9,  37.5,  16.5,   6.1
2026071202011005,1,07112016,10,       1225,  20.8,  23.9,  81.6,   9.8,   1.9,  15.3,   4.0,  40.8,  15.5,   7.1
2026071202011005,1,07112024,10,       2669,  21.7,  47.4, 112.3,  16.8,   1.2,  30.9,   6.5,  79.0,  28.8,  11.7
2026071202011005,1,07112032,10,       2798,  21.3,  48.6, 106.5,  15.4,   1.2,  31.5,   6.5,  69.9,  27.9,  11.5
2026071202011005,1,07112040,10,       3149,  21.5,  51.4,  93.3,   8.3,   1.3,  32.7,   6.5,  76.3,  28.9,  12.2
2026071202011005,1,07112049,10,       3474,  22.4,  52.4,  92.6,   8.6,   1.3,  34.7,   7.0,  75.1,  30.5,  12.4
2026071202011005,1,07112057,10,       3849,  20.9,  55.9,  99.3,   9.2,   1.3,  38.0,   7.5,  78.9,  23.5,  11.7
2026071202011005,1,07112105,10,       4032,  21.2,  55.6,  97.7,   8.7,   1.3,  36.6,   7.3,  68.6,  22.2,  11.2
2026071202011005,1,07112113,10,       4380,  19.7,  58.4,  92.2,   9.2,   1.3,  39.8,   7.5,  70.0,  21.4,   8.1
2026071202011005,1,07112122,10,       4589,  18.6,  53.9,  89.5,   8.6,   1.4,  39.9,   7.6,  67.9,  20.8,   7.9
2026071202011005,1,07112130,10,       4911,  16.0,  55.3,  80.1,   9.0,   1.4,  39.6,   7.7,  66.5,  12.7,   8.2
2026071202011005,1,07112138,10,       5151,  13.9,  55.6,  80.8,   9.1,   1.5,  35.8,   7.4,  66.4,  11.7,   8.4
2026071202011005,1,07112146,10,       5430,  12.0,  57.9,  81.9,   9.2,   1.5,  34.7,   7.1,  63.8,  11.8,   8.6
2026071202011005,1,07112155,10,       5660,  11.9,  59.5,  85.4,   8.9,   1.5,  35.9,   7.0,  65.6,  12.1,   8.8
