ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘
2026071202011007,1,07111935,9,          2,   0.0,   0.0,   0.0,   0.0,   1.6,   0.0,   0.0,   0.0,   1.6
2026071202011007,1,07111943,9,         86,   2.8,  22.9,   0.0,  13.7,   5.7,   7.6,  22.9,   3.2,   7.6
2026071202011007,1,07111952,9,        203,   6.0,   8.1,   0.0,   6.4,   5.2,  14.7,  40.6,   7.3,   2.5
2026071202011007,1,07112000,9,        279,   4.7,   9.7, 111.6,   6.2,   7.2,  20.2,  44.6,   9.7,   2.2
2026071202011007,1,07112008,9,        407,   5.4,  11.6,  81.4,   8.3,   7.2,  25.0,  14.1,  11.2,   1.9
2026071202011007,1,07112016,9,        489,   5.0,  10.8,  78.2,   9.5,   5.7,  30.0,  11.8,  11.8,   2.1
2026071202011007,1,07112025,9,        641,   4.6,  12.5,  46.6,  11.6,   5.5,  30.1,   8.5,  12.5,   2.2
2026071202011007,1,07112033,9,        720,   5.0,  11.7,  48.0,  12.8,   5.9,  33.8,   9.1,  11.7,   2.1
2026071202011007,1,07112041,9,        843,   5.7,   8.9,  28.1,  14.6,   5.6,  35.4,  10.2,  12.9,   2.0
2026071202011007,1,07112049,9,        917,   6.0,   9.5,  29.3,  11.6,   5.7,  36.6,   9.6,  12.8,   2.1
2026071202011007,1,07112058,9,        997,   5.6,   8.3,  31.9,  12.2,   5.9,  37.9,   9.6,  13.2,   2.1
2026071202011007,1,07112106,9,       1117,   6.2,   9.4,  34.3,  13.5,   6.5,  38.8,  10.6,  10.8,   1.9
2026071202011007,1,07112114,9,       1258,   6.2,   9.4,  35.9,  14.8,   6.6,  38.7,  11.3,   8.7,   1.9
2026071202011007,1,07112122,9,       1356,   6.5,   9.7,  37.4,  15.7,   5.3,  37.4,  12.0,   8.8,   2.0
2026071202011007,1,07112131,9,       1480,   6.8,   8.7,  38.1,  16.2,   4.7,  39.4,  11.8,   9.2,   2.1
2026071202011007,1,07112139,9,       1683,   7.1,   8.7,  40.8,  18.4,   3.6,  26.9,  12.4,  10.3,   2.3
2026071202011007,1,07112147,9,       1817,   6.8,   7.4,  39.2,  19.6,   3.8,  27.9,  12.9,  10.0,   2.3
2026071202011007,1,07112155,9,       1918,   6.7,   7.3,  34.0,  20.7,   4.1,  27.8,  11.7,   9.8,   2.3
2026071202011007,1,07112204,9,       2023,   6.1,   7.3,  35.9,  21.8,   4.2,  28.3,  10.6,   9.7,   2.4
2026071202011007,1,07112212,9,       2125,   6.4,   7.3,  36.1,  22.0,   4.3,  28.8,  10.5,   8.6,   2.4
2026071202011007,1,07112220,9,       2248,   6.3,   7.6,  37.4,  22.2,   4.3,  26.8,  10.3,   8.4,   2.4
2026071202011007,1,07112228,9,       2351,   6.1,   7.2,  38.3,  22.9,   4.5,  26.8,  10.6,   8.2,   2.4
