ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘
2026071202011008,1,07111935,11,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071202011008,1,07111944,11,         58,  46.4,   2.0,   0.0,   2.2,   0.0,  11.6,  23.2,  46.4,  15.4,  15.4,   0.0
2026071202011008,1,07111952,11,        153,  13.6,   4.2,   4.0,   5.8,  61.2,  20.4,  61.2,  24.4,   6.4,   4.7,  30.6
2026071202011008,1,07112000,11,        197,  17.5,   5.0,   3.7,   7.5,  31.5,  22.5,  19.7,  26.2,   6.8,   3.9,  31.5
2026071202011008,1,07112008,11,        275,  16.9,   6.6,   4.8,   6.6,  31.4,  22.0,  27.5,  31.4,   8.8,   3.0,   9.5
2026071202011008,1,07112017,11,        349,  18.6,   5.4,   5.8,   6.0,   9.9,  25.3,  27.9,  34.9,   8.2,   3.7,  11.6
2026071202011008,1,07112025,11,        419,  16.7,   4.1,   6.3,   7.2,   9.5,  15.2,  33.5,  33.5,   8.8,   4.1,  13.9
2026071202011008,1,07112033,11,        487,  19.4,   4.7,   7.3,   8.2,  10.2,  16.9,  32.4,  18.5,   8.2,   3.7,   9.7
2026071202011008,1,07112041,11,        600,  21.8,   4.1,   8.5,   8.2,  11.4,  11.7,  34.2,  13.7,   8.8,   4.3,   9.0
2026071202011008,1,07112050,11,        631,  22.9,   4.2,   8.8,   8.5,  11.7,  11.7,  29.6,  12.9,   8.4,   4.3,   9.0
2026071202011008,1,07112058,11,        711,  24.7,   4.2,   9.6,   9.0,  12.3,  10.1,  31.6,  10.7,   7.6,   4.7,   8.8
2026071202011008,1,07112106,11,        769,  23.6,   4.3,   8.6,   9.7,  12.0,  10.7,  26.7,  10.6,   6.8,   4.9,   9.3
2026071202011008,1,07112114,11,        845,  21.8,   4.6,   9.1,  10.2,  12.2,  11.4,  22.5,  10.4,   6.4,   4.5,  10.0
2026071202011008,1,07112123,11,       1083,  27.0,   2.7,  10.8,  11.1,  14.9,  13.7,  22.2,  12.7,   7.2,   5.5,  11.8
2026071202011008,1,07112131,11,       1207,  21.9,   2.8,  11.7,  10.9,  15.3,  12.7,  22.9,  12.7,   6.1,   5.8,  12.7
2026071202011008,1,07112139,11,       1315,  17.5,   3.0,  12.8,  11.1,  16.1,  13.8,  19.4,  12.2,   5.9,   5.2,  12.9
2026071202011008,1,07112147,11,       1610,  17.6,   2.3,  15.3,  13.7,  17.4,  16.9,  23.4,  14.6,   5.9,   6.1,  15.9
2026071202011008,1,07112156,11,       1683,  17.9,   2.3,  16.0,  14.3,  16.8,  17.7,  23.2,  15.1,   5.3,   6.0,  16.0
2026071202011008,1,07112204,11,       2263,  23.8,   1.7,  21.2,  19.0,  21.0,  22.6,  27.8,  19.8,   6.9,   6.5,  20.5
2026071202011008,1,07112212,11,       2650,  27.5,   1.5,  24.3,  22.0,  24.6,  26.1,  27.1,  20.9,   7.7,   7.6,  23.2
2026071202011008,1,07112220,11,       2958,  27.5,   1.6,  26.2,  18.7,  19.7,  28.5,  28.5,  22.7,   6.9,   6.7,  25.4
2026071202011008,1,07112229,11,       3047,  28.0,   1.6,  26.7,  19.0,  19.9,  29.0,  29.3,  20.1,   6.9,   6.6,  24.8
2026071202011008,1,07112237,11,       3160,  26.8,   1.6,  23.1,  19.5,  19.0,  30.0,  29.7,  19.0,   6.8,   6.6,  21.0
2026071202011008,1,07112245,11,       3196,  27.2,   1.6,  23.0,  18.9,  19.2,  30.4,  29.0,  19.0,   6.7,   6.7,  20.6
2026071202011008,1,07112253,11,       3317,  27.9,   1.7,  17.9,  19.3,  19.8,  31.2,  29.1,  17.6,   6.6,   6.9,  19.6
2026071202011008,1,07112302,11,       3517,  25.3,   1.6,  18.6,  20.5,  18.6,  33.1,  29.3,  17.9,   6.3,   7.3,  20.5
2026071202011008,1,07112310,11,       3724,  26.8,   1.6,  19.4,  21.7,  19.4,  34.6,  31.0,  18.7,   6.5,   7.7,  20.8
2026071202011008,1,07112318,11,       3786,  26.5,   1.6,  19.2,  21.7,  19.1,  34.0,  25.0,  17.8,   6.6,   7.8,  20.8
2026071202011008,1,07112326,11,       3859,  25.5,   1.6,  19.2,  21.5,  19.4,  34.6,  25.5,  18.1,   6.6,   7.3,  21.2
2026071202011008,1,07112335,11,       3888,  25.0,   1.6,  19.3,  21.4,  19.5,  34.1,  24.3,  17.7,   6.6,   7.3,  21.1
2026071202011008,1,07112343,11,       3986,  25.3,   1.6,  19.3,  21.2,  19.3,  34.6,  24.5,  18.0,   6.5,   7.3,  21.4
2026071202011008,1,07112351,11,       3998,  25.1,   1.6,  19.1,  21.3,  19.3,  34.7,  24.4,  17.7,   6.5,   7.3,  21.4
2026071202011008,1,07112359,11,       4132,  25.6,   1.6,  19.5,  19.3,  19.5,  35.5,  23.2,  16.6,   6.6,   7.5,  21.1
2026071202011008,1,07120008,11,       4163,  25.6,   1.6,  19.4,  19.4,  19.5,  35.4,  23.4,  16.5,   6.6,   7.5,  20.6
2026071202011008,1,07120016,11,       4254,  25.9,   1.7,  19.7,  19.6,  18.9,  35.8,  23.6,  16.8,   6.5,   7.1,  20.8
2026071202011008,1,07120024,11,       4324,  26.4,   1.6,  19.5,  19.9,  18.6,  36.4,  23.5,  17.1,   6.6,   7.1,  21.2
2026071202011008,1,07120032,11,       4401,  24.1,   1.7,  18.1,  20.2,  18.8,  36.6,  22.0,  17.3,   6.5,   7.2,  21.3
2026071202011008,1,07120041,11,       4428,  24.2,   1.7,  18.2,  19.2,  18.9,  36.5,  21.8,  17.1,   6.4,   7.2,  21.3
2026071202011008,1,07120049,11,       4480,  22.2,   1.7,  18.2,  19.3,  17.8,  36.5,  22.1,  16.9,   6.5,   7.1,  21.5
2026071202011008,1,07120057,11,       4513,  22.2,   1.7,  18.3,  19.5,  17.9,  36.4,  22.1,  17.1,   6.3,   7.2,  21.7
2026071202011008,1,07120105,11,       4716,  23.2,   1.7,  18.6,  20.3,  18.5,  36.9,  22.7,  17.8,   5.9,   7.4,  22.5
2026071202011008,1,07120114,11,       4787,  23.3,   1.7,  18.6,  20.5,  18.4,  37.1,  17.7,  17.9,   5.9,   7.5,  22.7
2026071202011008,1,07120122,11,       4820,  23.3,   1.7,  18.8,  20.7,  18.5,  37.4,  17.6,  18.1,   5.8,   7.5,  22.9
2026071202011008,1,07120130,11,       4834,  23.2,   1.7,  18.7,  20.7,  18.5,  36.4,  17.6,  18.0,   5.8,   7.5,  22.8
2026071202011008,1,07120138,11,       4886,  23.4,   1.7,  17.9,  21.0,  18.6,  36.8,  17.8,  17.6,   5.8,   7.2,  22.9
2026071202011008,1,07120147,11,       4921,  23.2,   1.7,  18.0,  20.6,  18.1,  36.1,  17.7,  17.4,   5.9,   7.2,  23.1
2026071202011008,1,07120155,11,       4965,  23.5,   1.8,  18.1,  20.7,  18.0,  35.7,  17.7,  17.6,   5.7,   7.2,  23.2
2026071202011008,1,07120203,11,       5021,  23.6,   1.8,  17.9,  21.0,  18.0,  35.8,  17.8,  17.5,   5.8,   7.0,  22.1
2026071202011008,1,07120211,11,       5095,  23.6,   1.8,  18.1,  21.3,  18.0,  36.3,  17.7,  17.4,   5.6,   7.1,  22.5
2026071202011008,1,07120220,11,       5123,  23.6,   1.8,  18.2,  21.3,  18.1,  36.5,  17.8,  17.5,   5.6,   7.1,  22.6
2026071202011008,1,07120228,11,       5221,  24.1,   1.8,  18.2,  21.7,  15.9,  37.2,  18.1,  17.9,   5.7,   7.2,  22.9
2026071202011008,1,07120236,11,       5243,  24.2,   1.8,  18.0,  21.8,  15.8,  37.4,  18.2,  18.0,   5.7,   7.2,  22.7
2026071202011008,1,07120244,11,       5304,  24.5,   1.8,  17.9,  21.5,  13.9,  36.5,  18.4,  18.2,   5.7,   7.3,  23.0
2026071202011008,1,07120253,11,       5336,  24.6,   1.8,  18.0,  21.6,  13.9,  36.4,  18.3,  18.2,   5.7,   7.2,  21.8
2026071202011008,1,07120301,11,       5362,  24.7,   1.8,  18.1,  21.7,  14.0,  36.3,  18.4,  18.2,   5.6,   7.2,  21.9
