ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071202011010,1,07111940,12,         57,   2.0,  45.6,  22.8,  11.4,  15.2,  15.2,  22.8,  45.6,   9.1,   5.0,   9.1,   0.0
2026071202011010,1,07111949,12,        212,   5.6,  42.4,   7.7,   8.0,   3.2,  16.9,  84.8,  15.4,  14.1,  16.9,  10.6,   7.7
2026071202011010,1,07111957,12,        294,   7.5,  13.0,   9.0,  10.2,   4.0,  13.8,  16.8,  10.6,   8.7,  21.3,   9.8,  10.2
2026071202011010,1,07112005,12,        507,   8.4,  18.4,  11.9,  11.9,   5.7,  23.8,  25.3,   9.0,   2.9,  12.6,  16.2,  16.2
2026071202011010,1,07112013,12,        704,   9.3,  24.4,  11.4,   9.8,   5.1,  33.1,  29.6,  11.7,   2.3,  17.6,  21.6,  22.5
2026071202011010,1,07112022,12,        795,  10.2,  22.7,  12.7,   6.6,   5.2,  33.4,  28.9,  12.9,   2.5,  18.7,  15.1,  24.4
2026071202011010,1,07112030,12,        856,  10.7,  22.0,  12.4,   7.0,   5.5,  34.2,  20.7,  13.1,   2.5,  19.5,  13.4,  26.3
2026071202011010,1,07112038,12,       1106,  12.2,  27.6,   9.6,   8.4,   5.2,  36.8,  24.5,  17.0,   2.2,  24.5,  12.8,  34.0
2026071202011010,1,07112046,12,       1210,  12.2,  27.6,   8.9,   8.2,   4.9,  26.8,  23.0,  17.6,   2.4,  24.2,  13.4,  33.3
2026071202011010,1,07112055,12,       1317,  12.6,  27.7,   8.9,   7.4,   4.9,  23.4,  23.9,  18.4,   2.5,  25.0,  13.1,  23.4
2026071202011010,1,07112103,12,       1411,  13.2,  28.9,   8.0,   6.9,   5.1,  21.7,  25.6,  17.3,   2.6,  26.8,  13.1,  25.0
2026071202011010,1,07112111,12,       1541,  13.5,  30.0,   6.2,   6.9,   5.2,  21.6,  27.3,  17.6,   2.7,  26.2,  13.6,  26.8
2026071202011010,1,07112119,12,       1641,  13.9,  30.5,   6.0,   6.6,   5.5,  21.8,  26.2,  17.7,   2.9,  27.9,  11.2,  25.7
2026071202011010,1,07112128,12,       1949,  16.2,  33.8,   6.4,   7.3,   6.4,   7.5,  26.4,  18.3,   2.9,  31.8,  11.8,  26.4
2026071202011010,1,07112136,12,       2140,  17.1,  33.5,   6.7,   6.5,   6.7,   8.0,  28.5,  12.1,   3.1,  32.9,  11.4,  27.6
2026071202011010,1,07112144,12,       2358,  16.6,  29.9,   7.3,   7.0,   6.8,   7.9,  29.4,  13.1,   3.1,  36.2,   8.4,  29.9
2026071202011010,1,07112152,12,       2443,  15.3,  31.0,   7.1,   7.2,   7.0,   8.0,  28.7,  12.6,   3.2,  34.9,   8.0,  30.5
2026071202011010,1,07112201,12,       2587,  16.0,  26.1,   6.3,   7.5,   6.8,   8.0,  29.1,  12.9,   3.3,  35.0,   7.9,  32.3
2026071202011010,1,07112209,12,       2692,  16.5,  25.6,   6.6,   7.8,   6.7,   7.4,  29.9,  12.2,   3.5,  35.3,   7.6,  33.1
2026071202011010,1,07112217,12,       2969,  17.4,  27.9,   5.4,   7.6,   7.4,   7.3,  30.0,  11.3,   3.7,  35.9,   7.9,  34.9
2026071202011010,1,07112225,12,       3074,  16.8,  27.6,   5.5,   7.3,   7.6,   7.5,  30.7,  11.3,   3.6,  37.2,   7.9,  35.6
2026071202011010,1,07112234,12,       3324,  17.3,  25.3,   5.9,   6.6,   7.6,   8.0,  28.2,  10.9,   3.7,  30.5,   7.6,  37.9
2026071202011010,1,07112242,12,       3498,  16.6,  26.1,   6.1,   6.4,   7.9,   7.9,  29.7,  11.0,   3.8,  30.7,   7.4,  32.1
2026071202011010,1,07112250,12,       3681,  16.4,  26.7,   6.3,   6.4,   7.8,   7.6,  30.6,  11.4,   3.9,  32.3,   6.8,  33.0
2026071202011010,1,07112258,12,       3836,  14.7,  27.8,   5.9,   6.6,   8.1,   7.7,  31.9,  11.4,   3.9,  32.9,   6.9,  34.0
2026071202011010,1,07112307,12,       3941,  14.3,  28.1,   5.9,   6.7,   7.2,   7.9,  32.1,  11.5,   4.0,  33.1,   7.0,  33.9
2026071202011010,1,07112315,12,       4071,  14.6,  28.5,   5.7,   6.7,   7.2,   8.1,  32.2,  11.3,   4.1,  34.2,   7.0,  29.6
2026071202011010,1,07112323,12,       4245,  15.2,  29.7,   5.4,   6.8,   7.4,   8.3,  27.3,  11.6,   4.0,  35.3,   7.3,  29.0
2026071202011010,1,07112331,12,       4317,  15.3,  30.0,   5.5,   6.8,   7.5,   8.4,  26.3,  11.2,   4.0,  34.5,   7.2,  29.2
2026071202011010,1,07112340,12,       4409,  15.6,  29.8,   5.3,   6.8,   7.6,   8.5,  26.9,  11.3,   4.0,  34.5,   7.1,  29.3
2026071202011010,1,07112348,12,       4445,  15.6,  29.8,   5.4,   6.7,   7.7,   8.5,  26.7,  11.2,   4.0,  34.8,   7.2,  29.6
2026071202011010,1,07112356,12,       4576,  15.7,  30.5,   5.3,   6.4,   7.8,   8.5,  26.9,  11.4,   4.0,  35.2,   7.2,  30.2
2026071202011010,1,07120008,12,       4673,  15.7,  30.3,   5.4,   6.1,   7.6,   8.6,  26.3,  11.5,   4.1,  35.2,   7.3,  30.8
2026071202011010,1,07120017,12,       4782,  16.0,  31.1,   5.4,   5.9,   7.6,   8.7,  26.7,  11.8,   4.1,  35.4,   7.3,  31.6
2026071202011010,1,07120025,12,       4911,  16.1,  31.6,   5.3,   6.0,   7.8,   8.3,  27.4,  10.8,   4.2,  36.0,   7.4,  32.2
2026071202011010,1,07120033,12,       4980,  16.1,  31.6,   5.4,   5.9,   7.8,   8.2,  27.2,  10.8,   4.2,  36.5,   7.4,  32.1
2026071202011010,1,07120041,12,       5014,  16.1,  31.8,   5.4,   5.9,   7.8,   8.2,  27.1,  10.9,   4.2,  36.8,   7.3,  32.0
2026071202011010,1,07120050,12,       5197,  16.2,  32.9,   5.6,   6.0,   6.8,   8.5,  27.9,  10.6,   4.4,  37.7,   7.2,  33.2
2026071202011010,1,07120058,12,       5281,  15.8,  33.0,   5.6,   5.9,   6.8,   8.5,  27.9,  10.6,   4.4,  37.0,   7.2,  33.2
2026071202011010,1,07120106,12,       5499,  16.4,  33.8,   5.2,   6.0,   6.2,   8.8,  28.9,  11.0,   4.6,  37.2,   7.4,  34.6
2026071202011010,1,07120114,12,       5705,  16.7,  35.1,   5.1,   5.7,   6.4,   9.1,  22.3,  11.2,   4.7,  37.7,   7.5,  35.6
2026071202011010,1,07120123,12,       5781,  16.8,  32.3,   5.2,   5.7,   6.4,   8.9,  22.3,  11.3,   4.8,  37.9,   7.4,  36.1
2026071202011010,1,07120131,12,       5820,  16.9,  32.3,   5.1,   5.7,   6.5,   8.9,  22.4,  11.3,   4.8,  37.8,   7.4,  36.0
2026071202011010,1,07120139,12,       5878,  16.8,  32.6,   5.2,   5.7,   6.5,   8.9,  22.6,  11.3,   4.7,  38.2,   7.5,  35.8
2026071202011010,1,07120147,12,       5907,  16.4,  32.5,   5.2,   5.7,   6.5,   8.9,  22.7,  11.3,   4.7,  38.4,   7.4,  36.0
2026071202011010,1,07120156,12,       5971,  15.7,  32.4,   5.2,   5.7,   6.6,   8.9,  22.8,  11.1,   4.7,  38.8,   7.5,  36.4
2026071202011010,1,07120204,12,       6069,  15.8,  33.0,   5.1,   5.8,   6.7,   9.0,  23.1,  11.0,   4.7,  32.8,   7.6,  37.0
2026071202011010,1,07120212,12,       6113,  15.7,  32.3,   5.1,   5.8,   6.7,   8.9,  23.0,  11.1,   4.7,  33.0,   7.5,  37.0
2026071202011010,1,07120220,12,       6168,  15.7,  32.4,   5.2,   5.8,   6.7,   8.9,  23.1,  11.2,   4.7,  33.3,   7.5,  37.3
2026071202011010,1,07120229,12,       6291,  15.9,  27.6,   5.2,   6.0,   6.8,   8.5,  23.6,  11.4,   4.6,  34.0,   7.5,  38.1
2026071202011010,1,07120237,12,       6323,  16.0,  27.6,   5.2,   6.0,   6.8,   8.5,  23.7,  11.2,   4.6,  34.1,   7.6,  38.3
2026071202011010,1,07120245,12,       6378,  15.9,  27.8,   5.3,   6.0,   6.8,   8.6,  23.9,  11.3,   4.5,  34.2,   7.6,  38.3
2026071202011010,1,07120253,12,       6418,  16.0,  28.0,   5.3,   6.0,   6.9,   8.6,  24.1,  11.3,   4.4,  34.4,   7.7,  38.6
2026071202011010,1,07120302,12,       6470,  16.1,  28.2,   5.1,   6.1,   6.9,   8.5,  23.9,  11.4,   4.4,  34.7,   7.7,  38.9
2026071202011010,1,07120310,12,       6504,  16.2,  27.3,   5.1,   6.0,   6.9,   8.5,  24.0,  11.4,   4.4,  34.9,   7.8,  39.1
2026071202011010,1,07120318,12,       6560,  16.2,  27.4,   5.2,   5.9,   7.0,   8.4,  24.2,  11.4,   4.5,  35.2,   7.7,  39.4
