ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026071202011012,1,07111933,8,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0
2026071202011012,1,07111941,8,         43,  17.2,   3.4,   5.7,   6.8,   6.8,  11.4,   3.8,  11.4
2026071202011012,1,07111949,8,        120,  32.0,   3.0,   6.8,   6.0,   5.0,  12.0,   4.1,  19.2
2026071202011012,1,07111958,8,        183,   6.9,   4.1,   8.6,   7.7,   3.4,  16.2,   6.1,   9.7
2026071202011012,1,07112006,8,        225,   7.8,   4.7,   8.5,   6.4,   3.2,  16.3,   5.4,  11.2
2026071202011012,1,07112014,8,        290,  10.0,   4.7,   5.5,   6.6,   4.2,  21.0,   4.7,   8.9
2026071202011012,1,07112022,8,        337,   9.6,   4.5,   5.6,   6.1,   4.6,  24.5,   4.4,   9.6
2026071202011012,1,07112031,8,        489,  12.6,   6.3,   5.6,   8.8,   6.1,  19.5,   2.3,  13.4
2026071202011012,1,07112039,8,        554,   9.8,   6.9,   5.9,   7.1,   6.5,  14.2,   2.5,  13.4
2026071202011012,1,07112047,8,        594,  10.1,   7.0,   5.4,   7.2,   6.4,  15.3,   2.5,  13.9
2026071202011012,1,07112055,8,        713,  10.5,   7.9,   6.1,   8.0,   6.4,  17.2,   2.2,  12.6
2026071202011012,1,07112104,8,        736,  10.1,   8.1,   6.2,   8.0,   6.5,  17.8,   2.1,  12.5
2026071202011012,1,07112112,8,        827,  10.6,   6.0,   6.1,   8.4,   6.7,  19.4,   2.3,  11.8
2026071202011012,1,07112120,8,        844,  10.7,   6.0,   6.2,   8.3,   6.6,  19.8,   2.3,  11.4
2026071202011012,1,07112128,8,        954,  11.3,   6.6,   6.5,   8.5,   7.4,  22.4,   2.0,  12.1
2026071202011012,1,07112137,8,       1016,  10.2,   6.9,   7.0,   8.8,   6.8,  18.4,   2.1,  11.1
2026071202011012,1,07112145,8,       1048,  10.3,   6.9,   7.1,   9.0,   6.9,  19.0,   2.1,  11.3
2026071202011012,1,07112153,8,       1146,  11.1,   7.4,   7.2,   9.5,   7.2,  20.3,   2.0,  10.0
2026071202011012,1,07112201,8,       1236,  10.6,   7.2,   7.6,   9.6,   7.0,  21.9,   1.9,  10.6
2026071202011012,1,07112210,8,       1276,  10.8,   6.9,   7.5,   9.8,   7.2,  22.1,   2.0,   9.8
2026071202011012,1,07112218,8,       1364,  11.1,   7.3,   7.8,   9.4,   6.1,  22.2,   2.0,  10.2
2026071202011012,1,07112226,8,       1450,  11.4,   7.6,   8.2,   9.8,   6.3,  21.8,   1.9,  10.5
2026071202011012,1,07112234,8,       1624,  12.3,   7.0,   8.3,  10.7,   6.9,  23.6,   1.8,  11.8
2026071202011012,1,07112243,8,       1774,  13.3,   7.6,   7.9,  11.6,   7.3,  25.8,   1.7,  12.2
2026071202011012,1,07112251,8,       1825,  13.3,   7.6,   7.3,  11.5,   7.5,  26.5,   1.7,  11.4
2026071202011012,1,07112259,8,       2091,  15.3,   8.0,   8.0,  13.1,   8.5,  30.4,   1.5,  12.9
2026071202011012,1,07112307,8,       2124,  15.5,   7.4,   8.1,  12.8,   8.5,  30.3,   1.6,  13.0
2026071202011012,1,07112316,8,       2156,  15.4,   7.0,   8.0,  12.9,   8.6,  30.8,   1.6,  12.8
2026071202011012,1,07112324,8,       2218,  13.1,   7.1,   8.1,  11.9,   8.3,  31.6,   1.6,  13.1
2026071202011012,1,07112332,8,       2287,  13.3,   7.3,   8.2,  12.0,   8.5,  31.5,   1.6,  13.5
2026071202011012,1,07112340,8,       2333,  13.5,   6.9,   8.3,  12.0,   8.5,  32.1,   1.6,  13.7
2026071202011012,1,07112349,8,       2364,  13.7,   7.0,   8.3,  12.1,   8.5,  32.6,   1.6,  13.6
2026071202011012,1,07112357,8,       2503,  14.4,   7.2,   6.0,  12.6,   8.5,  33.3,   1.7,  14.1
2026071202011012,1,07120005,8,       2588,  14.8,   7.4,   5.7,  12.7,   8.2,  33.9,   1.7,  13.6
2026071202011012,1,07120013,8,       2655,  14.7,   7.6,   5.2,  13.0,   8.3,  34.8,   1.7,  13.5
