ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026071802011101,1,07171830,8,          5,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011101,1,07171835,8,         17,   2.2,   1.9,   0.0,   0.0,   0.0,   4.5,  13.6,   0.0
2026071802011101,1,07171840,8,         31,   4.1,   2.7,   0.0,   0.0,  24.8,   1.7,  24.8,   0.0
2026071802011101,1,07171846,8,         62,   6.2,   2.6,  49.6,  24.8,  24.8,   1.7,  49.6,  49.6
2026071802011101,1,07171851,8,        120,   7.3,   1.8,  32.0,  24.0,  24.0,   2.5,  32.0,  19.2
2026071802011101,1,07171856,8,        137,   7.8,   2.0,  36.5,  27.4,  27.4,   2.2,  36.5,  18.2
2026071802011101,1,07171901,8,        453,  21.3,   1.1, 120.8,  90.6,  90.6,   3.6, 120.8,  40.2
2026071802011101,1,07171907,8,        479,  19.1,   1.2,  95.8,  63.8,  76.6,   3.3,  95.8,  38.3
2026071802011101,1,07171912,8,        553,  21.0,   1.2,  40.2,  73.7,  55.3,   3.4, 110.6,  26.0
2026071802011101,1,07171917,8,        571,  19.0,   1.2,  35.1,  76.1,  50.7,   3.5, 114.2,  18.2
2026071802011101,1,07171922,8,        606,  20.2,   1.2,  34.6,  69.2,  44.0,   3.5, 121.2,  18.6
2026071802011101,1,07171928,8,        759,  22.4,   1.2,  40.4,  67.4,  50.6,   3.7, 121.4,  20.2
2026071802011101,1,07171933,8,        793,  16.2,   1.2,  35.2,  63.4,  39.6,   3.6,  90.6,  20.4
2026071802011101,1,07171938,8,        931,  17.3,   1.2,  39.2,  53.2,  41.3,   4.0,  74.4,  15.2
2026071802011101,1,07171943,8,       1054,  14.2,   1.3,  19.1,  32.4,  25.5,   4.4,  36.6,  16.2
2026071802011101,1,07171949,8,       1237,  14.9,   1.3,  17.6,  34.1,  24.1,   4.9,  23.0,  17.9
2026071802011101,1,07171955,8,       1280,  15.5,   1.3,  17.6,  35.3,  24.3,   4.4,  23.8,  17.6
2026071802011101,1,07172000,8,       1439,  14.3,   1.5,  18.5,  31.1,  26.7,   4.3,   8.6,  19.8
2026071802011101,1,07172005,8,       1479,  14.7,   1.5,  15.3,  30.3,  25.7,   4.3,   8.5,  20.0
2026071802011101,1,07172010,8,       1579,  15.7,   1.5,  16.1,  31.5,  11.8,   4.5,   9.0,  21.4
2026071802011101,1,07172016,8,       1682,  16.2,   1.6,  17.0,  30.5,  12.2,   4.0,   9.5,  22.0
2026071802011101,1,07172021,8,       1759,  16.7,   1.6,  16.5,  31.9,  12.6,   3.8,   9.7,  20.6
2026071802011101,1,07172026,8,       1964,  18.0,   1.6,  18.0,  30.8,  13.9,   3.6,  10.9,  21.8
2026071802011101,1,07172031,8,       2104,  18.9,   1.5,  18.7,  28.5,  13.6,   3.7,  11.5,  20.7
2026071802011101,1,07172037,8,       2285,  19.8,   1.6,  19.8,  27.6,  14.6,   3.1,  12.4,  22.2
2026071802011101,1,07172042,8,       2446,  20.8,   1.6,  20.3,  24.1,  15.4,   3.2,  13.3,  23.8
2026071802011101,1,07172047,8,       2530,  20.8,   1.6,  16.5,  21.3,  14.6,   3.2,  13.6,  24.3
2026071802011101,1,07172052,8,       2604,  21.4,   1.6,  16.6,  20.4,  14.8,   3.2,  13.9,  24.5
2026071802011101,1,07172058,8,       2729,  22.5,   1.6,  16.2,  20.5,  14.7,   3.2,  13.2,  22.9
2026071802011101,1,07172103,8,       3234,  25.6,   1.8,  14.2,  20.0,  16.9,   2.6,  13.2,  26.9
2026071802011101,1,07172108,8,       5388,  41.8,   1.2,  22.6,  31.0,  24.2,   4.1,  21.5,  38.8
2026071802011101,1,07172113,8,       5747,  42.9,   1.2,  22.8,  22.2,  25.2,   4.3,  22.2,  40.3
2026071802011101,1,07172119,8,       6570,  47.7,   1.1,  25.3,  24.7,  27.8,   4.8,  25.3,  44.1
2026071802011101,1,07172124,8,       6727,  46.3,   1.2,  25.1,  22.5,  26.7,   4.6,  25.1,  38.9
2026071802011101,1,07172129,8,      11672,  40.0,   1.1,  42.4,  31.9,  45.5,   7.6,  43.2,  55.9
2026071802011101,1,07172134,8,      11879,  38.3,   1.1,  38.7,  30.1,  40.9,   7.1,  43.7,  55.9
2026071802011101,1,07172140,8,      12010,  38.7,   1.1,  35.7,  29.4,  37.9,   7.0,  44.0,  55.8
2026071802011101,1,07172145,8,      12155,  37.9,   1.1,  34.9,  27.7,  37.8,   6.8,  44.0,  52.8
2026071802011101,1,07172150,8,      12601,  39.2,   1.1,  34.5,  24.7,  38.0,   5.6,  45.6,  53.6
2026071802011101,1,07172155,8,      12723,  39.1,   1.1,  31.5,  23.6,  36.8,   5.5,  45.8,  52.4
2026071802011101,1,07172201,8,      12814,  39.4,   1.1,  31.4,  23.7,  37.1,   5.4,  45.7,  52.5
2026071802011101,1,07172206,8,      13537,  41.4,   1.1,  32.6,  23.3,  36.9,   5.1,  48.3,  55.5
2026071802011101,1,07172211,8,      13753,  40.9,   1.1,  32.3,  22.0,  36.9,   4.9,  48.6,  55.2
2026071802011101,1,07172216,8,      13841,  40.7,   1.1,  32.2,  22.1,  37.0,   4.8,  48.7,  51.7
2026071802011101,1,07172222,8,      13987,  40.5,   1.1,  30.2,  21.9,  35.8,   4.8,  48.0,  51.5
2026071802011101,1,07172227,8,      14241,  40.9,   1.1,  29.2,  22.3,  35.7,   4.6,  48.6,  52.5
2026071802011101,1,07172232,8,      14326,  41.2,   1.1,  29.0,  21.7,  35.2,   4.6,  48.9,  52.3
2026071802011101,1,07172237,8,      14532,  41.8,   1.1,  29.1,  21.6,  35.4,   4.6,  49.4,  52.3
2026071802011101,1,07172243,8,      14712,  42.0,   1.1,  29.3,  21.0,  34.9,   4.4,  50.0,  52.0
2026071802011101,1,07172248,8,      14832,  41.9,   1.1,  29.2,  20.9,  34.7,   4.4,  48.2,  41.2
2026071802011101,1,07172253,8,      15025,  41.8,   1.1,  29.4,  20.1,  33.0,   4.4,  48.8,  40.3
2026071802011101,1,07172258,8,      15150,  41.7,   1.1,  29.2,  20.2,  32.1,   4.4,  47.9,  40.4
2026071802011101,1,07172304,8,      15358,  41.9,   1.1,  29.3,  20.5,  32.4,   4.3,  47.8,  40.5
2026071802011101,1,07172309,8,      15833,  42.5,   1.2,  29.8,  20.9,  32.8,   3.8,  47.4,  41.1
2026071802011101,1,07172314,8,      16097,  36.3,   1.2,  27.5,  20.0,  30.5,   3.9,  42.2,  37.4
2026071802011101,1,07172319,8,      16340,  35.2,   1.2,  22.4,  20.1,  30.6,   3.9,  42.8,  37.7
2026071802011101,1,07172325,8,      16414,  35.3,   1.2,  22.4,  20.1,  30.6,   3.9,  42.9,  37.1
2026071802011101,1,07172330,8,      16519,  35.4,   1.2,  22.0,  19.9,  30.7,   3.8,  42.4,  36.8
2026071802011101,1,07172335,8,      16642,  35.4,   1.2,  21.7,  19.7,  30.3,   3.8,  42.6,  36.5
2026071802011101,1,07172340,8,      16846,  35.8,   1.2,  21.5,  19.4,  29.1,   3.8,  43.1,  36.3
