ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071802011102,1,07171841,12,          5,   0.0,   4.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.1,   0.0
2026071802011102,1,07171849,12,         14,  11.2,  11.2,   0.0,  11.2,   0.0,  11.2,  11.2,   0.0,   0.0,   2.2,   2.8,   0.0
2026071802011102,1,07171858,12,         42,  33.6,  33.6,   0.0,  33.6,   0.0,  33.6,   1.9,   0.0,  33.6,   6.7,   2.2,   0.0
2026071802011102,1,07171906,12,         62,  24.8,  49.6,   0.0,  49.6,   5.5,  49.6,   2.4,   0.0,   9.9,   6.2,   3.3,   0.0
2026071802011102,1,07171914,12,        123,  49.2,  49.2,  98.4,  98.4,   3.5,  49.2,   3.7,   0.0,  19.6,  12.3,   2.0,   0.0
2026071802011102,1,07171922,12,        159,  31.8,  63.6,  63.6,  63.6,   3.2,   7.4,   4.7,   0.0,  25.4,  12.7,   2.5,  63.6
2026071802011102,1,07171931,12,        173,  15.3,  69.2,  69.2,  46.1,   3.5,   8.1,   4.9,  69.2,  19.7,  11.5,   2.7,  69.2
2026071802011102,1,07171939,12,        280,  22.4,  56.0,  74.6,  44.8,   4.2,  10.6,   4.6, 112.0,   6.5,   5.2,   4.0, 112.0
2026071802011102,1,07171947,12,        324,  17.2,  25.9,  64.8,  19.9,   4.7,  10.8,   4.5,  64.8,   7.2,   5.7,   4.4,  86.4
2026071802011102,1,07171955,12,        357,  17.8,  25.9,  71.4,  21.9,   4.1,  10.9,   4.3,  57.1,   7.9,   5.9,   4.8,  71.4
2026071802011102,1,07172004,12,        405,  12.0,  16.2,  64.8,  24.9,   4.2,  12.0,   4.3,  54.0,   9.0,   6.7,   4.8,  64.8
2026071802011102,1,07172012,12,        475,  13.1,  19.0,  18.0,  29.2,   4.8,  13.1,   4.3,  63.3,   9.7,   7.7,   3.9,  63.3
2026071802011102,1,07172020,12,        489,  12.6,  19.5,  17.7,  30.0,   4.8,  13.4,   4.2,  65.2,   9.5,   7.8,   3.9,  65.2
2026071802011102,1,07172028,12,        632,   9.5,  15.3,   6.6,  36.1,   5.7,  16.3,   4.2,  84.2,  10.9,   9.1,   4.8,  63.2
2026071802011102,1,07172037,12,        742,   9.8,  15.6,   6.9,  37.1,   6.4,  17.4,   4.7,  84.8,  12.3,   5.2,   5.2,  65.9
2026071802011102,1,07172045,12,       1021,  12.1,  18.9,   9.2,  42.9,   4.1,  23.3,   5.1,   7.6,  16.6,   6.9,   6.2,  74.2
2026071802011102,1,07172053,12,       1133,  13.3,  16.7,  10.3,  43.1,   4.3,  25.1,   5.2,   8.0,  17.7,   7.5,   4.8,  69.7
2026071802011102,1,07172101,12,       1276,  12.7,  18.2,  11.0,  46.4,   3.9,  28.3,   5.0,   9.0,  18.2,   6.6,   5.3,  72.9
2026071802011102,1,07172110,12,       1450,  14.3,  14.8,  12.2,  50.4,   4.2,  32.2,   4.4,  10.0,  20.0,   5.6,   5.6,  68.2
2026071802011102,1,07172118,12,       1527,  14.8,  15.4,  12.4,  42.1,   4.0,  29.7,   4.6,  10.5,  20.7,   5.6,   5.6,  53.1
2026071802011102,1,07172126,12,       1649,  14.9,  16.6,  12.1,  35.6,   4.3,  26.3,   4.1,  11.3,  22.3,   5.4,   5.8,  57.3
2026071802011102,1,07172134,12,       1841,   7.7,  15.3,  12.8,  35.0,   4.4,  28.3,   4.4,  12.4,  24.9,   6.0,   6.0,  58.9
2026071802011102,1,07172143,12,       1871,   7.8,  15.5,  12.9,  34.0,   4.4,  28.7,   4.4,  12.4,  23.3,   6.0,   6.0,  57.5
2026071802011102,1,07172151,12,       2099,   8.6,  17.1,  13.0,  38.1,   3.9,  15.5,   4.9,  13.2,  25.4,   6.0,   6.3,  57.9
2026071802011102,1,07172159,12,       2143,   8.7,  17.3,  12.8,  38.9,   4.0,  15.7,   4.9,  13.2,  25.5,   6.0,   6.1,  55.3
2026071802011102,1,07172207,12,       2209,   8.4,  16.6,  12.7,  39.2,   4.1,  16.0,   5.0,  13.2,  25.9,   5.9,   6.1,  57.0
2026071802011102,1,07172216,12,       2329,   8.9,  16.6,  13.0,  41.4,   4.0,  16.3,   5.1,  13.1,  26.2,   6.2,   6.1,  30.5
2026071802011102,1,07172224,12,       2452,   9.2,  16.4,  13.5,  42.6,   3.9,  16.6,   5.3,  12.2,  26.5,   6.1,   5.9,  30.6
2026071802011102,1,07172232,12,       2561,   9.4,  15.6,  14.0,  41.8,   4.0,  16.7,   4.8,  12.7,  24.3,   6.4,   5.9,  32.0
2026071802011102,1,07172241,12,       2632,   9.6,  15.2,  14.3,  41.2,   4.1,  16.9,   4.7,  12.9,  25.0,   6.4,   5.9,  28.0
2026071802011102,1,07172249,12,       2795,  10.2,  15.0,  11.3,  43.0,   4.3,  17.7,   4.9,  13.1,  26.6,   6.8,   6.2,  15.4
2026071802011102,1,07172257,12,       2900,  10.2,  15.5,  11.1,  43.7,   4.2,  17.9,   4.8,  13.5,  27.6,   6.8,   6.1,  15.6
2026071802011102,1,07172305,12,       3016,  10.1,  15.7,  11.3,  45.5,   4.4,  17.6,   4.5,  14.1,  28.7,   7.0,   5.9,  16.0
2026071802011102,1,07172318,12,       3217,  10.8,  15.3,  11.6,  45.9,   4.7,  16.9,   4.5,  14.4,  28.9,   7.1,   5.2,  16.6
2026071802011102,1,07172326,12,       3335,  11.1,  15.5,  11.8,  46.8,   4.6,  16.5,   4.4,  14.9,  29.0,   7.2,   5.1,  17.1
2026071802011102,1,07172334,12,       3439,  11.4,  14.8,  11.8,  48.2,   4.5,  16.6,   4.5,  15.4,  29.5,   7.3,   5.2,  15.2
