ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘
2026071802011104,1,07171834,16,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011104,1,07171846,16,         30,   3.0,  24.0,  24.0,  24.0,  24.0,   0.0,   0.0,   6.0,   8.0,   0.0,   4.8,   8.0,   0.0,   0.0,   8.0,   0.0
2026071802011104,1,07171855,16,         47,   4.1,  37.6,  12.5,  37.6,  12.5,  37.6,   0.0,   7.5,   6.2,  37.6,   7.5,  12.5,   0.0,   0.0,   4.7,  37.6
2026071802011104,1,07171903,16,         67,   4.8,  26.8,  17.8,  53.6,  10.7,  17.8,   0.0,   4.8,   5.9,  26.8,  10.7,  13.4,   0.0,  26.8,   6.7,  53.6
2026071802011104,1,07171911,16,         75,   4.0,  30.0,  20.0,  60.0,  12.0,  20.0,   0.0,   5.0,   6.6,  30.0,  12.0,   8.5,   0.0,  30.0,   7.5,  60.0
2026071802011104,1,07171919,16,        133,   1.9,  35.4,  21.2, 106.4,  13.3,  35.4,   0.0,   5.3,  11.8,  35.4,  21.2,  11.8,   0.0,  35.4,  11.8, 106.4
2026071802011104,1,07171928,16,        153,   1.8,  30.6,  20.4, 122.4,  15.3,  40.8,   0.0,   6.1,  12.2,  40.8,  24.4,  13.6,   0.0,  30.6,  12.2,  40.8
2026071802011104,1,07171936,16,        223,   1.8,  44.6,  22.3,  89.2,  22.3,  44.6, 178.4,   7.1,   8.1,  59.4,  25.4,  19.8,   0.0,  11.8,  11.8,  35.6
2026071802011104,1,07171944,16,        267,   1.9,  35.6,  19.4,  71.2,  26.7,  42.7,  71.2,   7.1,   8.9,  71.2,  23.7,  23.7,   0.0,  10.1,  11.8,  35.6
2026071802011104,1,07171952,16,        354,   2.4,  25.7,  11.8,  47.2,  28.3,  35.4,  94.4,   3.5,  10.8,  70.8,  28.3,  28.3, 283.2,  13.4,  14.9,  47.2
