ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026071802011107,1,07171831,14,          5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0
2026071802011107,1,07171839,14,         27,  21.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  21.6,   0.0,   0.0,   1.1,   0.0,   0.0,   4.3
2026071802011107,1,07171847,14,         42,   6.7,   0.0,  33.6,  33.6,   0.0,   0.0,  33.6,  33.6,  33.6,   0.0,   1.2,   0.0,   0.0,   6.7
2026071802011107,1,07171855,14,         79,  12.6,   0.0,  63.2,  63.2,   0.0,   0.0,   3.5,  10.5,  15.8,   0.0,   2.2,   6.3,   0.0,  10.5
2026071802011107,1,07171904,14,        123,   9.8,   0.0,  98.4,  98.4,   0.0,  98.4,   2.0,  16.4,  16.4,  98.4,   3.1,   8.9,   0.0,  14.0
2026071802011107,1,07171912,14,        137,  10.9,   0.0, 109.6, 109.6,   0.0, 109.6,   1.8,  18.2,  18.2, 109.6,   3.2,   9.9,   0.0,  13.7
2026071802011107,1,07171920,14,        178,  10.1,   0.0,  47.4, 142.4, 142.4, 142.4,   2.4,   9.4,  17.8, 142.4,   3.6,  11.8,   0.0,   5.9
2026071802011107,1,07171928,14,        192,   9.6,   0.0,  51.2, 153.6,  76.8,  76.8,   2.4,  10.2,  19.2, 153.6,   3.8,  12.8, 153.6,   5.2
2026071802011107,1,07171937,14,        241,  10.1, 192.8,  64.2,  96.4,  38.5,  38.5,   2.9,   9.6,  19.2,  64.2,   3.6,  16.0, 192.8,   4.7
2026071802011107,1,07171945,14,        319,  13.4,  85.0,  85.0,  51.0,  28.3,  42.5,   3.5,   8.2,  23.2,  19.6,   3.4,  21.2,  23.2,   5.0
