ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘
2026071802011109,1,07171840,13,         11,   8.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.4,   2.2,   0.0,   0.0,   0.0
2026071802011109,1,07171848,13,         23,   6.1,   9.2,   0.0,  18.4,   9.2,   0.0,   0.0,   0.0,   2.3,   4.6,   9.2,   0.0,  18.4
2026071802011109,1,07171856,13,         30,   8.0,   8.0,  12.0,  24.0,  12.0,   0.0,  24.0,   0.0,   2.6,   6.0,   8.0,   0.0,  12.0
2026071802011109,1,07171904,13,         44,  11.7,   7.0,  11.7,  35.2,  17.6,   0.0,   8.8,   0.0,   3.9,   3.5,   7.0,   0.0,  17.6
2026071802011109,1,07171913,13,         64,  17.0,  10.2,  17.0,   4.6,  10.2,   0.0,   5.6,   0.0,   5.1,   5.1,  10.2,  51.2,  25.6
2026071802011109,1,07171921,13,        128,  12.8,  11.3,  11.3,   6.8,   9.3,   0.0,   7.8,   0.0,   9.3,  10.2,  17.0,  34.1,   3.1
2026071802011109,1,07171929,13,        145,  10.5,   7.2,  12.8,   6.8,   9.6,   0.0,   8.2, 116.0,  10.5,  11.6,  19.3,  29.0,   3.4
2026071802011109,1,07171937,13,        213,   7.7,   7.1,  18.9,   8.1,   6.8,  56.8,   7.1,  42.6,  11.3,  13.1,  24.3,  17.0,   4.7
2026071802011109,1,07171946,13,        237,   6.5,   6.5,  21.0,   8.6,   6.7,  37.9,   7.0,  47.4,  11.1,  14.5,  23.7,  18.9,   5.2
2026071802011109,1,07171954,13,        280,   6.5,   6.4,  24.8,   9.7,   7.4,  44.8,   6.7,  56.0,  13.1,   9.7,  28.0,  20.3,   4.6
2026071802011109,1,07172002,13,        415,   9.4,   8.9,  30.1,  13.8,   2.4,  55.3,   9.4,  22.1,  19.5,  14.4,  33.2,  25.5,   6.5
2026071802011109,1,07172010,13,        504,  10.8,   8.9,  33.6,  11.2,   2.7,  44.8,   9.8,  22.4,  14.4,  15.5,  16.1,  16.8,   7.4
2026071802011109,1,07172019,13,        552,  11.9,   9.2,  36.8,   8.6,   2.8,  44.1,  10.0,  24.5,  13.8,  16.3,  16.9,  14.7,   7.2
2026071802011109,1,07172027,13,        735,  13.0,  10.8,  42.0,  11.0,   3.2,  53.4,  12.0,  21.0,  16.3,  21.0,  22.6,  13.6,   3.5
2026071802011109,1,07172035,13,        806,  14.0,   9.0,  37.9,   9.9,   3.4,  37.9,  10.5,  22.2,  16.9,  20.8,  24.8,  12.1,   3.9
2026071802011109,1,07172043,13,        926,  11.9,   9.6,  37.0,  10.4,   3.5,  23.8,  10.2,  15.4,  18.9,  20.5,  27.4,  11.7,   4.3
2026071802011109,1,07172052,13,       1040,  12.2,   8.4,  39.6,  11.3,   3.9,  10.2,  11.2,  15.6,  20.2,  23.1,  30.8,   9.7,   4.8
2026071802011109,1,07172100,13,       1107,  13.0,   7.9,  36.9,  11.8,   4.1,  10.6,  11.5,  14.5,  16.7,  21.6,  26.0,  10.1,   4.9
2026071802011109,1,07172108,13,       1167,  10.3,   8.1,  38.9,  10.8,   4.3,  10.7,  11.1,  15.0,  16.0,  22.7,  27.4,  10.6,   5.1
2026071802011109,1,07172116,13,       1301,  11.5,   7.2,  41.6,  11.8,   4.7,  11.4,   8.2,  14.4,  13.5,  23.1,  28.1,  11.6,   5.2
2026071802011109,1,07172125,13,       1362,  12.1,   6.4,  43.5,  12.2,   4.8,  11.8,   8.6,  14.7,  13.4,  18.4,  28.6,  12.2,   5.2
2026071802011109,1,07172133,13,       1632,   6.6,   6.8,  36.2,  13.3,   5.4,  13.1,   9.6,  16.1,  12.0,  13.1,  32.6,  13.6,   6.1
2026071802011109,1,07172141,13,       1706,   6.9,   6.9,  35.9,  13.6,   5.3,  13.5,   9.5,  16.2,  12.4,  13.3,  34.1,  13.9,   5.6
2026071802011109,1,07172149,13,       1927,   5.6,   7.3,  34.2,  14.5,   5.6,  14.6,   7.9,  16.9,  12.2,  14.9,  32.8,  14.4,   6.1
2026071802011109,1,07172158,13,       2042,   5.9,   7.4,  34.7,  12.9,   5.9,  14.0,   7.8,  17.9,  10.3,  14.0,  34.7,  15.1,   6.2
2026071802011109,1,07172206,13,       2287,   6.6,   8.0,  36.5,  13.5,   6.2,  15.6,   5.4,  19.2,  11.4,  15.5,  38.1,  16.3,   5.7
2026071802011109,1,07172214,13,       2348,   6.7,   7.7,  33.5,  13.8,   6.2,  15.2,   5.5,  19.3,  11.7,  14.4,  39.1,  16.6,   5.7
2026071802011109,1,07172222,13,       2900,   8.0,   5.3,  30.5,  12.8,   6.3,  16.1,   6.5,  22.5,  14.3,  17.1,  39.3,  19.6,   4.8
2026071802011109,1,07172231,13,       3051,   7.7,   5.5,  31.2,  13.4,   6.5,  16.8,   5.3,  23.6,  14.9,  18.0,  41.3,  20.6,   5.0
2026071802011109,1,07172239,13,       3522,   8.2,   6.2,  34.7,  15.5,   7.2,  19.1,   6.0,  26.5,  16.8,  19.9,  47.7,  22.1,   3.2
2026071802011109,1,07172247,13,       3597,   8.3,   6.3,  35.5,  15.8,   7.0,  19.4,   6.1,  27.1,  17.1,  19.9,  44.9,  22.3,   3.1
2026071802011109,1,07172256,13,       3789,   8.2,   6.2,  36.9,  15.1,   6.7,  19.3,   6.3,  28.5,  17.7,  17.1,  45.9,  23.3,   3.2
2026071802011109,1,07172304,13,       3984,   8.6,   6.5,  38.8,  15.9,   6.8,  19.6,   6.6,  29.7,  17.9,   9.7,  48.2,  24.5,   3.4
2026071802011109,1,07172312,13,       4060,   8.4,   6.5,  39.6,  16.2,   6.9,  20.0,   6.5,  29.2,  17.8,   9.7,  48.4,  24.0,   3.4
2026071802011109,1,07172320,13,       4140,   8.6,   6.6,  38.5,  16.4,   6.7,  19.9,   6.5,  29.8,  16.7,   9.6,  48.7,  24.5,   3.4
2026071802011109,1,07172329,13,       4346,   9.0,   6.6,  36.5,  17.0,   5.6,  20.6,   6.7,  30.4,  16.6,   9.9,  44.5,  25.1,   3.6
2026071802011109,1,07172337,13,       4404,   9.1,   6.7,  37.0,  17.2,   5.5,  20.8,   6.7,  30.1,  16.8,   9.9,  45.1,  25.3,   3.6
2026071802011109,1,07172345,13,       4680,   9.6,   7.1,  39.0,  17.8,   5.7,  22.1,   6.9,  32.0,  17.7,  10.0,  47.3,  26.9,   3.1
2026071802011109,1,07172353,13,       4809,   9.6,   7.2,  39.6,  16.0,   5.9,  22.4,   7.0,  32.8,  18.1,   8.8,  48.0,  27.6,   3.2
2026071802011109,1,07180006,13,       4913,   9.5,   7.3,  40.5,  16.1,   5.9,  22.7,   6.8,  33.0,  17.4,   8.7,  47.3,  27.6,   3.3
2026071802011109,1,07180014,13,       4980,   9.5,   7.3,  40.6,  16.1,   5.7,  23.0,   6.8,  31.8,  17.6,   8.8,  47.4,  26.9,   3.3
2026071802011109,1,07180022,13,       5074,   9.4,   7.4,  41.4,  16.3,   5.8,  23.4,   6.4,  32.2,  17.7,   8.6,  47.7,  27.4,   3.3
2026071802011109,1,07180031,13,       5170,   9.3,   7.4,  42.2,  16.4,   5.5,  23.9,   6.5,  32.3,  17.7,   8.8,  47.5,  27.5,   3.4
2026071802011109,1,07180039,13,       5262,   9.5,   7.4,  42.9,  15.8,   5.2,  24.3,   6.6,  32.6,  17.9,   8.9,  47.8,  27.3,   3.4
2026071802011109,1,07180047,13,       5324,   9.4,   7.4,  43.0,  15.6,   5.3,  24.6,   6.5,  33.0,  17.9,   8.9,  48.4,  26.2,   3.5
2026071802011109,1,07180055,13,       5377,   9.5,   7.4,  43.4,  15.7,   5.3,  24.8,   6.5,  33.3,  17.9,   8.9,  48.8,  24.5,   3.4
2026071802011109,1,07180104,13,       5631,  10.0,   7.6,  45.5,  15.7,   5.3,  26.0,   5.5,  34.3,  18.7,   9.4,  51.1,  24.3,   3.5
2026071802011109,1,07180112,13,       5690,  10.0,   7.6,  45.9,  15.8,   5.4,  26.3,   5.4,  33.4,  18.5,   9.5,  51.7,  24.4,   3.5
2026071802011109,1,07180120,13,       5819,   9.8,   7.7,  47.0,  15.7,   5.1,  26.7,   5.5,  34.2,  18.7,   9.6,  52.9,  24.2,   3.6
2026071802011109,1,07180128,13,       5864,   9.9,   7.6,  46.9,  15.7,   5.1,  25.3,   5.5,  33.9,  18.3,   9.6,  53.3,  24.4,   3.6
2026071802011109,1,07180137,13,       5918,   9.9,   7.7,  47.3,  15.3,   5.1,  25.4,   5.5,  34.3,  18.2,   9.7,  52.6,  24.5,   3.6
2026071802011109,1,07180145,13,       6005,  10.0,   7.7,  48.0,  15.4,   5.1,  25.6,   5.5,  26.2,  18.4,   9.8,  53.3,  24.8,   3.6
2026071802011109,1,07180153,13,       6074,  10.0,   7.7,  47.1,  15.6,   5.1,  25.7,   5.6,  25.7,  18.0,   9.9,  51.6,  24.4,   3.6
2026071802011109,1,07180201,13,       6133,  10.0,   7.6,  47.6,  15.7,   5.1,  25.9,   5.6,  25.9,  17.2,   9.9,  52.1,  23.9,   3.7
2026071802011109,1,07180210,13,       6214,   9.8,   7.5,  47.3,  15.9,   5.1,  26.0,   5.6,  26.3,  17.3,  10.0,  52.3,  24.1,   3.7
2026071802011109,1,07180218,13,       6307,   9.9,   7.6,  48.0,  16.1,   5.2,  24.7,   5.3,  26.6,  17.6,  10.2,  53.1,  24.2,   3.7
2026071802011109,1,07180226,13,       6401,   9.6,   7.6,  47.8,  16.1,   5.1,  24.8,   5.4,  27.0,  17.8,  10.3,  48.7,  24.6,   3.7
2026071802011109,1,07180234,13,       6426,   9.7,   7.5,  47.6,  16.0,   5.2,  24.9,   5.4,  27.2,  17.8,  10.2,  48.9,  24.7,   3.7
2026071802011109,1,07180243,13,       6500,   9.7,   7.5,  48.1,  15.7,   5.2,  24.0,   5.4,  27.5,  18.0,  10.2,  49.5,  25.0,   3.7
2026071802011109,1,07180251,13,       6578,   9.8,   7.5,  48.7,  15.2,   5.2,  24.3,   5.4,  27.8,  18.2,   9.9,  49.6,  24.1,   3.8
2026071802011109,1,07180259,13,       6773,  10.1,   7.7,  50.1,  13.6,   4.8,  24.8,   5.6,  27.0,  18.8,  10.2,  50.1,  24.7,   3.8
2026071802011109,1,07180307,13,       6797,  10.1,   7.7,  50.3,  13.6,   4.7,  24.9,   5.6,  27.0,  18.8,  10.2,  49.8,  24.6,   3.8
2026071802011109,1,07180316,13,       6894,  10.3,   7.8,  50.5,  13.8,   4.8,  24.0,   5.7,  27.3,  19.0,  10.4,  39.6,  24.8,   3.8
