ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026071802011110,1,07171840,10,         38,  30.4,   6.0,   0.0,   0.0,   0.0,   0.0,  30.4,   0.0,   0.0,   1.1
2026071802011110,1,07171849,10,         48,  19.2,   7.6,  38.4,   6.4,   0.0,  38.4,  19.2,   0.0,   0.0,   1.2
2026071802011110,1,07171857,10,         80,   2.1,  12.8,  64.0,   8.0,   0.0,  32.0,  32.0,   0.0,  64.0,   2.0
2026071802011110,1,07171905,10,        153,   4.0,  24.4,  61.2,   2.1,   0.0,  10.2,  61.2,   0.0,   9.4,   3.9
2026071802011110,1,07171913,10,        164,   4.3,  26.2,  65.6,   2.2,   0.0,  10.9,  65.6,  13.1,   9.3,   4.2
2026071802011110,1,07171922,10,        238,   5.4,  38.0,  27.2,   1.7, 190.4,  14.6,  95.2,  12.6,  12.6,   5.1
2026071802011110,1,07171930,10,        266,   5.9,  42.5,  23.6,   1.7,  35.4,  16.3, 106.4,  13.3,  13.3,   5.6
2026071802011110,1,07171938,10,        423,   9.1,  37.6,  37.6,   1.4,  37.6,  21.1,  13.5,  17.8,  13.5,   8.9
2026071802011110,1,07171946,10,        458,   9.9,  30.5,  40.7,   1.4,  28.1,  15.9,  14.0,  16.6,  13.5,   9.3
2026071802011110,1,07171955,10,        636,  13.0,  39.1,  56.5,   1.2,  39.1,  19.5,  19.5,  21.2,  18.1,  10.1
2026071802011110,1,07172003,10,        749,  14.6,  42.8,  66.5,   1.4,  13.9,  23.0,  20.6,  10.3,  20.6,   6.5
2026071802011110,1,07172011,10,        879,  16.3,  35.1,  78.1,   1.3,  15.9,  26.0,  24.2,  10.6,  24.2,   6.9
2026071802011110,1,07172019,10,        923,  16.7,  36.9,  73.8,   1.4,  13.4,  17.5,  25.4,  10.5,  25.4,   7.1
2026071802011110,1,07172028,10,        994,  18.0,  28.4,  79.5,   1.4,  12.6,  16.9,  22.0,  10.7,  27.4,   7.4
2026071802011110,1,07172036,10,       1024,  17.8,  27.3,  81.9,   1.4,  13.0,  17.4,  22.7,  10.1,  22.7,   7.0
2026071802011110,1,07172044,10,       1074,  17.9,  26.8,  78.1,   1.5,  11.9,  14.8,  23.2,  10.2,  23.2,   6.8
2026071802011110,1,07172052,10,       1099,  17.5,  20.4,  73.2,   1.5,  11.8,  15.1,  23.1,  10.2,  23.7,   6.8
2026071802011110,1,07172101,10,       1234,  17.0,  22.4,  58.0,   1.5,  12.6,  16.4,  17.6,   8.2,  25.9,   7.1
2026071802011110,1,07172109,10,       1293,  16.6,  23.5,  60.8,   1.6,   9.5,  16.6,  18.4,   7.7,  24.6,   7.3
2026071802011110,1,07172117,10,       1386,  17.0,  25.2,  65.2,   1.6,  10.1,  17.8,  19.4,   6.9,  25.2,   7.8
2026071802011110,1,07172125,10,       1415,  17.4,  24.0,  66.5,   1.6,  10.0,  16.1,  19.8,   7.0,  24.0,   7.9
2026071802011110,1,07172134,10,       1618,   7.5,  26.9,  38.0,   1.8,  10.6,  12.6,  21.5,   7.7,  21.9,   8.6
2026071802011110,1,07172142,10,       1659,   7.5,  24.5,  34.0,   1.8,   9.9,  13.0,  21.0,   7.9,  22.4,   8.3
2026071802011110,1,07172150,10,       1773,   7.0,  25.7,  31.5,   1.9,   9.6,  13.1,  20.8,   7.8,  19.1,   8.5
2026071802011110,1,07172158,10,       1901,   7.1,  27.1,  33.0,   1.9,  10.2,  13.8,  21.7,   7.8,  16.5,   8.3
2026071802011110,1,07172207,10,       2030,   7.2,  20.0,  35.3,   2.0,   7.9,  13.4,  22.8,   8.3,  17.2,   8.5
2026071802011110,1,07172215,10,       2129,   6.7,  21.0,  34.0,   2.0,   8.2,  14.0,  23.3,   8.6,  18.1,   7.2
2026071802011110,1,07172223,10,       2191,   6.6,  17.8,  33.7,   2.1,   8.3,  14.1,  23.0,   8.4,  18.4,   7.3
2026071802011110,1,07172231,10,       2225,   6.7,  17.8,  34.2,   2.1,   8.2,  13.7,  22.8,   8.1,  18.5,   7.4
2026071802011110,1,07172240,10,       2284,   6.7,  17.4,  33.8,   2.1,   7.8,  13.8,  22.0,   8.2,  19.0,   7.2
2026071802011110,1,07172248,10,       2335,   6.6,  17.7,  33.9,   2.2,   7.8,  14.1,  21.9,   8.4,  18.3,   6.8
2026071802011110,1,07172256,10,       2480,   6.4,  17.2,  32.5,   2.2,   8.1,  14.3,  23.3,   7.9,  19.0,   7.1
2026071802011110,1,07172304,10,       2496,   6.4,  17.3,  32.7,   2.2,   8.2,  14.4,  23.4,   7.8,  18.8,   7.2
2026071802011110,1,07172313,10,       2583,   6.5,  17.9,  33.8,   2.2,   7.6,  14.4,  23.4,   7.9,  17.8,   7.3
2026071802011110,1,07172321,10,       2642,   6.6,  18.3,  33.5,   2.2,   7.1,  14.1,  24.0,   7.8,  18.0,   7.2
2026071802011110,1,07172329,10,       3271,   8.1,  21.8,  41.5,   1.7,   7.3,  16.3,  29.4,   9.4,  21.4,   8.6
2026071802011110,1,07172337,10,       3427,   8.4,  21.7,  42.8,   1.8,   7.0,  16.6,  29.1,   9.7,  22.4,   7.8
2026071802011110,1,07172346,10,       3525,   8.5,  22.2,  44.0,   1.8,   6.5,  16.7,  29.3,   9.0,  23.1,   7.7
2026071802011110,1,07172354,10,       3674,   8.8,  22.9,  45.9,   1.9,   6.8,  17.4,  30.6,   8.5,  24.0,   6.3
2026071802011110,1,07180006,10,       3771,   8.6,  23.3,  46.4,   1.9,   6.9,  16.7,  28.4,   8.7,  21.5,   6.4
2026071802011110,1,07180014,10,       3839,   8.7,  23.8,  47.2,   1.9,   7.0,  16.7,  28.1,   8.7,  21.7,   6.5
2026071802011110,1,07180023,10,       3879,   8.7,  22.9,  47.7,   1.9,   6.9,  16.4,  28.2,   8.8,  21.4,   6.5
2026071802011110,1,07180031,10,       3925,   8.6,  23.2,  47.5,   1.9,   7.0,  15.9,  28.2,   8.5,  21.6,   6.6
2026071802011110,1,07180039,10,       4070,   8.2,  23.2,  48.5,   1.9,   7.1,  16.5,  29.3,   8.5,  22.1,   6.1
2026071802011110,1,07180047,10,       4097,   8.2,  23.0,  48.2,   1.9,   7.2,  16.5,  29.5,   8.3,  22.2,   6.2
2026071802011110,1,07180056,10,       4192,   8.4,  19.9,  48.6,   1.9,   7.3,  16.8,  30.2,   8.5,  21.3,   5.9
2026071802011110,1,07180104,10,       4232,   8.5,  19.7,  49.0,   1.9,   7.4,  17.0,  25.8,   8.6,  20.8,   6.0
2026071802011110,1,07180112,10,       4262,   8.3,  19.7,  48.7,   2.0,   7.4,  17.1,  25.6,   8.5,  20.9,   6.0
2026071802011110,1,07180120,10,       4272,   8.3,  19.6,  48.1,   2.0,   7.4,  17.1,  25.5,   8.5,  20.9,   6.0
2026071802011110,1,07180129,10,       4318,   8.4,  18.6,  47.9,   2.0,   7.5,  17.0,  25.2,   8.4,  20.9,   5.9
2026071802011110,1,07180137,10,       4340,   8.4,  18.6,  47.5,   2.0,   7.5,  16.3,  24.9,   8.5,  20.9,   5.9
2026071802011110,1,07180145,10,       4425,   8.5,  19.0,  45.9,   2.0,   7.6,  16.6,  25.2,   8.6,  19.0,   5.6
2026071802011110,1,07180153,10,       4469,   8.5,  19.1,  44.1,   2.0,   7.6,  16.7,  25.1,   8.7,  18.9,   5.6
2026071802011110,1,07180202,10,       4494,   8.3,  19.1,  44.3,   2.0,   7.7,  16.7,  25.3,   8.7,  19.0,   5.6
2026071802011110,1,07180210,10,       4501,   8.3,  19.1,  44.4,   2.0,   7.7,  16.7,  25.3,   8.7,  19.0,   5.6
2026071802011110,1,07180218,10,       4644,   8.3,  19.3,  45.8,   2.0,   7.9,  16.1,  25.4,   8.8,  19.5,   5.3
2026071802011110,1,07180226,10,       4681,   8.3,  19.5,  45.6,   2.0,   7.9,  16.2,  25.6,   8.8,  19.7,   5.2
2026071802011110,1,07180235,10,       4723,   8.4,  19.6,  46.0,   2.0,   7.9,  16.3,  25.8,   8.7,  18.8,   5.2
2026071802011110,1,07180243,10,       4748,   8.4,  19.5,  46.3,   2.1,   7.9,  16.2,  23.8,   8.8,  18.9,   5.2
2026071802011110,1,07180251,10,       4837,   8.6,  19.9,  47.1,   2.1,   8.0,  15.8,  23.4,   8.7,  18.2,   5.2
2026071802011110,1,07180259,10,       4845,   8.6,  19.4,  47.2,   2.1,   8.1,  15.8,  23.3,   8.7,  18.2,   5.2
2026071802011110,1,07180308,10,       4851,   8.6,  19.4,  47.3,   2.1,   8.0,  15.8,  23.2,   8.7,  18.3,   5.2
2026071802011110,1,07180316,10,       4872,   8.7,  19.2,  46.9,   2.1,   7.9,  15.9,  23.2,   8.7,  18.3,   5.2
2026071802011110,1,07180324,10,       4889,   8.7,  19.3,  47.1,   2.1,   7.9,  15.9,  23.2,   8.7,  18.4,   5.2
2026071802011110,1,07180332,10,       4891,   8.7,  19.3,  47.1,   2.1,   7.9,  15.9,  23.2,   8.7,  18.4,   5.2
2026071802011110,1,07180341,10,       4933,   8.7,  19.5,  41.9,   2.1,   7.9,  15.4,  22.1,   8.7,  18.6,   5.2
2026071802011110,1,07180349,10,       4986,   8.6,  19.7,  42.4,   2.1,   7.9,  15.5,  22.4,   8.8,  18.8,   5.0
2026071802011110,1,07180357,10,       5054,   8.8,  20.0,  43.0,   2.1,   8.0,  15.7,  22.7,   8.8,  19.0,   4.8
2026071802011110,1,07180405,10,       5077,   8.8,  19.1,  43.2,   2.1,   8.1,  15.2,  22.8,   8.8,  19.1,   4.8
2026071802011110,1,07180414,10,       5101,   8.7,  19.1,  42.5,   2.1,   8.0,  15.0,  22.6,   8.9,  19.1,   4.8
2026071802011110,1,07180422,10,       5124,   8.7,  19.2,  42.2,   2.1,   8.1,  15.0,  22.7,   8.8,  19.2,   4.8
2026071802011110,1,07180430,10,       5205,   8.6,  19.1,  41.6,   2.2,   8.2,  14.9,  19.8,   8.9,  19.1,   4.8
2026071802011110,1,07180438,10,       5215,   8.6,  19.2,  41.7,   2.2,   8.2,  14.9,  19.8,   8.8,  19.0,   4.8
2026071802011110,1,07180447,10,       5240,   8.6,  19.3,  41.9,   2.2,   8.2,  14.5,  19.8,   8.9,  19.1,   4.8
2026071802011110,1,07180455,10,       5251,   8.6,  19.3,  42.0,   2.2,   8.1,  14.5,  19.9,   8.9,  19.1,   4.8
2026071802011110,1,07180503,10,       5265,   8.7,  19.4,  42.1,   2.2,   8.1,  14.5,  19.7,   8.9,  18.8,   4.8
2026071802011110,1,07180511,10,       5296,   8.7,  19.5,  42.3,   2.2,   8.1,  14.0,  19.8,   8.9,  18.9,   4.8
2026071802011110,1,07180520,10,       5322,   8.7,  19.4,  42.5,   2.2,   8.2,  13.9,  19.9,   9.0,  18.9,   4.8
2026071802011110,1,07180528,10,       5344,   8.7,  19.5,  42.7,   2.2,   8.1,  13.9,  19.9,   8.8,  19.0,   4.8
2026071802011110,1,07180536,10,       5391,   8.8,  19.6,  43.1,   2.2,   8.2,  14.0,  18.2,   8.8,  18.2,   4.9
2026071802011110,1,07180544,10,       5525,   7.5,  20.0,  43.7,   2.2,   8.3,  14.1,  18.7,   8.9,  18.7,   4.9
2026071802011110,1,07180553,10,       5664,   7.6,  20.4,  39.7,   2.2,   8.5,  14.4,  18.3,   9.1,  18.0,   5.0
2026071802011110,1,07180601,10,       5708,   7.6,  20.4,  38.3,   2.2,   8.3,  14.4,  18.4,   9.2,  17.6,   5.0
2026071802011110,1,07180609,10,       5763,   7.7,  20.4,  38.4,   2.2,   8.4,  14.0,  18.5,   9.1,  17.3,   4.9
2026071802011110,1,07180617,10,       5819,   7.6,  20.0,  38.7,   2.3,   8.4,  14.2,  18.3,   9.0,  17.4,   5.0
2026071802011110,1,07180626,10,       6020,   7.8,  20.6,  40.1,   2.2,   8.5,  14.7,  18.5,   8.9,  17.8,   5.1
