ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026071902011201,1,07181930,8,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0
2026071902011201,1,07181935,8,         55,   1.1,   6.2,   8.8,   0.0,  22.0,   0.0,   0.0,  44.0
2026071902011201,1,07181940,8,        129,   1.5,   4.3,   7.3, 103.2,  17.2,  25.8, 103.2,   9.3
2026071902011201,1,07181946,8,        206,   1.4,   6.1,  10.3,  12.6,  10.3,  32.9,  54.9,  10.3
2026071902011201,1,07181951,8,        235,   1.5,   6.0,  11.0,  11.0,   9.8,  26.8,  31.3,   9.4
2026071902011201,1,07181956,8,        371,   1.6,   7.0,  15.6,  15.6,   5.0,  29.6,  18.5,  10.9
2026071902011201,1,07182001,8,        539,   2.0,   7.0,  10.7,  13.4,   6.9,  35.9,  22.6,   4.0
2026071902011201,1,07182007,8,        698,   2.3,   7.4,  13.9,   9.3,   6.6,  32.8,  22.3,   3.4
2026071902011201,1,07182012,8,        782,   2.3,   8.1,  14.8,   8.0,   7.3,  36.8,  24.0,   3.3
2026071902011201,1,07182017,8,        909,   2.4,   8.6,  16.5,   7.4,   5.4,  38.2,  25.0,   3.6
2026071902011201,1,07182022,8,        983,   2.3,   9.1,  16.7,   6.4,   5.6,  37.4,  25.3,   3.7
2026071902011201,1,07182028,8,       1062,   2.1,   9.3,  18.0,   6.5,   6.0,  40.4,  24.9,   4.0
2026071902011201,1,07182033,8,       1165,   2.2,   8.7,  19.4,   6.5,   6.3,  35.8,  25.8,   3.7
2026071902011201,1,07182038,8,       1229,   2.2,   8.7,  20.0,   6.3,   6.3,  37.8,  27.3,   3.8
2026071902011201,1,07182043,8,       1364,   2.1,   9.0,  13.3,   6.3,   6.6,  40.4,  28.7,   4.1
2026071902011201,1,07182049,8,       1484,   2.3,   8.8,  12.4,   6.1,   6.3,  43.9,  22.4,   4.2
2026071902011201,1,07182054,8,       1631,   2.3,   8.3,  13.4,   5.1,   6.7,  46.6,  22.1,   4.5
2026071902011201,1,07182059,8,       1924,   2.1,   9.0,  12.9,   5.4,   7.4,  51.3,  24.0,   4.7
2026071902011201,1,07182104,8,       2356,   1.8,  10.2,  15.4,   6.4,   5.8,  62.8,  28.1,   5.5
2026071902011201,1,07182110,8,       2457,   1.8,  10.3,  15.7,   6.4,   5.6,  63.4,  28.4,   5.6
2026071902011201,1,07182115,8,       2611,   1.9,   9.8,  16.1,   5.7,   5.9,  67.3,  29.8,   5.4
2026071902011201,1,07182120,8,       2873,   1.8,   9.9,  17.5,   5.9,   6.5,  74.1,  31.9,   5.4
2026071902011201,1,07182125,8,       3282,   1.8,  10.6,  11.0,   6.4,   7.1,  72.9,  34.5,   5.6
2026071902011201,1,07182131,8,       4093,   1.5,  13.1,  13.4,   7.7,   8.3,  90.9,  41.9,   5.2
2026071902011201,1,07182136,8,       4353,   1.6,  13.6,  14.2,   7.1,   8.5,  96.7,  44.6,   5.2
2026071902011201,1,07182141,8,       4672,   1.5,  13.4,  14.6,   7.0,   8.8, 101.0,  45.5,   5.5
2026071902011201,1,07182146,8,       4762,   1.5,  12.7,  13.9,   7.0,   8.8, 102.9,  46.4,   5.5
2026071902011201,1,07182152,8,       4864,   1.6,  12.6,  14.0,   6.8,   8.8,  94.9,  46.8,   5.3
2026071902011201,1,07182157,8,       5234,   1.6,  13.5,  15.0,   6.9,   6.4, 102.1,  49.8,   5.6
2026071902011201,1,07182202,8,       5374,   1.6,  13.3,  15.4,   6.9,   6.3, 104.8,  49.4,   5.4
2026071902011201,1,07182207,8,       5625,   1.7,  13.7,  16.1,   5.5,   6.4, 102.2,  50.0,   5.4
2026071902011201,1,07182213,8,       5741,   1.7,  13.7,  16.0,   5.5,   6.4, 104.3,  51.0,   5.2
2026071902011201,1,07182218,8,       5951,   1.8,  13.8,  15.5,   5.4,   6.3,  68.9,  51.7,   5.3
2026071902011201,1,07182223,8,       6172,   1.8,  13.9,  15.8,   5.5,   5.6,  71.5,  48.4,   5.4
