ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026071902011202,1,07181933,10,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011202,1,07181941,10,         49,   3.9,   0.0,   0.0,   3.2,  19.6,   7.8,   0.0,  19.6,  39.2,   2.3
2026071902011202,1,07181949,10,        107,   7.7,  21.4,  28.5,   3.5,   7.1,   6.5,  12.2,   8.5,  28.5,   4.2
2026071902011202,1,07181958,10,        153,  10.2,  20.4,  40.8,   2.7,   9.4,   7.6,  15.3,   9.4,  30.6,   3.6
2026071902011202,1,07182006,10,        334,  19.0,  24.2,  66.8,   3.8,  12.1,  14.8,  26.7,   2.9,  44.5,   3.0
2026071902011202,1,07182014,10,        374,  21.3,  21.3,  59.8,   3.9,  10.6,  16.6,  29.9,   3.0,  33.2,   2.8
2026071902011202,1,07182022,10,        469,  22.0,  15.6,  75.0,   3.9,  10.4,  20.8,  37.5,   3.0,  34.1,   2.8
2026071902011202,1,07182031,10,        502,  23.6,  16.7,  80.3,   4.0,   9.3,  21.1,  40.1,   3.0,  26.7,   2.9
2026071902011202,1,07182039,10,        648,  28.8,  12.3,  74.0,   3.7,  10.1,  24.6,  27.2,   2.8,  25.9,   3.4
2026071902011202,1,07182047,10,        735,  32.6,  11.3,  84.0,   4.1,  10.3,  25.5,  30.9,   2.7,  29.4,   3.2
2026071902011202,1,07182055,10,        840,  33.6,  12.0,  84.0,   4.0,   9.8,  28.0,  18.6,   2.6,  32.0,   3.5
2026071902011202,1,07182104,10,        943,  35.9,  11.4,  41.9,   4.4,   9.0,  26.9,  20.3,   2.5,  31.4,   3.8
2026071902011202,1,07182112,10,       1150,  38.3,  13.5,  43.8,   3.8,   8.5,  25.5,  14.6,   2.7,  34.0,   4.1
2026071902011202,1,07182120,10,       1181,  39.3,  13.6,  44.9,   3.8,   7.5,  24.8,  14.5,   2.7,  33.7,   4.1
2026071902011202,1,07182128,10,       1308,  38.7,  14.1,  47.5,   3.4,   7.8,  25.5,  15.3,   2.8,  33.7,   4.2
2026071902011202,1,07182137,10,       1405,  40.1,  14.5,  46.8,   3.2,   8.1,  24.9,  15.6,   3.0,  35.1,   4.1
2026071902011202,1,07182145,10,       1555,  37.6,  15.5,  49.7,   3.5,   7.6,  14.1,  16.1,   3.0,  37.6,   4.1
2026071902011202,1,07182153,10,       1708,  41.4,  17.0,  50.6,   3.7,   8.2,   9.6,  16.6,   3.0,  39.0,   4.0
2026071902011202,1,07182201,10,       1929,  44.0,  18.8,  55.1,   3.0,   8.1,   9.7,  17.9,   3.3,  44.0,   4.3
2026071902011202,1,07182210,10,       2044,  46.7,  19.0,  54.5,   3.2,   8.2,  10.1,  17.9,   3.1,  45.4,   4.2
2026071902011202,1,07182218,10,       2175,  47.0,  18.5,  51.1,   3.3,   8.3,   8.4,  18.7,   3.2,  39.5,   4.3
2026071902011202,1,07182226,10,       2247,  47.3,  18.7,  44.9,   3.3,   8.3,   8.6,  19.1,   3.1,  39.9,   4.3
2026071902011202,1,07182234,10,       2401,  50.5,  18.4,  46.8,   3.2,   8.5,   9.1,  16.5,   3.2,  42.6,   4.4
2026071902011202,1,07182243,10,       2677,  41.1,  20.2,  48.6,   2.8,   7.9,   9.9,  16.8,   3.5,  43.7,   4.6
2026071902011202,1,07182251,10,       2790,  41.3,  20.4,  49.6,   2.8,   7.7,   9.5,  16.6,   3.6,  37.2,   4.7
2026071902011202,1,07182259,10,       2879,  41.8,  21.1,  50.0,   2.9,   7.8,   9.7,  16.9,   3.5,  38.3,   4.6
2026071902011202,1,07182307,10,       2986,  37.3,  19.5,  48.7,   2.9,   7.3,  10.1,  17.4,   3.5,  36.7,   4.7
2026071902011202,1,07182316,10,       3224,  40.3,  20.3,  52.6,   3.1,   7.8,  10.2,   9.7,   3.5,  37.9,   5.0
2026071902011202,1,07182324,10,       3360,  40.7,  20.6,  50.7,   3.2,   8.0,  10.2,   9.8,   3.4,  36.3,   4.8
2026071902011202,1,07182332,10,       3467,  40.7,  20.3,  49.5,   3.2,   6.8,  10.5,  10.0,   3.5,  36.9,   5.0
2026071902011202,1,07182340,10,       3631,  42.0,  20.6,  50.9,   3.2,   6.7,  11.0,   8.9,   3.5,  37.7,   5.1
2026071902011202,1,07182349,10,       4446,  51.5,  25.2,  61.3,   3.3,   7.8,  13.3,  10.8,   2.5,  45.6,   6.0
2026071902011202,1,07182357,10,       4514,  49.4,  25.0,  61.2,   3.3,   7.6,  13.3,  11.0,   2.5,  46.2,   6.0
2026071902011202,1,07190005,10,       4542,  49.7,  24.3,  61.5,   3.3,   7.6,  13.3,  11.1,   2.5,  46.5,   6.0
2026071902011202,1,07190013,10,       4678,  51.2,  22.2,  62.3,   3.4,   7.5,  13.6,  11.4,   2.4,  46.7,   6.1
2026071902011202,1,07190022,10,       4753,  52.0,  22.3,  63.3,   3.4,   7.5,  13.8,  11.5,   2.4,  47.5,   6.1
2026071902011202,1,07190030,10,       4938,  54.1,  22.5,  63.7,   3.5,   7.5,  14.3,  12.0,   2.4,  43.4,   5.7
2026071902011202,1,07190038,10,       5112,  56.0,  20.6,  59.2,   3.4,   7.6,  14.3,  12.3,   2.5,  39.3,   5.7
2026071902011202,1,07190046,10,       5243,  55.1,  20.6,  59.0,   3.4,   7.7,  14.5,  12.4,   2.5,  39.9,   5.3
2026071902011202,1,07190055,10,       5286,  52.8,  20.7,  57.9,   3.4,   7.7,  14.6,  12.5,   2.6,  39.8,   5.2
2026071902011202,1,07190103,10,       5332,  53.3,  19.6,  57.6,   3.4,   7.7,  14.7,  12.6,   2.6,  39.8,   5.2
2026071902011202,1,07190111,10,       5379,  53.7,  19.5,  58.1,   3.4,   7.7,  14.5,  12.5,   2.6,  39.8,   5.2
2026071902011202,1,07190119,10,       5424,  54.2,  19.5,  54.9,   3.4,   7.7,  14.6,  12.6,   2.6,  40.1,   5.2
2026071902011202,1,07190128,10,       5567,  55.6,  19.7,  56.3,   3.5,   7.9,  14.9,  12.5,   2.7,  37.4,   4.7
2026071902011202,1,07190136,10,       5630,  55.6,  19.7,  55.6,   3.5,   7.8,  14.5,  12.4,   2.7,  37.5,   4.7
2026071902011202,1,07190144,10,       5691,  48.4,  19.7,  56.2,   3.5,   7.8,  14.6,  12.5,   2.7,  37.3,   4.7
2026071902011202,1,07190152,10,       5778,  47.1,  19.9,  57.0,   3.5,   7.7,  14.8,  12.6,   2.7,  36.9,   4.7
2026071902011202,1,07190201,10,       5838,  47.6,  19.9,  51.3,   3.5,   7.7,  14.9,  12.7,   2.7,  37.0,   4.8
2026071902011202,1,07190209,10,       5887,  48.0,  19.9,  50.1,   3.5,   7.7,  14.9,  12.8,   2.7,  36.7,   4.8
2026071902011202,1,07190217,10,       6039,  48.8,  19.9,  51.3,   3.2,   7.9,  15.3,  13.1,   2.7,  37.7,   4.9
2026071902011202,1,07190226,10,       6116,  49.4,  20.0,  52.0,   3.2,   7.7,  15.1,  13.1,   2.8,  37.6,   4.9
2026071902011202,1,07190234,10,       6144,  49.6,  20.1,  52.2,   3.2,   7.7,  15.0,  13.0,   2.8,  37.8,   4.9
2026071902011202,1,07190242,10,       6358,  49.8,  20.6,  54.1,   3.1,   8.0,  15.4,  11.9,   2.9,  36.8,   4.8
2026071902011202,1,07190250,10,       6433,  50.4,  20.9,  53.0,   3.2,   8.0,  15.6,  12.0,   2.8,  35.7,   4.9
2026071902011202,1,07190259,10,       6528,  50.2,  21.0,  53.2,   3.2,   8.1,  15.7,  12.1,   2.8,  36.0,   4.7
2026071902011202,1,07190307,10,       6553,  50.4,  21.0,  53.4,   3.2,   8.1,  15.8,  12.2,   2.8,  36.1,   4.7
2026071902011202,1,07190315,10,       6640,  51.0,  20.9,  53.1,   3.2,   8.1,  15.5,  11.2,   2.9,  34.2,   4.8
2026071902011202,1,07190323,10,       6679,  50.8,  21.0,  52.9,   3.2,   8.1,  15.5,  11.2,   2.9,  34.4,   4.8
2026071902011202,1,07190332,10,       6729,  50.7,  20.3,  52.7,   3.2,   8.2,  15.6,  11.2,   2.9,  34.5,   4.8
2026071902011202,1,07190340,10,       6771,  50.6,  20.4,  53.1,   3.2,   8.1,  15.5,  11.1,   2.9,  34.7,   4.8
2026071902011202,1,07190348,10,       6880,  50.4,  20.6,  53.4,   3.1,   8.1,  15.7,  10.8,   2.9,  35.2,   4.8
