ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘
2026071902011204,1,07181934,13,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011204,1,07181942,13,         42,  16.8,   2.8,   5.6,  33.6,  16.8,   3.3,  33.6,   0.0,  11.2,  33.6,  16.8,  33.6,  33.6
2026071902011204,1,07181950,13,        133,  53.2,   2.5,   8.8, 106.4,  35.4,   8.8,   8.1,  26.6,  26.6,  10.6,  11.8,   5.6,  53.2
2026071902011204,1,07181958,13,        189,  50.4,   2.9,   5.4,  75.6,  37.8,   8.4,   8.8,  30.2,  30.2,  13.7,   8.8,   7.2,  25.2
2026071902011204,1,07182007,13,        384, 102.4,   4.2,   7.1,  51.2,  76.8,  15.3,   8.3,  38.4,  11.8,   5.5,   7.8,   8.5,   8.7
2026071902011204,1,07182015,13,        462, 123.2,   4.5,   7.2,  16.8,  92.4,  11.9,   7.3,  46.2,  14.2,   5.8,   7.5,  10.2,   9.9
2026071902011204,1,07182023,13,        579,  57.9,   3.7,   8.2,  21.0,  92.6,  11.2,   6.5,  46.3,  17.1,   6.8,   8.2,  10.7,   9.2
2026071902011204,1,07182031,13,        743,  66.0,   4.3,   9.5,  18.0, 118.8,  14.4,   5.2,  45.7,  22.0,   8.7,   9.2,   9.1,   5.6
2026071902011204,1,07182040,13,        926,  52.9,   4.5,   6.3,  19.4, 148.1,  15.7,   5.6,  52.9,  18.5,  10.0,   6.9,  10.7,   6.8
2026071902011204,1,07182048,13,       1008,  57.6,   4.2,   6.8,  20.6, 161.2,  16.8,   5.3,  57.6,  19.6,  10.7,   7.5,   8.2,   7.3
2026071902011204,1,07182056,13,       1409,  66.3,   5.7,   8.1,  22.1,  75.1,  16.1,   5.4,  36.3,  19.4,  12.2,   9.0,   4.4,   7.3
2026071902011204,1,07182104,13,       1703,  43.9,   6.4,   9.0,  26.2,  48.6,  19.1,   3.9,  30.2,  23.0,  13.6,  10.4,   4.2,   8.7
2026071902011204,1,07182113,13,       2020,  42.5,   4.5,  10.4,  29.9,  53.8,  21.8,   4.0,  23.4,  24.4,  15.8,   9.7,   4.6,   9.7
2026071902011204,1,07182121,13,       2153,  43.0,   4.4,  10.3,  30.2,  55.5,  16.0,   4.1,  24.9,  25.7,  15.5,   9.7,   4.7,  10.3
2026071902011204,1,07182129,13,       2407,  44.7,   4.4,   8.2,  32.0,  60.1,  17.9,   3.9,  27.5,  27.1,  15.1,  10.4,   4.9,  11.1
2026071902011204,1,07182137,13,       2524,  36.7,   4.4,   8.4,  33.1,  59.3,  18.6,   4.0,  24.6,  26.9,  12.6,  10.6,   5.2,  11.5
2026071902011204,1,07182146,13,       2846,  37.9,   4.4,   8.0,  36.7,  61.5,  20.8,   4.1,  27.7,  23.2,  13.8,   7.0,   5.6,  12.9
2026071902011204,1,07182154,13,       2970,  38.9,   4.4,   8.0,  36.5,  62.5,  21.4,   4.2,  28.2,  22.4,  13.5,   7.2,   5.8,  12.0
2026071902011204,1,07182202,13,       3353,  41.9,   3.5,   8.5,  40.0,  68.7,  23.9,   4.5,  31.9,  25.0,  12.3,   7.3,   6.4,  12.7
2026071902011204,1,07182210,13,       3591,  44.1,   3.6,   9.0,  36.8,  71.8,  25.2,   3.9,  29.9,  25.4,  12.4,   7.7,   6.6,  13.3
2026071902011204,1,07182219,13,       3931,  39.3,   3.8,   9.6,  37.4,  76.7,  26.4,   3.5,  26.8,  26.8,  12.9,   8.0,   6.4,  14.4
2026071902011204,1,07182227,13,       4023,  36.1,   3.8,   9.5,  36.9,  78.4,  25.9,   3.5,  27.0,  26.8,  13.1,   8.0,   6.3,  14.6
2026071902011204,1,07182235,13,       4200,  35.7,   3.9,   9.8,  37.3,  81.9,  26.2,   3.5,  26.6,  26.6,  13.2,   7.6,   6.3,  14.8
2026071902011204,1,07182243,13,       4341,  34.7,   3.8,  10.0,  37.3,  80.7,  26.5,   3.5,  27.1,  26.9,  13.2,   7.5,   6.4,  14.4
2026071902011204,1,07182252,13,       4541,  32.7,   3.9,  10.0,  39.0,  68.5,  27.5,   3.5,  28.1,  27.7,  12.5,   7.2,   6.4,  14.7
2026071902011204,1,07182300,13,       4840,  34.8,   4.1,  10.6,  36.1,  73.0,  28.6,   3.1,  29.7,  29.3,  13.0,   7.6,   6.8,  14.4
2026071902011204,1,07182308,13,       5051,  33.6,   4.2,  10.9,  37.4,  74.8,  27.8,   2.9,  31.0,  28.8,  13.5,   7.6,   7.0,  14.9
2026071902011204,1,07182316,13,       5206,  33.3,   4.2,  10.9,  37.5,  77.1,  27.9,   2.9,  31.7,  29.5,  13.7,   7.6,   7.0,  15.0
2026071902011204,1,07182325,13,       5410,  32.2,   4.2,  10.7,  38.9,  78.6,  28.8,   2.9,  32.7,  29.6,  14.1,   7.3,   7.2,  14.3
2026071902011204,1,07182333,13,       5565,  32.2,   4.3,  10.7,  40.1,  80.9,  26.1,   2.9,  33.2,  30.2,  14.1,   6.9,   7.3,  14.5
2026071902011204,1,07182341,13,       5772,  31.6,   4.4,  10.2,  38.4,  81.0,  26.8,   2.9,  32.2,  30.7,  14.1,   7.0,   7.5,  14.4
2026071902011204,1,07182349,13,       5918,  31.1,   4.4,  10.1,  39.1,  83.0,  27.5,   2.9,  33.1,  31.1,  13.3,   6.9,   7.5,  14.5
2026071902011204,1,07182358,13,       6006,  31.4,   4.4,  10.0,  39.0,  84.2,  27.1,   2.9,  33.3,  30.6,  13.4,   6.9,   7.5,  14.6
2026071902011204,1,07190006,13,       6119,  29.8,   4.5,  10.2,  39.4,  85.8,  27.6,   2.8,  31.5,  31.1,  13.5,   7.0,   7.4,  14.7
2026071902011204,1,07190014,13,       6235,  29.3,   4.6,  10.3,  38.6,  86.0,  28.0,   2.9,  32.1,  31.3,  12.8,   7.1,   7.5,  14.0
2026071902011204,1,07190022,13,       6392,  29.7,   4.7,  10.5,  37.6,  86.6,  28.7,   2.8,  32.7,  32.1,  12.7,   7.2,   7.6,  14.2
2026071902011204,1,07190031,13,       6750,  30.8,   4.9,  10.5,  38.0,  71.0,  30.3,   2.8,  33.5,  31.7,  12.1,   7.3,   6.7,  14.4
2026071902011204,1,07190039,13,       6825,  31.2,   4.9,  10.6,  37.9,  70.9,  30.5,   2.8,  28.4,  30.3,  12.2,   7.4,   6.7,  14.6
2026071902011204,1,07190047,13,       6952,  31.2,   4.9,  10.7,  37.8,  70.4,  30.7,   2.8,  28.9,  30.5,  12.3,   7.3,   6.7,  14.8
2026071902011204,1,07190055,13,       6997,  31.4,   5.0,  10.7,  38.0,  70.8,  30.5,   2.8,  29.1,  29.6,  12.2,   7.3,   6.6,  14.9
2026071902011204,1,07190104,13,       7094,  31.8,   5.0,  10.6,  38.0,  71.8,  30.1,   2.8,  29.5,  27.9,  12.3,   7.4,   6.7,  14.7
2026071902011204,1,07190112,13,       7160,  32.1,   5.0,  10.3,  38.4,  72.5,  30.4,   2.8,  29.8,  27.5,  12.4,   7.4,   6.7,  14.6
2026071902011204,1,07190120,13,       7308,  32.3,   5.0,  10.5,  39.2,  74.0,  31.0,   2.8,  29.9,  27.1,  12.1,   7.0,   6.8,  14.8
2026071902011204,1,07190128,13,       7332,  31.0,   5.0,  10.5,  39.3,  74.2,  31.2,   2.8,  29.7,  26.9,  12.1,   7.0,   6.8,  14.9
2026071902011204,1,07190137,13,       7598,  32.1,   5.2,  10.9,  40.7,  76.9,  32.1,   2.8,  20.4,  25.9,  12.5,   7.2,   7.0,  13.7
2026071902011204,1,07190145,13,       7656,  32.2,   5.2,  10.7,  41.1,  77.5,  30.7,   2.9,  20.6,  24.9,  12.3,   7.2,   7.1,  13.7
2026071902011204,1,07190158,13,       7777,  32.4,   5.2,  10.6,  38.6,  78.7,  31.2,   2.8,  20.6,  24.8,  12.4,   7.3,   7.1,  13.5
2026071902011204,1,07190206,13,       7857,  30.6,   5.2,  10.7,  38.5,  77.6,  31.2,   2.8,  20.0,  24.8,  12.5,   7.3,   7.1,  13.6
2026071902011204,1,07190214,13,       7988,  31.1,   5.1,  10.9,  39.2,  78.8,  31.7,   2.9,  20.3,  25.1,  12.5,   7.3,   6.9,  13.8
2026071902011204,1,07190223,13,       8074,  31.5,   5.1,  10.9,  39.6,  79.7,  32.1,   2.9,  20.5,  25.3,  12.2,   7.3,   6.9,  13.8
