ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘
2026071902011206,1,07181939,16,         24,   9.6,   0.0,   0.0,   3.8,  19.2,   0.0,   0.0,   0.0,   1.7,   9.6,   9.6,  19.2,   0.0,   0.0,   0.0,   0.0
2026071902011206,1,07181947,16,         89,  14.2,  71.2,   2.2,  10.1,  71.2,   7.9,  71.2,  23.7,   5.4,  11.8,  23.7,  71.2,   0.0,  35.6,  71.2,  17.8
2026071902011206,1,07181955,16,        113,   7.5,  45.2,   2.7,  11.3,  45.2,   9.0,  45.2,  22.6,   5.3,  11.3,  30.1,  90.4,   0.0,  18.0,  90.4,  18.0
2026071902011206,1,07182004,16,        244,   5.9,  10.2,   5.5,  15.0,  32.5,   6.7,  48.8,  10.8,  10.2,  15.0,  17.7,  65.0,  48.8,   8.1,  65.0,  19.5
2026071902011206,1,07182012,16,        286,   6.9,  11.4,   4.6,  15.2,  38.1,   7.6,  57.2,  10.8,   9.9,  10.4,  19.0,  76.2,  57.2,   7.8,  57.2,  20.8
2026071902011206,1,07182020,16,        393,   7.4,  14.9,   5.8,  20.9,  22.4,  10.4,  62.8,  13.1,  11.2,   8.2,  17.4,  52.4,  62.8,   4.7,  26.2,  20.9
2026071902011206,1,07182028,16,        449,   7.9,  16.3,   6.0,  14.3,  22.4,  10.5,  71.8,  14.9,  11.5,   7.4,  19.9,  59.8,  51.3,   5.2,  14.3,  23.9
2026071902011206,1,07182037,16,       1622,  22.3,  54.0,  19.3,  49.9,  76.3,  34.1, 144.1,  17.0,  37.0,  19.9,   1.2, 162.2, 162.2,  10.4,  46.3,  81.1
2026071902011206,1,07182049,16,       1762,  17.4,  54.2,  16.2,  41.4,  56.3,  32.7, 117.4,  18.0,  34.3,  20.4,   1.3, 156.6, 156.6,   9.5,  45.4,  29.9
2026071902011206,1,07182057,16,       1893,  17.6,  50.4,  15.4,  32.9,  48.8,  28.0,  36.0,  18.4,  31.5,  19.6,   1.4, 126.2, 126.2,   9.7,  36.0,  30.2
2026071902011206,1,07182105,16,       1965,  15.8,  52.4,  14.6,  32.0,  49.1,  23.1,  37.4,  18.7,  31.4,  18.9,   1.5, 120.9, 120.9,   9.5,  30.2,  31.4
2026071902011206,1,07182113,16,       2171,  12.4,  20.9,  14.3,  32.1,  39.4,  17.7,  37.7,  20.1,  29.9,  18.6,   1.6, 124.0, 124.0,   9.6,  31.5,  34.7
2026071902011206,1,07182122,16,       2219,  12.4,  21.3,  13.3,  32.8,  36.9,  17.4,  38.5,  20.4,  30.0,  18.4,   1.7,  93.4, 118.3,   9.5,  31.7,  34.8
2026071902011206,1,07182130,16,       2399,  12.4,  22.3,  11.2,  34.8,  39.1,  18.2,  39.1,  19.5,  30.9,  19.0,   1.8,  27.0,  91.3,   9.1,  29.9,  31.9
2026071902011206,1,07182138,16,       2478,  12.3,  22.2,  11.3,  35.4,  39.6,  18.0,  39.6,  20.0,  27.1,  14.9,   1.8,  27.5,  82.6,   9.3,  28.7,  32.4
2026071902011206,1,07182146,16,       2635,  11.8,  23.1,  10.8,  33.4,  36.3,  17.5,  41.3,  20.2,  23.9,  14.7,   1.9,  25.7,  75.2,   9.4,  29.6,  27.7
2026071902011206,1,07182155,16,       2736,  12.0,  24.0,  11.0,  34.2,  20.0,  17.6,  42.0,  20.6,  21.8,  14.9,   2.0,  26.0,  75.4,   9.4,  29.9,  26.6
2026071902011206,1,07182203,16,       2909,  10.8,  25.2,  10.2,  35.2,  20.4,  16.2,  43.9,  21.7,  22.5,  15.3,   2.1,  25.0,  28.3,   9.7,  31.4,  28.0
2026071902011206,1,07182211,16,       3018,  11.0,  25.1,  10.2,  36.0,  20.1,  16.2,  40.9,  21.9,  20.4,  12.8,   2.2,  24.3,  28.4,  10.0,  32.6,  28.4
2026071902011206,1,07182219,16,       3121,  10.7,  25.4,   9.7,  36.7,  20.4,  15.7,  40.9,  21.3,  20.8,  13.0,   2.3,  24.9,  25.7,   9.8,  32.4,  27.7
2026071902011206,1,07182228,16,       3264,  10.4,  26.6,   9.8,  37.3,  20.7,  15.8,  37.8,  21.7,  21.4,  10.2,   2.3,  25.8,  26.3,  10.1,  33.9,  27.4
2026071902011206,1,07182236,16,       3469,  10.5,  26.1,   9.8,  29.5,  20.4,  15.0,  40.2,  22.0,  20.5,   9.5,   2.5,  24.1,  28.0,  10.5,  24.7,  28.9
2026071902011206,1,07182244,16,       3614,  10.0,  27.2,   9.3,  30.1,  21.1,  13.9,  40.7,  20.9,  20.2,   9.4,   2.6,  24.5,  28.3,  10.4,  24.9,  30.1
2026071902011206,1,07182252,16,       3783,   9.1,  27.2,   9.4,  25.4,  21.6,  13.8,  42.6,  21.4,  19.7,   8.9,   2.7,  22.7,  29.3,  10.4,  25.6,  31.2
2026071902011206,1,07182301,16,       3913,   9.0,  28.2,   9.7,  25.6,  20.5,  14.1,  43.4,  21.7,  20.3,   7.9,   2.8,  21.7,  30.3,  10.7,  25.2,  32.2
2026071902011206,1,07182309,16,       4032,   9.2,  28.0,   9.8,  26.4,  19.7,  14.1,  44.8,  21.9,  18.9,   7.3,   2.8,  22.4,  30.1,  10.9,  25.8,  33.2
2026071902011206,1,07182317,16,       4103,   9.0,  26.2,   9.6,  25.6,  19.8,  14.0,  44.9,  22.3,  18.9,   7.3,   2.8,  22.6,  30.1,  10.9,  26.0,  33.4
2026071902011206,1,07182325,16,       4198,   8.8,  25.6,   9.4,  26.2,  19.6,  13.9,  46.0,  22.8,  19.3,   7.0,   2.9,  23.1,  30.5,  10.8,  26.4,  33.9
2026071902011206,1,07182334,16,       4386,   9.1,  15.1,   8.6,  27.4,  20.4,  14.4,  43.3,  23.3,  19.6,   7.3,   3.0,  24.1,  31.8,  11.3,  26.9,  35.4
2026071902011206,1,07182342,16,       4451,   9.1,  15.0,   8.6,  27.6,  20.4,  13.9,  43.9,  23.4,  19.3,   7.2,   3.1,  24.3,  32.3,  11.3,  26.3,  35.9
2026071902011206,1,07182350,16,       4530,   9.0,  15.2,   8.5,  28.0,  20.8,  13.9,  42.1,  23.3,  19.5,   7.2,   3.1,  24.4,  32.6,  11.0,  25.3,  36.2
2026071902011206,1,07182358,16,       4630,   9.0,  15.4,   8.3,  28.7,  21.0,  14.0,  43.0,  23.2,  19.7,   6.8,   3.2,  25.0,  30.3,  11.1,  25.9,  36.6
2026071902011206,1,07190007,16,       4665,   8.8,  15.5,   8.4,  28.7,  20.5,  13.8,  42.8,  23.3,  19.8,   6.8,   3.2,  25.2,  30.5,  11.0,  26.0,  36.9
2026071902011206,1,07190015,16,       4725,   8.8,  15.6,   8.4,  29.0,  20.3,  12.9,  43.4,  23.4,  18.9,   6.8,   3.2,  25.5,  30.7,  11.1,  26.0,  37.4
2026071902011206,1,07190023,16,       4785,   8.9,  15.8,   8.5,  29.2,  20.5,  13.0,  43.0,  23.6,  17.4,   6.6,   3.3,  25.6,  31.1,  11.1,  26.4,  37.9
2026071902011206,1,07190031,16,       4869,   8.7,  16.0,   8.3,  28.2,  19.6,  12.9,  42.8,  23.7,  17.7,   6.6,   3.3,  25.7,  31.6,  11.1,  26.4,  38.5
2026071902011206,1,07190040,16,       4978,   8.7,  16.4,   8.4,  28.8,  20.1,  12.3,  43.2,  23.7,  17.3,   6.4,   3.4,  24.7,  29.9,  11.4,  27.0,  38.6
