ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026071902011207,1,07181931,14,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011207,1,07181939,14,         20,   0.0,   1.6,   0.0,   3.2,  16.0,  16.0,   0.0,   0.0,  16.0,   0.0,   8.0,   0.0,   0.0,   0.0
2026071902011207,1,07181947,14,        438,   7.6,  31.8, 350.4,  10.3,  70.0, 116.8,  70.0, 116.8,  58.4,  29.2, 116.8, 350.4,   0.0,   1.1
2026071902011207,1,07181955,14,        491,   8.3,  30.2,  65.4,   8.5,  56.1,  35.7,  23.1,  98.2,  49.1,  24.5,  98.2,  98.2,   0.0,   1.2
2026071902011207,1,07182004,14,        734,  10.1,  30.9,  73.4,   5.1,  58.7,  26.6,  23.4, 117.4,  16.3,  30.9,  83.8,  41.9, 587.2,   1.4
2026071902011207,1,07182016,14,       1476,  20.3,  59.0, 131.2,   9.7, 107.3,  45.4,  38.0, 147.6,   7.9,  56.2, 147.6,  78.7, 590.4,   1.1
2026071902011207,1,07182025,14,       1604,  19.4,  61.1,  91.6,   9.6,  64.1,  44.2,  40.1, 160.4,   8.4,  53.4, 160.4,  18.0, 320.8,   1.2
2026071902011207,1,07182033,14,       2657,  31.2,  96.6, 151.8,  13.8, 106.2,  54.5,  55.9, 265.7,  13.9,  88.5, 163.5,  27.6, 531.4,   1.1
2026071902011207,1,07182041,14,       2887,  28.8,  96.2, 135.8,  14.6, 109.9,  35.5,  22.8, 230.9,  14.7,  82.4, 177.6,  28.5, 461.9,   1.1
2026071902011207,1,07182049,14,       3956,  39.0, 121.7, 175.8,  18.6, 150.7,  44.5,  30.7, 131.8,  19.2, 109.1, 226.0,  31.3, 527.4,   1.1
2026071902011207,1,07182058,14,       4447,  40.4, 114.7, 154.6,  20.0, 161.7,  42.8,  30.6,  96.1,  20.3, 111.1, 237.1,  32.3, 444.7,   1.1
2026071902011207,1,07182106,14,       4534,  40.7, 113.3, 134.3,  17.7, 134.3,  42.6,  26.0,  93.0,  20.4,  95.4, 213.3,  31.0, 453.4,   1.1
2026071902011207,1,07182114,14,       4857,  41.3, 117.7, 138.7,  11.4, 117.7,  44.1,  23.8,  88.3,  20.6,  84.4, 194.2,  28.9, 485.7,   1.1
2026071902011207,1,07182126,14,       5309,  30.5, 108.9, 114.7,  10.2, 117.9,  31.2,  18.2,  83.2,  21.0,  68.5, 146.4,  25.7, 386.1,   1.1
2026071902011207,1,07182134,14,       5358,  30.8, 109.9, 112.8,  10.0, 119.0,  28.7,  18.3,  82.4,  21.1,  57.1, 147.8,  25.3, 389.6,   1.1
2026071902011207,1,07182143,14,       5483,  30.6, 109.6, 106.9,   9.7, 118.5,  27.5,  16.5,  63.5,  20.7,  52.2, 141.4,  24.3, 398.7,   1.1
2026071902011207,1,07182151,14,       5680,  30.9, 113.6, 108.1,   9.8, 119.5,  25.1,  16.2,  63.1,  21.1,  23.5, 133.6,  23.1, 378.6,   1.2
2026071902011207,1,07182159,14,       5826,  30.8, 113.6,  95.1,   9.3, 122.6,  22.8,  15.9,  62.1,  21.2,  22.6, 113.6,  20.9, 388.4,   1.2
2026071902011207,1,07182207,14,       6079,  32.2, 103.4,  88.4,   7.7,  83.8,  22.2,  15.7,  63.9,  22.0,  21.4, 110.5,  20.8, 405.2,   1.2
2026071902011207,1,07182216,14,       6233,  31.5,  97.7,  75.5,   7.6,  83.1,  21.2,  15.0,  64.7,  21.2,  21.6, 108.4,  18.3, 249.3,   1.3
2026071902011207,1,07182224,14,       6345,  32.1,  99.5,  59.7,   7.2,  81.8,  19.9,  15.2,  62.6,  21.0,  22.0, 108.0,  18.5, 253.8,   1.3
2026071902011207,1,07182232,14,       6580,  32.4, 101.2,  47.4,   7.3,  84.9,  18.0,  14.4,  63.4,  21.3,  22.8,  89.2,  14.5, 239.2,   1.3
2026071902011207,1,07182240,14,       6700,  30.8,  97.4,  45.8,   7.2,  82.4,  17.8,  14.2,  56.4,  21.7,  22.1,  75.4,  14.6, 233.0,   1.3
2026071902011207,1,07182249,14,       6838,  30.9,  97.6,  44.1,   7.2,  80.4,  17.4,  13.3,  51.1,  21.7,  20.9,  73.9,  14.2, 237.8,   1.4
2026071902011207,1,07182257,14,       6957,  31.0,  99.3,  44.8,   6.9,  81.8,  16.9,  12.8,  49.6,  22.1,  20.6,  75.2,  13.9, 214.0,   1.4
2026071902011207,1,07182305,14,       7121,  31.6, 101.7,  42.5,   7.0,  82.5,  16.5,  12.0,  49.9,  21.8,  20.2,  74.9,  13.9, 219.1,   1.4
2026071902011207,1,07182313,14,       7244,  31.8, 101.6,  41.6,   7.0,  83.9,  16.0,  11.8,  50.3,  22.1,  19.3,  76.2,  13.7, 206.9,   1.4
2026071902011207,1,07182322,14,       7384,  32.1, 103.6,  41.8,   7.1,  85.6,  15.3,  11.7,  48.8,  21.7,  17.3,  76.7,  12.9, 203.6,   1.5
