ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘
2026072604020202,1,07252132,9,         67,   0.0,  53.6,   1.0,  53.6,   0.0,  26.8,  53.6,   0.0,   0.0
2026072604020202,1,07252141,9,        975,  70.9,  41.0,   1.1, 111.4, 130.0,  52.0, 195.0,  60.0,  45.8
2026072604020202,1,07252149,9,       1418,  27.6,  29.8,   1.1,  32.4,  51.5,  27.6,  70.9,  35.4,   7.0
2026072604020202,1,07252157,9,       2646,  32.0,  28.2,   1.1,  51.6,  88.2,  44.1, 117.6,  60.4,  11.7
2026072604020202,1,07252205,9,       3143,  27.3,  24.1,   1.1,  44.9,  71.8,  10.4,  73.9,  62.8,  10.3
2026072604020202,1,07252214,9,       3358,  24.4,  21.4,   1.1,  39.5,  68.8,  10.4,  79.0,  62.4,   8.1
2026072604020202,1,07252222,9,       3769,  23.3,  20.1,   1.2,  36.7,  65.5,   6.8,  73.5,  54.8,   8.0
2026072604020202,1,07252230,9,       4016,  24.3,  20.8,   1.2,  33.8,  68.3,   7.2,  76.4,  56.3,   8.0
2026072604020202,1,07252243,9,       4435,  23.1,  12.8,   1.2,  29.5,  66.9,   7.5,  64.5,  56.3,   7.6
2026072604020202,1,07252251,9,       4631,  22.0,  13.2,   1.2,  27.2,  55.2,   7.6,  62.7,  58.8,   7.1
2026072604020202,1,07252259,9,       4830,  22.4,  13.6,   1.3,  26.8,  55.2,   7.1,  64.4,  60.3,   6.9
2026072604020202,1,07252308,9,       5360,  24.5,  12.9,   1.3,  27.1,  58.7,   7.5,  67.0,  55.6,   5.8
2026072604020202,1,07252316,9,       5543,  24.3,  13.0,   1.3,  26.8,  52.7,   7.5,  59.9,  51.5,   5.7
2026072604020202,1,07252324,9,       7872,  30.8,  17.6,   1.1,  37.2,  62.3,  10.2,  82.8,  69.9,   7.4
2026072604020202,1,07252332,9,       8090,  30.6,  16.0,   1.1,  37.8,  61.0,   9.6,  84.0,  68.1,   7.5
2026072604020202,1,07252341,9,       8339,  30.8,  15.9,   1.2,  34.7,  57.5,   8.9,  85.5,  68.7,   7.2
2026072604020202,1,07252349,9,       8858,  30.5,  16.0,   1.1,  36.7,  58.5,   9.4,  89.7,  68.1,   6.9
2026072604020202,1,07252357,9,       9701,  30.4,  16.6,   1.1,  39.7,  57.0,  10.2,  98.2,  73.9,   6.4
2026072604020202,1,07260005,9,      10040,  28.4,  14.7,   1.2,  36.1,  52.1,  10.2,  88.2,  65.3,   6.5
2026072604020202,1,07260014,9,      11050,  28.6,  15.6,   1.1,  34.9,  54.2,  11.0,  91.1,  70.1,   6.8
2026072604020202,1,07260022,9,      11168,  28.5,  15.3,   1.1,  33.5,  53.8,  10.9,  89.3,  69.2,   6.7
2026072604020202,1,07260030,9,      12029,  29.2,  13.8,   1.2,  34.7,  52.3,  11.4,  89.1,  70.2,   6.4
2026072604020202,1,07260038,9,      12238,  27.8,  14.0,   1.2,  33.1,  52.9,  11.5,  89.8,  68.4,   6.4
2026072604020202,1,07260047,9,      12535,  27.1,  13.9,   1.2,  28.8,  51.9,  11.7,  60.4,  67.7,   6.3
2026072604020202,1,07260055,9,      13102,  26.8,  14.1,   1.2,  29.1,  53.4,  11.9,  59.5,  69.4,   6.5
2026072604020202,1,07260103,9,      13654,  26.7,  14.2,   1.2,  29.2,  52.2,  11.7,  61.0,  70.9,   6.0
2026072604020202,1,07260111,9,      13990,  27.1,  14.4,   1.2,  29.7,  52.7,  11.8,  61.4,  71.7,   5.5
2026072604020202,1,07260120,9,      14248,  26.6,  14.2,   1.2,  28.8,  50.2,  11.6,  61.2,  71.6,   5.4
2026072604020202,1,07260128,9,      14659,  27.1,  14.4,   1.3,  29.4,  51.6,  11.7,  63.0,  73.7,   4.8
2026072604020202,1,07260136,9,      14808,  27.1,  14.3,   1.3,  29.3,  51.9,  11.7,  63.0,  74.0,   4.7
2026072604020202,1,07260145,9,      14888,  27.2,  14.3,   1.3,  28.8,  51.7,  11.8,  63.0,  73.9,   4.7
2026072604020202,1,07260153,9,      15070,  27.3,  14.5,   1.3,  29.0,  51.9,  11.7,  63.4,  74.8,   4.7
2026072604020202,1,07260201,9,      15240,  27.2,  14.5,   1.3,  28.8,  51.4,  11.7,  63.8,  75.2,   4.7
2026072604020202,1,07260209,9,      15386,  27.2,  14.6,   1.3,  28.8,  50.8,  11.6,  64.4,  75.5,   4.6
2026072604020202,1,07260218,9,      15458,  27.1,  14.4,   1.3,  28.7,  50.4,  11.5,  63.4,  74.9,   4.7
2026072604020202,1,07260226,9,      16570,  28.8,  15.3,   1.2,  30.1,  53.8,  12.2,  66.9,  77.0,   4.9
2026072604020202,1,07260234,9,      16636,  28.3,  15.2,   1.2,  29.7,  54.1,  12.2,  67.2,  75.6,   4.9
2026072604020202,1,07260242,9,      16770,  27.6,  15.1,   1.2,  29.6,  54.5,  12.2,  67.4,  75.3,   4.8
