ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026072604020211,1,07252132,15,         22,   0.0,  17.6,   0.0,  17.6,   1.4,   3.5,   0.0,   0.0,   0.0,   0.0,   0.0,  17.6,   0.0,   0.0,   8.8
2026072604020211,1,07252140,15,        132,   7.5,  17.6,  21.1,  15.0,   5.0,   4.2,   0.0,  52.8,  26.4,  52.8,   0.0,  52.8,   5.0,  52.8,   5.0
2026072604020211,1,07252148,15,        467,  14.3,  16.2,  53.3,  31.1,  13.8,  13.3, 124.5,  46.7,  31.1,   9.8,  11.3,  28.7,   8.8,  13.8,   2.2
2026072604020211,1,07252156,15,        783,  23.2,  26.1,  29.8,  36.8,   7.7,  12.7,  89.4,   8.4,  41.7,   5.5,  15.6,  36.8,  14.2,  20.8,   2.7
2026072604020211,1,07252205,15,       1010,  29.9,  26.0,  27.8,  33.6,   9.5,  12.0,  73.4,   9.8,  35.1,   6.6,  15.8,   9.0,  11.2,  19.7,   3.1
2026072604020211,1,07252213,15,       1195,  30.8,  28.9,  21.2,  34.1,  10.5,  12.9,  68.2,  10.9,  38.2,   6.3,  18.0,   6.5,  11.5,  22.2,   3.2
2026072604020211,1,07252221,15,       1448,  37.3,  33.0,  23.6,  38.6,   9.3,  13.7,  72.4,  13.0,  33.0,   6.7,  15.0,   7.3,  11.8,  20.6,   2.9
2026072604020211,1,07252229,15,       1736,  43.4,  38.5,  28.3,  43.4,  10.9,  16.1,  81.6,  15.4,  38.5,   7.7,  17.1,   7.5,  12.8,   8.4,   2.6
2026072604020211,1,07252238,15,       2097,  47.9,  39.0,  14.7,  45.3,  12.9,  14.7,  67.1,  17.6,  33.5,   7.8,  17.1,   7.8,  13.6,   9.6,   2.6
2026072604020211,1,07252246,15,       2181,  47.1,  38.7,  15.1,  42.5,  13.0,  15.0,  64.6,  17.9,  34.8,   7.7,  15.4,   7.8,  13.8,   9.7,   2.6
2026072604020211,1,07252254,15,       2448,  41.6,  34.9,  12.8,  37.6,  13.4,  15.0,  51.5,  17.9,  25.7,   7.8,  15.7,   7.9,  13.7,   9.9,   2.8
2026072604020211,1,07252302,15,       2544,  41.5,  35.0,  11.9,  38.4,  13.6,  15.5,  49.6,  18.0,  26.0,   7.9,  16.1,   7.7,  13.3,  10.0,   2.9
2026072604020211,1,07252311,15,       2747,  43.9,  20.1,  12.4,  38.5,  14.4,  15.4,  47.7,  17.7,  27.8,   8.4,  16.0,   7.6,  11.5,  10.7,   3.0
2026072604020211,1,07252319,15,       2890,  42.8,  21.0,  13.0,  39.1,  14.8,  16.0,  50.2,  18.4,  28.5,   8.0,  16.7,   7.5,  11.4,  10.7,   2.9
2026072604020211,1,07252327,15,       3120,  44.5,  21.7,  11.8,  36.1,  14.0,  15.2,  52.0,  19.3,  29.3,   7.5,  15.5,   7.6,  12.0,  10.8,   3.0
2026072604020211,1,07252336,15,       3203,  44.9,  21.9,  12.1,  25.8,  14.3,  15.6,  53.3,  19.4,  25.6,   7.7,  15.9,   7.7,  12.3,  10.2,   3.1
2026072604020211,1,07252344,15,       3403,  45.3,  22.8,  12.8,  26.1,  14.8,  16.3,  54.4,  20.6,  26.6,   8.1,  16.6,   8.1,  11.8,  10.8,   2.8
2026072604020211,1,07252352,15,       3493,  45.0,  23.4,  12.3,  24.5,  14.9,  16.6,  55.8,  21.1,  27.3,   8.1,  15.7,   8.3,  12.0,  10.9,   2.8
2026072604020211,1,07260005,15,       3986,  49.8,  26.5,   7.9,  27.4,  14.8,  18.5,  61.3,  23.2,  26.1,   9.0,  10.5,   9.3,  11.8,  12.3,   2.9
2026072604020211,1,07260013,15,       4166,  51.2,  26.6,   8.2,  28.2,  14.7,  18.6,  64.0,  23.9,  27.3,   9.4,  10.9,   7.5,  11.9,  12.3,   3.0
2026072604020211,1,07260021,15,       4310,  51.4,  23.9,   8.3,  28.7,  14.5,  18.7,  65.0,  23.7,  26.9,   9.5,  10.4,   7.6,  11.3,  12.5,   3.1
2026072604020211,1,07260029,15,       4482,  52.7,  24.7,   8.6,  29.6,  14.6,  18.4,  60.7,  23.7,  27.5,   9.7,  10.6,   7.8,  10.8,  11.8,   3.0
2026072604020211,1,07260038,15,       4785,  53.9,  25.8,   9.1,  22.0,  14.0,  15.9,  64.8,  25.1,  26.9,   9.3,  11.0,   7.7,  10.6,  12.2,   3.2
2026072604020211,1,07260046,15,       4840,  54.5,  25.9,   9.2,  22.2,  14.1,  15.9,  64.5,  23.4,  25.8,   9.3,  10.8,   7.8,  10.6,  12.3,   3.2
