ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026072607020203,1,07252133,10,         15,   0.0,   6.0,   0.0,  12.0,   0.0,   0.0,   6.0,   0.0,   1.2,   0.0
2026072607020203,1,07252142,10,        148,  59.2,  16.9,   2.5,  16.9,  39.4,  10.7,   6.9,  39.4,   5.6,   3.8
2026072607020203,1,07252150,10,        302,  10.9,  16.1,   3.6,  20.1,  26.8,   4.9,  11.5,  24.1,   5.3,   4.5
2026072607020203,1,07252158,10,        662,  22.0,  24.0,   7.7,  19.6,  52.9,   3.5,  14.3,  17.6,   2.2,   9.1
2026072607020203,1,07252206,10,        839,  18.1,  26.8,   9.7,  15.9,  55.9,   3.7,  15.9,  13.1,   2.2,   8.3
2026072607020203,1,07252215,10,        960,  15.3,  25.6,  10.3,  16.0,  48.0,   3.7,  13.4,  10.8,   2.4,   8.6
2026072607020203,1,07252223,10,       1101,  15.7,  19.5,   9.2,  16.0,  46.3,   3.6,  12.9,  10.1,   2.6,   9.0
2026072607020203,1,07252231,10,       1285,  17.7,  21.4,  10.4,  15.3,  14.8,   3.2,  13.8,   9.9,   2.9,   9.4
2026072607020203,1,07252239,10,       1404,  19.0,  19.7,  11.2,  16.2,  16.2,   3.2,  11.9,   9.1,   3.1,   8.3
2026072607020203,1,07252248,10,       1487,  18.0,  20.5,  11.5,  16.9,  17.2,   3.1,  11.8,   8.6,   3.3,   8.1
2026072607020203,1,07252256,10,       1683,  19.5,  22.0,  11.6,  18.7,  18.7,   3.3,   7.6,   7.8,   3.6,   7.6
2026072607020203,1,07252304,10,       1842,  20.7,  22.6,  10.9,  17.7,  20.1,   3.4,   7.9,   6.4,   3.8,   7.7
2026072607020203,1,07252312,10,       1977,  21.6,  23.2,  11.7,  15.0,  21.6,   3.2,   7.6,   6.5,   4.1,   8.0
2026072607020203,1,07252321,10,       2013,  19.6,  23.6,  11.7,  14.7,  21.7,   3.1,   7.7,   6.5,   4.1,   8.0
2026072607020203,1,07252329,10,       2292,  20.3,  26.9,  12.8,  11.3,  20.1,   3.3,   6.9,   7.1,   4.1,   7.9
2026072607020203,1,07252337,10,       2412,  21.2,  22.4,  13.4,  11.0,  20.9,   3.3,   7.1,   7.1,   4.2,   8.0
2026072607020203,1,07252345,10,       2588,  22.5,  22.7,  14.3,  11.1,  22.2,   3.1,   7.3,   6.3,   4.3,   8.4
2026072607020203,1,07252354,10,       2741,  23.0,  23.5,  14.7,  11.7,  23.5,   3.1,   7.5,   5.6,   4.4,   8.4
2026072607020203,1,07260006,10,       2956,  22.9,  25.1,  15.6,  12.1,  24.6,   3.2,   7.9,   5.0,   4.5,   7.9
2026072607020203,1,07260014,10,       3133,  22.9,  26.1,  16.4,  12.5,  26.1,   3.2,   8.1,   4.5,   4.6,   7.8
2026072607020203,1,07260022,10,       3387,  16.3,  27.6,  16.7,  12.7,  28.2,   3.4,   7.2,   4.8,   4.9,   7.1
2026072607020203,1,07260031,10,       3557,  16.5,  28.4,  17.4,  13.2,  28.1,   3.3,   7.4,   4.5,   5.1,   7.1
2026072607020203,1,07260039,10,       3633,  16.8,  28.4,  17.8,  13.3,  28.7,   3.2,   7.5,   4.5,   5.1,   7.1
2026072607020203,1,07260047,10,       4021,  18.5,  21.0,  11.2,  12.4,  21.1,   3.3,   8.0,   4.8,   5.6,   7.8
2026072607020203,1,07260055,10,       4107,  18.6,  21.3,  10.7,  12.2,  21.3,   3.3,   8.0,   4.8,   5.7,   7.9
2026072607020203,1,07260104,10,       4508,  20.3,  23.4,  11.7,  12.9,  23.4,   2.7,   8.6,   5.2,   6.0,   8.5
2026072607020203,1,07260112,10,       4659,  20.7,  24.0,  12.1,  13.4,  24.2,   2.7,   8.9,   5.2,   5.2,   8.7
2026072607020203,1,07260120,10,       4878,  19.4,  24.6,  12.6,  13.6,  25.1,   2.7,   9.1,   5.3,   5.3,   8.0
2026072607020203,1,07260128,10,       5030,  19.9,  25.3,  13.0,  14.0,  25.9,   2.6,   9.0,   5.4,   5.4,   8.2
2026072607020203,1,07260137,10,       5138,  19.9,  25.6,  13.2,  14.2,  26.3,   2.6,   8.8,   5.2,   5.5,   8.3
2026072607020203,1,07260145,10,       5181,  19.1,  25.7,  13.3,  14.3,  26.0,   2.6,   8.8,   5.2,   5.6,   8.2
2026072607020203,1,07260153,10,       5351,  18.3,  24.7,  12.5,  14.2,  26.9,   2.6,   9.1,   5.2,   5.7,   8.2
2026072607020203,1,07260201,10,       5398,  18.4,  24.1,  12.6,  14.3,  27.1,   2.6,   9.2,   5.2,   5.7,   8.1
2026072607020203,1,07260210,10,       5497,  18.0,  24.0,  12.8,  14.4,  27.6,   2.7,   9.3,   4.9,   5.8,   8.1
2026072607020203,1,07260218,10,       5543,  18.1,  24.2,  13.0,  14.4,  27.7,   2.7,   9.2,   4.9,   5.8,   8.1
2026072607020203,1,07260226,10,       5686,  16.7,  24.7,  13.3,  14.7,  28.4,   2.7,   9.3,   5.1,   5.5,   8.2
2026072607020203,1,07260234,10,       5734,  16.9,  24.7,  12.9,  14.8,  27.8,   2.7,   9.4,   5.1,   5.5,   8.2
2026072607020203,1,07260243,10,       5795,  17.1,  25.0,  12.9,  14.7,  28.0,   2.7,   9.4,   5.1,   5.5,   8.3
2026072607020203,1,07260251,10,       5914,  17.3,  25.5,  13.1,  15.0,  28.5,   2.5,   9.6,   5.2,   5.6,   8.4
2026072607020203,1,07260259,10,       5937,  17.3,  25.5,  13.1,  14.8,  28.4,   2.5,   9.6,   5.2,   5.6,   8.4
2026072607020203,1,07260307,10,       6997,  19.7,  30.0,  15.4,  17.4,  33.5,   3.0,   3.7,   6.1,   6.6,   9.9
2026072607020203,1,07260316,10,       7156,  20.0,  30.7,  15.7,  17.8,  34.0,   2.9,   3.7,   6.0,   6.7,  10.0
2026072607020203,1,07260324,10,       7174,  19.8,  30.8,  15.7,  17.7,  34.1,   2.9,   3.7,   6.0,   6.7,  10.0
2026072607020203,1,07260332,10,       7214,  19.8,  31.0,  15.8,  17.7,  34.3,   2.9,   3.7,   6.0,   6.8,  10.0
2026072607020203,1,07260340,10,       7327,  20.0,  31.3,  16.1,  17.9,  34.6,   2.8,   3.8,   6.1,   6.7,  10.1
2026072607020203,1,07260349,10,       7425,  20.2,  31.7,  15.8,  17.5,  35.1,   2.7,   3.8,   6.2,   6.8,  10.2
2026072607020203,1,07260357,10,       7453,  20.3,  31.7,  15.8,  17.3,  35.0,   2.7,   3.8,   6.2,   6.8,  10.2
2026072607020203,1,07260405,10,       7504,  20.2,  31.2,  15.9,  17.3,  34.5,   2.7,   3.8,   6.2,   6.8,  10.2
2026072607020203,1,07260413,10,       7525,  20.2,  31.1,  15.9,  17.3,  34.5,   2.7,   3.8,   6.2,   6.8,  10.2
2026072607020203,1,07260422,10,       7695,  17.7,  31.8,  15.5,  17.7,  35.3,   2.7,   3.9,   6.3,   6.8,  10.4
2026072607020203,1,07260430,10,       7740,  17.8,  32.0,  15.5,  17.7,  35.5,   2.7,   3.9,   6.3,   6.8,  10.4
2026072607020203,1,07260438,10,       7770,  17.4,  32.0,  15.6,  17.8,  35.7,   2.7,   3.9,   6.3,   6.8,  10.5
2026072607020203,1,07260446,10,       7824,  17.5,  32.2,  15.7,  17.8,  35.9,   2.7,   3.9,   6.3,   6.8,  10.5
2026072607020203,1,07260455,10,       7941,  17.1,  32.5,  15.9,  18.0,  36.5,   2.7,   4.0,   6.3,   6.8,  10.6
