ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘
2026062109030612,1,06201941,13,         26,   0.0,   2.6,   0.0,   2.3,   6.9,  10.4,   0.0,  10.4,  20.8,   0.0,   0.0,  20.8,   0.0
2026062109030612,1,06201949,13,        155,  41.3,   6.8,  41.3,   4.7,  17.7,  20.6, 124.0,  24.8,  20.6,  41.3,  20.6,   2.5,   5.3
2026062109030612,1,06201957,13,        502,  80.3,  11.4,  25.1,  12.5,  50.2,  57.3,  80.3,  28.6,  28.6,  33.4,  50.2,   1.2,  14.3
2026062109030612,1,06202006,13,        628,  62.8,   9.4,  17.9,  15.2,  38.6,  62.8,  50.2,  17.3,  25.1,  33.4,  22.8,   1.4,  16.2
2026062109030612,1,06202014,13,        780,  78.0,  10.2,  21.5,  18.9,  44.5,   5.7,  62.4,  20.8,  31.2,  41.6,  12.0,   1.7,  16.0
2026062109030612,1,06202022,13,        941,  37.6,   8.7,  20.3,  15.0,  44.2,   6.6,  34.2,  16.7,  34.2,  20.3,  14.4,   1.9,  15.0
2026062109030612,1,06202030,13,       1047,  36.4,   8.2,  22.6,   8.9,  41.8,   7.2,  33.5,  15.2,  33.5,  20.9,  13.9,   2.0,  16.4
2026062109030612,1,06202039,13,      10641, 354.7,  70.3, 193.4,  85.1, 386.9,  72.7, 327.4, 146.7, 327.4, 193.4, 115.0,   1.0, 152.0
2026062109030612,1,06202047,13,      10699, 342.3,  67.9, 178.3,  83.9, 342.3,  72.5, 317.0, 147.5, 231.3, 190.2, 111.1,   1.0, 117.2
2026062109030612,1,06202055,13,      10782, 297.4,  64.8, 159.7,  81.3, 278.2,  73.0, 287.5, 121.4, 205.3, 172.5, 107.8,   1.0, 106.4
2026062109030612,1,06202103,13,      10848, 262.9,  59.8, 139.9,  81.1, 255.2,  72.3, 262.9, 120.5, 201.8, 152.2, 107.1,   1.0, 100.9
2026062109030612,1,06202112,13,      10962, 250.5,  58.8, 128.9,  76.9, 243.6,  71.2, 237.0, 115.3, 186.5, 141.4, 105.6,   1.0,  94.2
2026062109030612,1,06202120,13,      11176, 235.2,  49.3, 103.9,  66.2, 235.2,  66.2, 223.5, 113.1, 133.4, 133.4, 103.9,   1.1,  72.1
2026062109030612,1,06202128,13,      11303, 215.2,  45.4,  87.7,  61.5, 210.2,  66.4, 205.5, 103.9, 111.6, 115.9,  98.2,   1.1,  66.4
2026062109030612,1,06202136,13,      11384, 211.7,  44.4,  84.3,  59.1, 185.8,  62.8, 197.9, 100.0, 111.0, 112.4,  96.8,   1.1,  65.5
2026062109030612,1,06202145,13,      11538, 167.8,  41.7,  71.5,  55.6, 174.1,  62.3, 148.8,  89.6, 106.0,  94.1,  97.1,   1.1,  61.5
2026062109030612,1,06202153,13,      11589, 168.5,  41.2,  65.7,  55.1, 174.9,  62.2, 136.3,  86.6, 101.8,  87.4,  97.5,   1.1,  60.5
2026062109030612,1,06202201,13,      11698, 170.1,  38.9,  64.9,  52.2, 173.3,  62.8, 131.8,  76.0, 101.7,  84.3,  96.4,   1.1,  58.1
2026062109030612,1,06202209,13,      11888, 172.9,  37.5,  66.0,  52.8, 169.8,  63.4, 133.9,  76.6,  66.0,  81.2,  98.0,   1.1,  36.0
2026062109030612,1,06202218,13,      12296, 175.6,  36.9,  66.9,  52.6,  91.0,  39.1, 138.5,  78.6,  50.4,  79.3,  39.5,   1.1,  36.9
2026062109030612,1,06202226,13,      12381, 176.8,  37.0,  55.9,  51.8,  76.1,  39.3, 137.5,  78.6,  50.7,  79.8,  39.4,   1.1,  35.1
2026062109030612,1,06202234,13,      12557, 176.2,  35.6,  43.1,  48.2,  75.5,  36.1, 133.9,  72.7,  48.5,  75.5,  39.2,   1.1,  35.1
2026062109030612,1,06202242,13,      12637, 177.3,  33.1,  43.2,  44.3,  69.7,  36.3, 133.0,  72.7,  48.6,  76.0,  39.1,   1.1,  34.7
2026062109030612,1,06202251,13,      12917, 181.2,  31.9,  44.1,  38.4,  71.2,  37.1, 134.2,  67.9,  49.2,  68.8,  39.8,   1.1,  33.9
2026062109030612,1,06202259,13,      12971, 178.9,  31.8,  43.6,  37.8,  69.1,  37.1, 129.7,  67.3,  46.3,  69.1,  39.6,   1.1,  33.8
2026062109030612,1,06202307,13,      13035, 170.9,  31.3,  42.9,  37.3,  68.6,  36.9, 125.6,  65.1,  46.1,  68.6,  39.5,   1.1,  31.9
2026062109030612,1,06202315,13,      13120, 172.0,  30.5,  43.1,  37.4,  68.6,  37.2, 123.4,  64.0,  46.0,  49.0,  39.7,   1.1,  32.0
2026062109030612,1,06202324,13,      13243, 173.6,  28.4,  42.7,  36.6,  69.2,  37.1, 124.6,  61.2,  46.2,  48.8,  40.1,   1.1,  27.8
2026062109030612,1,06202332,13,      13279, 174.1,  27.8,  42.4,  35.4,  68.5,  37.0, 123.5,  61.0,  45.9,  48.2,  40.2,   1.1,  27.8
2026062109030612,1,06202340,13,      13390, 170.0,  27.2,  42.5,  35.1,  65.7,  36.5, 123.1,  60.5,  45.9,  45.7,  37.4,   1.1,  27.1
2026062109030612,1,06202348,13,      13443, 168.0,  26.2,  42.6,  35.1,  63.6,  36.7, 123.6,  57.8,  45.7,  45.9,  37.6,   1.1,  27.2
2026062109030612,1,06202357,13,      13528, 169.1,  25.1,  40.5,  34.3,  63.6,  36.6, 122.9,  56.6,  44.5,  44.1,  37.7,   1.1,  27.1
2026062109030612,1,06210005,13,      13719, 168.8,  25.2,  31.5,  34.8,  64.1,  36.9, 121.9,  57.4,  44.9,  43.7,  29.2,   1.1,  27.4
2026062109030612,1,06210013,13,      13783, 169.6,  25.2,  30.8,  34.5,  63.3,  37.1, 122.5,  57.4,  44.1,  40.0,  29.1,   1.1,  26.9
2026062109030612,1,06210021,13,      13888, 165.8,  24.9,  30.6,  33.9,  61.7,  37.2, 119.4,  57.2,  43.7,  38.7,  29.0,   1.1,  26.5
2026062109030612,1,06210030,13,      14007, 164.7,  24.5,  30.8,  32.9,  58.0,  37.6, 117.9,  49.5,  43.6,  36.1,  28.4,   1.1,  26.5
2026062109030612,1,06210038,13,      14058, 165.3,  23.4,  30.6,  32.9,  57.9,  37.4, 115.9,  49.7,  42.7,  36.1,  28.3,   1.1,  26.4
2026062109030612,1,06210046,13,      14134, 161.5,  22.8,  27.7,  32.9,  57.9,  37.5, 114.2,  48.9,  42.9,  36.3,  28.4,   1.1,  26.4
2026062109030612,1,06210054,13,      14183, 159.8,  22.4,  27.7,  31.8,  58.1,  37.5, 113.4,  48.9,  42.0,  36.1,  27.8,   1.1,  26.5
2026062109030612,1,06210103,13,      14300, 139.5,  21.7,  27.5,  31.3,  56.6,  37.2, 107.9,  47.2,  41.7,  34.6,  27.5,   1.1,  26.2
2026062109030612,1,06210111,13,      14334, 138.1,  21.4,  26.9,  31.2,  56.4,  37.3, 107.1,  47.3,  41.6,  34.5,  27.6,   1.1,  26.3
2026062109030612,1,06210119,13,      14400, 135.5,  21.3,  26.9,  31.0,  55.6,  37.2, 106.6,  46.8,  38.7,  34.2,  27.6,   1.1,  26.0
2026062109030612,1,06210127,13,      14429, 132.6,  21.3,  26.9,  30.6,  55.7,  37.3, 103.9,  46.9,  38.6,  33.7,  27.7,   1.1,  26.0
2026062109030612,1,06210136,13,      14472, 128.6,  21.1,  26.3,  30.4,  55.6,  37.3, 103.3,  46.8,  38.4,  33.4,  27.5,   1.1,  25.9
2026062109030612,1,06210144,13,      14485, 127.3,  21.1,  26.3,  30.4,  55.7,  37.2, 103.4,  46.5,  37.9,  33.4,  27.5,   1.1,  25.9
2026062109030612,1,06210152,13,      14554, 125.1,  20.6,  25.9,  30.4,  55.4,  37.1, 102.1,  46.0,  37.4,  33.1,  27.2,   1.1,  25.7
2026062109030612,1,06210200,13,      14590, 125.5,  20.5,  25.4,  30.4,  54.7,  37.1, 102.3,  45.9,  37.5,  33.0,  27.3,   1.1,  25.7
2026062109030612,1,06210209,13,      14665, 124.8,  20.5,  25.1,  29.7,  54.0,  37.0,  96.9,  45.4,  37.2,  33.0,  27.3,   1.1,  25.6
2026062109030612,1,06210217,13,      14676, 124.9,  20.5,  25.1,  29.7,  52.8,  37.0,  97.0,  45.5,  37.2,  32.9,  27.3,   1.1,  25.5
2026062109030612,1,06210225,13,      14731, 120.2,  20.2,  25.1,  29.8,  50.3,  37.1,  97.3,  44.9,  37.4,  32.9,  27.2,   1.1,  25.1
2026062109030612,1,06210233,13,      14779, 120.6,  20.2,  25.1,  29.8,  50.3,  37.0,  96.9,  45.1,  37.5,  32.9,  27.3,   1.1,  25.1
2026062109030612,1,06210242,13,      14831, 121.0,  19.9,  25.1,  29.7,  50.2,  37.1,  96.4,  45.1,  37.6,  32.1,  27.2,   1.1,  25.0
2026062109030612,1,06210250,13,      14848, 121.2,  19.8,  25.1,  29.7,  50.1,  36.6,  96.5,  45.1,  37.5,  32.1,  27.2,   1.1,  24.9
2026062109030612,1,06210258,13,      14892, 120.3,  19.8,  25.0,  29.5,  50.2,  36.7,  96.8,  45.2,  37.2,  32.2,  27.2,   1.1,  24.8
2026062109030612,1,06210306,13,      14899, 120.3,  19.7,  25.0,  29.5,  50.2,  36.7,  96.9,  45.1,  37.1,  32.3,  27.2,   1.1,  24.8
2026062109030612,1,06210315,13,      14941, 119.5,  19.6,  24.7,  29.5,  50.2,  36.7,  96.3,  44.4,  36.8,  31.7,  27.1,   1.1,  24.8
2026062109030612,1,06210323,13,      14950, 119.6,  19.6,  24.8,  29.4,  50.2,  36.8,  96.4,  44.1,  36.6,  31.6,  27.1,   1.1,  24.8
2026062109030612,1,06210331,13,      14967, 119.7,  19.5,  24.7,  29.4,  49.8,  36.8,  96.5,  44.1,  36.6,  31.5,  27.1,   1.1,  24.7
2026062109030612,1,06210339,13,      14983, 119.8,  19.4,  24.3,  29.4,  49.9,  36.7,  95.8,  44.2,  36.6,  31.5,  27.1,   1.1,  24.7
2026062109030612,1,06210348,13,      15012, 118.9,  19.4,  24.3,  29.5,  49.2,  36.8,  96.0,  44.3,  35.4,  31.5,  27.2,   1.1,  24.5
2026062109030612,1,06210356,13,      15015, 118.9,  19.3,  24.3,  29.5,  49.2,  36.8,  96.0,  44.3,  35.4,  31.5,  27.1,   1.1,  24.5
2026062109030612,1,06210404,13,      15089, 118.3,  19.2,  24.4,  29.5,  49.2,  36.9,  95.0,  44.3,  35.5,  31.2,  24.4,   1.1,  24.5
2026062109030612,1,06210412,13,      15099, 118.4,  19.2,  24.3,  29.5,  49.3,  36.9,  94.3,  44.4,  35.5,  31.2,  24.5,   1.1,  24.6
2026062109030612,1,06210421,13,      15137, 118.7,  18.9,  23.6,  29.5,  49.4,  37.0,  94.6,  44.5,  35.5,  31.2,  24.5,   1.1,  24.3
2026062109030612,1,06210429,13,      15180,  99.5,  18.9,  23.7,  29.4,  49.5,  37.1,  87.3,  44.6,  35.5,  31.2,  24.5,   1.1,  24.2
2026062109030612,1,06210437,13,      15235,  99.9,  18.5,  23.5,  28.7,  49.5,  37.2,  85.8,  44.6,  35.5,  30.6,  24.6,   1.1,  24.3
2026062109030612,1,06210445,13,      15249,  98.3,  18.4,  23.5,  28.7,  49.1,  37.3,  85.9,  44.6,  35.5,  30.5,  24.6,   1.1,  24.3
2026062109030612,1,06210454,13,      15331,  98.9,  18.2,  22.7,  28.5,  48.4,  37.2,  85.1,  44.5,  35.5,  30.5,  24.7,   1.1,  24.3
2026062109030612,1,06210502,13,      15372,  97.6,  18.2,  22.8,  28.5,  48.2,  37.2,  83.6,  44.7,  35.6,  30.4,  24.7,   1.1,  24.4
2026062109030612,1,06210510,13,      15390,  96.9,  18.2,  22.7,  28.6,  48.2,  37.3,  83.7,  44.6,  35.6,  30.4,  24.2,   1.1,  24.4
2026062109030612,1,06210518,13,      15492,  97.5,  18.2,  22.6,  28.7,  47.8,  37.3,  83.7,  44.5,  35.9,  29.8,  24.3,   1.1,  24.3
2026062109030612,1,06210527,13,      15593,  97.4,  18.1,  22.8,  26.1,  48.1,  37.0,  84.2,  41.7,  36.1,  29.3,  24.3,   1.1,  24.4
2026062109030612,1,06210535,13,      15646,  97.0,  17.7,  22.2,  26.0,  48.3,  37.1,  84.5,  41.7,  36.2,  29.0,  24.3,   1.1,  24.4
2026062109030612,1,06210543,13,      15756,  96.9,  17.4,  22.3,  24.6,  40.7,  37.1,  84.5,  41.6,  36.5,  29.1,  24.4,   1.1,  24.6
