ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘,17î‘,18î‘
2026062810020203,1,06271933,18,          3,   0.0,   0.0,   2.4,   0.0,   0.0,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062810020203,1,06271942,18,         50,   4.0,   0.0,  40.0,  13.3,   6.6,   3.0,   0.0,   5.0,   0.0,   0.0,   0.0,  40.0,   6.6,   0.0,  40.0,   0.0,  40.0,   0.0
2026062810020203,1,06271950,18,        295,  21.4, 118.0,  47.2,   4.5,  33.7,   7.3,  23.6,  13.8, 236.0,   0.0,   2.2,  47.2,  10.7, 118.0,  23.6,  23.6,  39.3,   0.0
2026062810020203,1,06271958,18,        388,  25.8,  77.6,  44.3,   5.1,  22.1,   4.1,  28.2,  13.4,  77.6, 310.4,   2.9,  62.0,  10.7,  62.0,  23.8,  28.2,  34.4, 310.4
2026062810020203,1,06272006,18,        554,  27.7,  88.6,  49.2,   4.4,  23.3,   4.4,  13.0,  14.2, 110.8, 221.6,   4.1,  63.3,   6.6,  73.8,  29.5,  19.2,  44.3, 443.2
2026062810020203,1,06272015,18,        655,  29.1, 104.8,  58.2,   4.0,  22.7,   4.2,  10.4,  15.4, 131.0, 104.8,   4.8,  65.5,   7.3,  74.8,  20.9,  21.8,  47.6, 262.0
2026062810020203,1,06272023,18,        773,  34.3,  77.3,  51.5,   4.0,  23.7,   4.5,  10.4,  10.1, 103.0,  88.3,   5.5,  61.8,   7.7,  68.7,  16.2,  25.7,  51.5, 206.1
2026062810020203,1,06272031,18,        845,  35.5,  84.5,  56.3,   3.8,  26.0,   4.5,  11.2,   9.5,  96.5,  96.5,   6.0,  56.3,   8.1,  75.1,  14.6,  19.8,  56.3, 169.0
2026062810020203,1,06272039,18,       1057,  44.5,  84.5,  70.4,   3.8,   9.7,   4.8,  12.8,   9.2,  84.5,  84.5,   5.8,  70.4,   9.2,  76.8,  17.6,  24.8,  65.0, 211.4
2026062810020203,1,06272048,18,       1130,  45.2,  75.3,  75.3,   4.0,  10.1,   4.5,  13.1,   9.1,  90.4,  82.1,   6.1,  64.5,   8.9,  82.1,  17.3,  24.4,  53.1, 150.6
2026062810020203,1,06272056,18,       1417,  56.6,  80.9,  47.2,   4.2,  11.0,   4.4,  14.9,   9.6,  94.4, 103.0,   4.4,  75.5,  10.5,  87.2,  19.5,  29.0,  66.6,  80.9
2026062810020203,1,06272104,18,       1619,  61.6,  40.4,  51.8,   4.4,  11.6,   4.5,  17.0,   8.6, 107.9, 107.9,   3.9,  80.9,  11.8,  86.3,  20.5,  32.3,  71.9,  86.3
2026062810020203,1,06272112,18,       1936,  70.4,  41.8,  18.8,   4.6,  10.6,   4.6,  20.1,   9.3, 119.1,  81.5,   4.4,  67.3,   8.9,  96.8,  23.4,  36.8,  81.5,  96.8
2026062810020203,1,06272121,18,       2520,  87.6,  43.8,  24.5,   4.9,  13.6,   5.7,  25.8,  10.4, 155.0,  91.6,   5.3,  84.0,   3.8,  80.6,  16.1,  48.0,  87.6, 126.0
2026062810020203,1,06272129,18,       3066, 102.2,  47.1,  29.5,   3.0,  13.8,   6.7,  29.5,  10.3, 175.2, 102.2,   6.4,  94.3,   4.5,  94.3,  17.7,  54.5, 106.6, 153.3
