ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘
2026070410020303,1,07031833,16,         10,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0
2026070410020303,1,07031842,16,         13,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  10.4,   0.0,   0.0,  10.4,   0.0,   0.0,   0.0,   1.1,   0.0,   0.0
2026070410020303,1,07031850,16,         34,   0.0,   9.0,   0.0,  27.2,   0.0,  13.6,   6.8,  13.6,   0.0,   9.0,   9.0,   0.0,  27.2,   2.2,  27.2,  13.6
2026070410020303,1,07031858,16,         73,   0.0,  19.4,  58.4,  58.4,   9.7,  19.4,  11.6,  19.4,  58.4,  19.4,  14.6,  58.4,  29.2,   2.7,   8.3,   4.8
2026070410020303,1,07031906,16,        181,   0.0,  48.2, 144.8,  72.4,  18.1,  48.2,   9.0,   8.5, 144.8,  36.2,  20.6, 144.8,   4.5,   3.4,   5.1,   9.0
2026070410020303,1,07031915,16,        203,   0.0,  32.4, 162.4,  81.2,  13.5,  32.4,  10.1,   9.0,  40.6,  40.6,  14.7, 162.4,   4.7,   3.8,   5.6,   8.5
2026070410020303,1,07031923,16,        374,   0.0,  59.8, 299.2, 149.6,  23.0,  33.2,  11.0,   8.3,  74.8,  74.8,   2.6,  24.9,   7.2,   6.3,   7.6,  14.2
2026070410020303,1,07031931,16,        448,   0.0,  71.6, 358.4,  29.8,   7.6,  35.8,   9.6,   9.9,  22.4,  89.6,   3.1,  27.5,   8.7,   7.1,   9.1,  15.5
2026070410020303,1,07031939,16,        518,  16.5,  69.0, 414.4,  31.8,   8.2,  41.4,  10.9,   6.0,  21.8, 103.6,   3.5,  31.8,   9.8,   8.2,  10.6,  17.2
2026070410020303,1,07031948,16,        546,  16.8,  72.8, 436.8,  31.2,   7.9,  43.6,  11.2,   6.4,  21.8,  87.3,   3.6,  33.6,   9.9,   8.5,   8.9,  17.4
2026070410020303,1,07031956,16,        699,  14.7,  69.9, 559.2,  39.9,   9.8,  50.8,  14.3,   4.2,  24.3,  69.9,   4.2,  37.2,  12.4,  10.5,   7.9,  10.9
2026070410020303,1,07032004,16,        807,  16.5,  71.7, 322.8,  46.1,   9.4,  58.6,  15.0,   3.6,  24.8,  71.7,   4.5,  43.0,  11.5,  11.1,   9.2,   9.6
2026070410020303,1,07032012,16,        919,  18.3,  81.6, 367.6,  30.6,   9.8,  61.2,  13.1,   3.9,  22.9,  12.4,   4.8,  49.0,  12.8,  12.6,  10.3,  10.3
2026070410020303,1,07032021,16,       1037,  20.2,  82.9, 414.8,  33.1,   6.3,  69.1,  14.5,   4.2,  23.7,  14.0,   4.9,  51.8,  12.0,  11.8,  11.0,  11.5
2026070410020303,1,07032029,16,       1159,  22.6,  84.2, 231.8,  35.6,   4.9,  71.3,  15.7,   4.0,  25.0,  15.2,   5.5,  51.5,  12.5,  12.5,  11.7,  12.3
2026070410020303,1,07032037,16,       1222,  23.2,  81.4, 195.5,  34.9,   5.1,  65.1,  14.5,   4.1,  25.0,  15.7,   5.2,  54.3,  12.8,  11.5,  11.5,  12.8
