ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071810020701,1,07171836,12,          3,   0.0,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.2,   0.0
2026071810020701,1,07171841,12,         15,  12.0,   1.3,   0.0,   6.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   4.0,   0.0
2026071810020701,1,07171846,12,         26,  10.4,   1.6,   0.0,   4.1,   0.0,   0.0,   0.0,   0.0,  10.4,   0.0,   5.2,   0.0
2026071810020701,1,07171851,12,         53,   7.0,   3.0,  42.4,   4.7,  42.4,  10.6,  42.4,  42.4,   8.4,  42.4,   4.7,  42.4
2026071810020701,1,07171857,12,        137,   1.4,   7.8, 109.6,  10.9,  54.8,  27.4, 109.6, 109.6,  18.2, 109.6,   5.4, 109.6
2026071810020701,1,07171902,12,        139,   1.4,   7.9, 111.2,  11.1,  55.6,  27.8, 111.2,  55.6,  18.5,  55.6,   5.5, 111.2
2026071810020701,1,07171907,12,        155,   1.6,   8.2, 124.0,  12.4,  41.3,  20.6, 124.0,  62.0,  11.2,  41.3,   4.7, 124.0
2026071810020701,1,07171912,12,        185,   1.8,   8.7, 148.0,  14.8,  18.5,   9.2, 148.0,  29.6,  11.3,  49.3,   5.1,  74.0
2026071810020701,1,07171918,12,        217,   1.7,  10.2, 173.6,  14.4,  19.2,   9.6,  86.8,  34.7,  10.8,  34.7,   5.9,  57.8
2026071810020701,1,07171923,12,        240,   1.8,  10.1, 192.0,  16.0,  21.3,  10.1,  96.0,  32.0,   6.8,  32.0,   5.8,  64.0
2026071810020701,1,07171928,12,        303,   2.2,  11.5, 242.4,  13.4,  20.2,  12.7,  60.6,  40.4,   3.7,  40.4,   6.2,  80.8
2026071810020701,1,07171933,12,        389,   2.7,   3.9, 311.2,  15.5,  25.9,  14.1,  28.2,  51.8,   3.9,  44.4,   7.9, 103.7
2026071810020701,1,07171939,12,        422,   3.0,   3.7, 337.6,  14.0,  25.9,  14.0,  21.1,  56.2,   4.2,  37.5,   7.5, 112.5
2026071810020701,1,07171944,12,        447,   3.1,   3.8, 357.6,  12.7,  18.8,  13.2,  22.3,  44.7,   4.2,  39.7,   7.6, 119.2
2026071810020701,1,07171949,12,        495,   3.3,   4.2,  99.0,  13.6,  15.8,  12.7,  24.7,  44.0,   4.1,  39.6,   7.3,  49.5
2026071810020701,1,07171954,12,        572,   3.7,   4.8,  91.5,  11.4,   7.1,  12.3,  26.9,  50.8,   4.1,  45.7,   8.0,  50.8
