ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘,17î‘
2026071910020807,1,07181930,17,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071910020807,1,07181939,17,         21,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  16.8,   1.6,   5.6,   0.0,  16.8,   0.0,  16.8,   0.0,   3.3
2026071910020807,1,07181947,17,        145,  58.0,  58.0, 116.0,   0.0,  58.0,  29.0,  29.0,  23.2,  29.0,  10.5,   1.2,   0.0,  23.2,  38.6,  58.0,  38.6,  16.5
2026071910020807,1,07181955,17,        263,  52.6,  42.0, 210.4,  21.0,   7.2,  19.1,  16.1,  14.0,   7.5,  14.0,   1.9,   0.0,  35.0,  52.6, 105.2,  42.0,  26.3
2026071910020807,1,07182003,17,        423,  42.3,   5.6, 112.8,  16.1,   9.4,  19.9,  14.1,  19.9,  10.9,  16.9,   2.7, 338.4,  12.0,  48.3,  28.2,  56.4,  33.8
2026071910020807,1,07182012,17,       1093,  72.8,   1.5, 291.4,  38.0,  24.2,  46.0,  30.1,  43.7,  20.8,  38.0,   6.2, 145.7,  31.2,  97.1,   7.8,  48.5,  72.8
2026071910020807,1,07182020,17,       1201,  38.4,   1.6, 240.2,  38.4,  25.2,  43.6,  26.6,  45.7,  22.3,  29.1,   5.7,  80.0,  25.9,  73.9,   8.4,  38.4,  60.0
2026071910020807,1,07182028,17,       1266,  38.9,   1.7, 202.5,  40.5,  25.9,  42.2,  23.0,  31.6,  23.0,  25.3,   5.5,  84.4,  25.3,  59.5,   8.8,  38.9,  59.5
2026071910020807,1,07182036,17,       2575,  76.2,   1.1, 343.3,  82.4,  49.0,  62.4,  30.2,  60.5,  40.3,  49.0,   7.6, 171.6,  45.7,  76.2,  16.7,  76.2,  93.6
2026071910020807,1,07182045,17,       2648,  68.3,   1.2, 353.0,  78.4,  50.4,  54.3,  29.0,  58.8,  37.8,  46.0,   7.4, 176.5,  38.5,  75.6,  17.2,  73.0,  64.1
2026071910020807,1,07182053,17,       3782,  88.9,   1.1, 504.2,  97.6,  64.3,  45.1,  40.3,  72.0,  48.8,  48.8,   9.3, 201.7,  49.6, 100.8,  24.2,  97.6,  72.0
2026071910020807,1,07182101,17,       3918,  84.7,   1.1, 522.4,  97.9,  60.2,  42.9,  39.6,  63.9,  49.7,  39.6,   8.8, 195.9,  37.3,  87.0,  24.6,  74.6,  68.1
2026071910020807,1,07182109,17,       4168,  72.4,   1.2, 476.3,  77.5,  38.7,  43.3,  41.1,  54.6,  49.0,  39.6,   8.5, 196.1,  37.4,  79.3,  14.3,  75.7,  66.6
2026071910020807,1,07182118,17,       4231,  72.0,   1.2, 423.1,  76.9,  38.9,  43.3,  41.7,  49.7,  49.0,  37.6,   8.2, 199.1,  37.6,  78.7,  14.4,  61.5,  67.6
2026071910020807,1,07182126,17,       4458,  66.0,   1.2, 356.6,  62.5,  29.7,  41.9,  41.4,  29.2,  47.5,  34.6,   7.9, 209.7,  33.3,  75.8,  14.9,  60.4,  67.2
2026071910020807,1,07182134,17,       4617,  32.4,   1.3, 369.3,  53.5,  25.8,  41.0,  42.4,  27.9,  47.3,  33.5,   8.0, 205.2,  31.3,  75.3,  15.4,  57.7,  62.6
2026071910020807,1,07182142,17,       4845,  30.5,   1.3, 323.0,  50.3,  15.8,  39.9,  36.2,  26.9,  47.8,  34.3,   8.0, 204.0,  29.5,  76.0,  16.1,  51.6,  59.6
2026071910020807,1,07182151,17,       4986,  21.7,   1.4, 265.9,  51.1,  16.1,  37.2,  36.9,  24.3,  48.0,  32.1,   8.1, 209.9,  29.3,  72.5,  16.4,  49.2,  57.8
2026071910020807,1,07182159,17,       5156,  21.5,   1.4, 274.9,  51.5,  16.4,  35.8,  35.5,  24.8,  46.8,  28.8,   7.6, 187.4,  29.6,  69.9,  15.6,  46.3,  47.9
2026071910020807,1,07182207,17,       5383,  22.1,   1.5, 287.0,  53.8,  16.9,  33.3,  36.8,  25.0,  25.4,  29.0,   7.5, 195.7,  23.9,  70.5,  16.3,  36.4,  47.8
2026071910020807,1,07182215,17,       5550,  21.8,   1.5, 123.3,  51.6,  17.0,  34.1,  31.9,  24.9,  25.6,  29.2,   7.6, 103.2,  20.6,  64.3,  16.5,  37.6,  48.2
2026071910020807,1,07182224,17,       5739,  17.7,   1.6, 127.5,  47.3,  17.0,  35.0,  32.5,  24.4,  22.1,  30.2,   7.6, 106.7,  17.7,  66.5,  17.0,  38.5,  49.9
2026071910020807,1,07182232,17,       5920,  17.9,   1.6, 124.6,  45.9,  17.4,  32.8,  26.4,  24.2,  21.3,  29.9,   7.7, 102.9,  15.8,  60.7,  17.4,  39.4,  48.8
2026071910020807,1,07182240,17,       6062,  17.3,   1.7, 127.6,  46.6,  17.8,  32.9,  24.1,  23.7,  21.5,  27.8,   7.6, 105.4,  15.7,  55.1,  17.8,  37.8,  49.4
2026071910020807,1,07182248,17,       6238,  17.5,   1.7, 121.7,  47.5,  17.9,  30.0,  22.9,  23.7,  21.6,  28.3,   7.5, 101.8,  14.6,  51.4,  18.3,  35.1,  46.6
2026071910020807,1,07182257,17,       6428,  17.9,   1.7, 119.5,  48.5,  17.7,  30.6,  21.7,  23.9,  21.4,  28.8,   7.6,  95.2,  13.5,  48.5,  17.6,  35.9,  48.0
2026071910020807,1,07182305,17,       6669,  13.4,   1.8, 124.0,  49.8,  17.8,  31.2,  21.3,  22.3,  22.2,  26.9,   7.7,  98.8,  13.8,  46.8,  17.5,  36.2,  45.6
