レースID,区分,月日時分,頭数,馬連票数,馬01-02,馬01-03,馬01-04,馬01-05,馬01-06,馬01-07,馬01-08,馬01-09,馬01-10,馬01-11,馬01-12,馬01-13,馬01-14,馬01-15,馬01-16,馬01-17,馬01-18,馬02-03,馬02-04,馬02-05,馬02-06,馬02-07,馬02-08,馬02-09,馬02-10,馬02-11,馬02-12,馬02-13,馬02-14,馬02-15,馬02-16,馬02-17,馬02-18,馬03-04,馬03-05,馬03-06,馬03-07,馬03-08,馬03-09,馬03-10,馬03-11,馬03-12,馬03-13,馬03-14,馬03-15,馬03-16,馬03-17,馬03-18,馬04-05,馬04-06,馬04-07,馬04-08,馬04-09,馬04-10,馬04-11,馬04-12,馬04-13,馬04-14,馬04-15,馬04-16,馬04-17,馬04-18,馬05-06,馬05-07,馬05-08,馬05-09,馬05-10,馬05-11,馬05-12,馬05-13,馬05-14,馬05-15,馬05-16,馬05-17,馬05-18,馬06-07,馬06-08,馬06-09,馬06-10,馬06-11,馬06-12,馬06-13,馬06-14,馬06-15,馬06-16,馬06-17,馬06-18,馬07-08,馬07-09,馬07-10,馬07-11,馬07-12,馬07-13,馬07-14,馬07-15,馬07-16,馬07-17,馬07-18,馬08-09,馬08-10,馬08-11,馬08-12,馬08-13,馬08-14,馬08-15,馬08-16,馬08-17,馬08-18,馬09-10,馬09-11,馬09-12,馬09-13,馬09-14,馬09-15,馬09-16,馬09-17,馬09-18,馬10-11,馬10-12,馬10-13,馬10-14,馬10-15,馬10-16,馬10-17,馬10-18,馬11-12,馬11-13,馬11-14,馬11-15,馬11-16,馬11-17,馬11-18,馬12-13,馬12-14,馬12-15,馬12-16,馬12-17,馬12-18,馬13-14,馬13-15,馬13-16,馬13-17,馬13-18,馬14-15,馬14-16,馬14-17,馬14-18,馬15-16,馬15-17,馬15-18,馬16-17,馬16-18,馬17-18
2026062702010501,1,06270939,16,     318889,  32.8,1229.5, 636.9, 787.0, 119.0, 168.0, 463.6, 864.1,  53.9, 627.2, 729.0,1658.6, 208.2,  71.4, 102.8,   0.0,   0.0, 272.1, 156.9, 204.9,   8.1,  19.9,  90.8, 229.8,   8.2, 125.9, 162.4, 367.2,  17.8,   7.7,  13.9,   0.0,   0.0,1471.0,2094.3, 720.5,1380.6,1915.8,3688.6, 714.2,2745.9,2776.8,4188.7,1412.2, 501.2,1004.6,   0.0,   0.0,1594.4, 332.1, 694.2, 595.5,1681.2, 310.0,1765.2,1669.8,2309.7, 805.0, 265.7, 239.4,   0.0,   0.0, 581.5, 901.9,1636.6,2149.0, 457.6,2422.9,1901.0,3744.5,1017.0, 367.2, 568.1,   0.0,   0.0,  68.1, 273.6, 555.3,  27.8, 290.4, 432.8, 992.5,  21.2,  26.3,  38.2,   0.0,   0.0, 354.0, 946.8,  39.1, 406.4, 514.8,1396.2,  93.5,  47.7,  86.2,   0.0,   0.0,1372.9, 225.6,1564.1,2399.4,2059.4, 426.8, 178.0, 227.5,   0.0,   0.0, 472.5,1858.1,2471.3,3922.8,1154.8, 401.8, 474.3,   0.0,   0.0, 314.8, 312.8, 610.2,  42.5,  14.0,  25.4,   0.0,   0.0,1471.0,2776.8, 660.7, 303.9, 369.9,   0.0,   0.0,2840.6, 555.3, 252.4, 386.7,   0.0,   0.0,1453.7, 492.3, 619.3,   0.0,   0.0,  38.9,  49.7,   0.0,   0.0,  17.8,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010501,1,06270901,16,     157868,  37.1,1122.4, 668.5,1011.1, 116.3, 181.2, 432.3, 899.6,  50.5, 582.6, 691.2,1723.2, 217.3,  81.2, 102.9,   0.0,   0.0, 259.2, 173.0, 196.0,   7.1,  22.7,  89.5, 218.4,   8.3, 118.0, 162.2, 389.6,  16.1,   8.5,  14.9,   0.0,   0.0,1274.4,1548.7, 657.7,1529.3,1548.7,2845.2, 741.5,2352.8,2603.1,3306.6,1301.5, 489.3, 913.0,   0.0,   0.0,1176.4, 313.7, 755.2, 588.2,1344.4, 341.7,1529.3,1799.2,2446.9, 764.6, 250.1, 214.6,   0.0,   0.0, 529.6, 926.8,1261.3,1747.8, 429.2,2308.4,1548.7,3137.1, 861.6, 376.4, 483.5,   0.0,   0.0,  80.3, 257.5, 522.8,  24.7, 317.7, 426.2,1063.8,  17.1,  27.0,  36.9,   0.0,   0.0, 336.1, 926.8,  36.8, 411.9, 617.9,1631.3,  99.3,  60.8,  90.6,   0.0,   0.0,1287.8, 225.3,1248.4,2109.4,2039.1, 429.2, 186.7, 199.2,   0.0,   0.0, 421.8,1653.3,2073.6,3946.7, 933.9, 426.2, 426.2,   0.0,   0.0, 315.3, 342.7, 661.3,  40.0,  14.5,  24.7,   0.0,   0.0,1315.5,2780.6, 683.5, 327.1, 342.7,   0.0,   0.0,2845.2, 630.6, 291.3, 385.9,   0.0,   0.0,1390.3, 489.3, 503.4,   0.0,   0.0,  42.3,  55.7,   0.0,   0.0,  18.3,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010501,1,06262058,16,       6847,  28.2, 442.2, 353.7, 482.4, 189.5, 189.5, 530.6, 379.0,  59.6, 442.2, 196.5,1061.2, 279.2,  73.7, 126.3,   0.0,   0.0, 112.9,  89.9, 123.4,  11.4,  15.9,  96.4, 204.0,   8.2,  73.7,  68.9, 312.1,  25.0,   6.8,  12.9,   0.0,   0.0, 589.6,2653.2, 482.4,1326.6, 884.4,1768.8, 589.6,1768.8,1768.8,5306.4,1326.6, 279.2, 884.4,   0.0,   0.0,1768.8, 265.3,1061.2, 379.0,1326.6, 230.7, 884.4,1326.6, 589.6, 482.4,  96.4, 204.0,   0.0,   0.0, 589.6,1061.2,1768.8,2653.2, 294.8,5306.4,2653.2,5306.4, 884.4, 171.1, 312.1,   0.0,   0.0, 108.2, 442.2, 442.2,  40.5, 294.8, 294.8,1768.8,  81.6,  27.3,  64.7,   0.0,   0.0, 294.8,1326.6,  34.9, 171.1, 379.0, 758.0,  91.4,  64.7, 115.3,   0.0,   0.0,1768.8, 196.5,1326.6,1768.8,5306.4, 312.1, 160.8, 408.1,   0.0,   0.0, 312.1,1326.6,2653.2,1326.6,1061.2, 379.0, 758.0,   0.0,   0.0, 151.6, 182.9, 530.6,  62.4,  12.5,  25.3,   0.0,   0.0,1768.8,1768.8, 408.1, 151.6, 379.0,   0.0,   0.0,2653.2, 294.8,  91.4, 139.6,   0.0,   0.0,1061.2, 230.7,1326.6,   0.0,   0.0,  36.5,  71.7,   0.0,   0.0,  16.7,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010501,4,06270955,16,     727815,  38.2,1735.5, 778.0,1267.5, 150.7, 190.6, 439.9,1333.4,  73.4, 846.9, 628.8,2321.2, 235.7,  84.6, 103.6,   0.0,   0.0, 303.2, 127.0, 217.0,   9.3,  19.0,  34.7, 157.9,   9.3, 158.5, 163.8, 392.2,  22.4,   7.5,   9.7,   0.0,   0.0,2194.7,3547.5,1139.5,1931.7,2907.5,6000.6,1025.5,3944.4,3317.9,6635.9,1905.5, 723.1,1259.0,   0.0,   0.0,2379.9, 352.9, 658.1, 778.0,2673.2, 402.6,2441.8,2058.6,3260.4, 613.7, 260.0, 257.4,   0.0,   0.0, 626.7,1141.8,1602.4,3460.4, 633.0,3397.9,2340.4,5081.5, 906.8, 453.7, 509.0,   0.0,   0.0,  71.5, 105.7, 500.4,  35.5, 390.6, 540.8,1184.9,  32.3,  30.7,  27.4,   0.0,   0.0, 215.2,1034.9,  48.1, 548.1, 450.8,1819.5, 109.8,  45.5,  51.0,   0.0,   0.0, 917.1, 143.1,1195.0,1314.8,2724.9, 141.5,  77.1,  60.9,   0.0,   0.0, 625.3,2953.1,3133.6,6267.2, 618.4, 304.2, 237.7,   0.0,   0.0, 400.8, 436.5, 827.0,  55.7,  17.4,  28.2,   0.0,   0.0,1925.1,4028.9, 590.0, 336.3, 290.1,   0.0,   0.0,3223.1, 594.3, 263.0, 264.1,   0.0,   0.0,1259.0, 640.9, 633.7,   0.0,   0.0,  40.4,  28.2,   0.0,   0.0,  17.6,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010502,1,06271009,12,     224847,  77.8, 720.0, 330.0, 167.3, 180.7, 119.4, 323.2, 678.0,  92.6, 267.2, 227.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 184.2,  73.2,  11.1,  14.3,  12.6,  36.6,  75.3,   7.7,  58.1,  28.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 978.9, 457.3, 485.3, 308.9, 688.7,1025.0, 258.1, 931.8, 523.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 120.0, 193.1, 149.8, 254.7, 643.0, 121.9, 511.0, 374.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  27.0,  17.8,  46.9, 221.1,  12.1, 103.7,  46.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  27.6,  69.5, 182.2,  18.6, 111.8,  58.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  51.6, 138.4,   9.1,  81.5,  27.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 311.7,  34.9, 176.9, 119.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  93.6, 434.5, 280.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  44.8,  19.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 163.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010502,1,06270901,12,      59221,  82.3, 527.5, 211.5, 156.6, 161.0, 142.5, 298.0, 509.9,  95.8, 262.2, 213.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 152.4,  61.8,  10.6,  15.1,  15.0,  37.6,  86.7,   8.8,  59.2,  29.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 596.0, 305.9, 388.9, 283.3, 454.4, 706.0, 188.0, 706.0, 358.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  68.3, 147.5, 155.0, 173.8, 413.4,  81.9, 533.6, 250.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  25.0,  17.6,  34.7, 150.4,  10.4,  97.0,  32.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  35.7,  68.1, 143.4,  17.5, 113.0,  50.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  57.6, 130.3,  11.9, 104.7,  39.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 234.1,  34.0, 146.1, 109.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  87.9, 421.0, 216.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  42.8,  18.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 179.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010502,1,06262053,12,       2546, 123.3, 394.6, 246.6, 179.3, 219.2, 116.0, 219.2, 197.3,  98.6, 986.5, 657.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 103.8,  65.7,  20.9,  18.1,  17.6,  37.9,  53.3,  10.0,  42.8,  29.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 657.7, 219.2, 246.6, 197.3, 219.2, 281.8, 140.9, 281.8, 328.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  75.8, 151.7, 179.3, 219.2, 394.6,  73.0, 246.6, 246.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  30.8,  21.9,  31.8,  82.2,  12.5,  63.6,  31.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  32.3,  54.8,  70.4,  18.1,  73.0,  37.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  49.3,  85.7,  10.6, 131.5,  48.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  82.2,  24.6, 164.4,  59.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  26.6, 328.8, 246.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  40.2,  22.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 164.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010502,4,06271026,12,     589494,  94.8,1080.0, 441.4, 190.9, 208.1, 137.1, 338.4, 829.1,  92.3, 346.8, 274.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 194.0,  91.9,  12.6,  13.9,  13.1,  34.5,  86.2,   6.9,  63.1,  31.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,1459.6, 337.6, 455.0, 361.7, 628.4,1692.0, 149.3,1028.9, 646.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 140.1, 202.5, 173.4, 257.5, 894.0,  65.1, 553.7, 376.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  29.4,  19.1,  51.4, 188.3,  10.6, 116.6,  56.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  25.4,  69.3, 209.2,  18.3, 112.4,  67.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  55.7, 162.6,   9.9,  88.0,  34.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 306.2,  16.3, 187.8, 126.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  81.0, 484.9, 315.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  43.9,  23.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 156.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010503,1,06271039,12,     111285,  70.9, 119.7,  71.9, 279.1,  52.2, 154.2,  88.8,   3.6, 147.6, 329.1,  27.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 390.2, 177.8, 574.9, 142.0, 330.4, 265.3,  16.3, 501.4, 695.5, 125.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 344.9, 845.5, 298.4, 737.1, 349.1,  24.4, 737.1,1181.4, 142.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 862.4, 194.2, 418.6, 292.3,  12.0, 410.6, 634.1,  97.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 624.9, 980.0, 624.9,  49.5, 673.7,1658.5, 300.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 188.3, 203.8,   9.4, 338.2, 668.5,  64.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 356.3,  21.8, 603.1,1120.0, 192.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  13.9, 607.3, 907.8, 120.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  22.3,  58.6,   4.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 853.9, 123.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 399.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010503,1,06270857,12,      28211,  61.7,  94.2,  74.3, 220.8,  56.2, 155.0,  74.1,   3.8, 206.2, 370.5,  27.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 273.2, 127.1, 376.9,  99.8, 202.4, 182.1,  16.3, 465.1, 520.5, 103.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 331.2, 404.8, 157.2, 428.6, 254.2,  20.0, 475.2, 607.3, 139.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 607.3, 200.5, 303.6, 216.4,  13.0, 455.4, 496.8, 116.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 370.5, 607.3, 383.5,  40.1, 728.7,1366.4, 269.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 164.3, 169.4,  10.7, 347.0, 347.0,  78.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 232.5,  20.4, 575.3, 950.5, 195.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  14.7, 428.6, 590.9, 107.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  27.2,  49.4,   4.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 643.0, 242.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0, 533.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
