ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026072501010101,1,07250949,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010101,1,07250901,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010101,1,07242058,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010101,4,07251005,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010102,1,07251019,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010102,1,07250901,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010102,1,07242052,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010102,4,07251035,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072501010103,1,07251049,10,      15998,   0.0,  99.9,  49.2, 156.9, 144.1,  77.9,  88.5, 151.2,   0.0,  34.1,  87.3,  58.4,  54.1,  41.6,  86.1,   0.0,  24.5,   9.0,   5.4,   5.0,  15.9,   0.0,  60.4,  42.3,  41.3,  81.0,   0.0,  14.2,  14.0,  34.2,   0.0,   7.8,  20.3,  53.4,  16.8, 179.6
2026072501010103,1,07250856,10,       4376,   0.0,  58.4,  52.9,  91.6,  80.7,  69.2,  94.2, 116.9,   0.0,  27.5,  84.7,  43.4,  46.4,  38.5,  75.3,   0.0,  21.1,   8.9,   5.4,   5.9,  15.2,   0.0,  77.0,  42.3,  41.8,  99.7,   0.0,  14.7,  15.5,  35.6,   0.0,   8.3,  19.1,  62.8,  15.7, 141.3
2026072501010103,1,07242053,10,        202,   0.0,  19.5,  39.1,   0.0,  52.1,  39.1,  78.2,  78.2,   0.0, 156.5,  39.1,  22.3,  52.1, 156.5,  52.1,   0.0,  78.2,  19.5,   5.3,   7.4,  26.0,   0.0,  39.1,  39.1,  39.1,  52.1,   0.0,   9.7,  17.3,  52.1,   0.0,   5.2,  19.5,  78.2,  15.6, 156.5
2026072501010103,4,07251107,10,      64180,   0.0, 271.8,  96.3, 394.7,  73.5, 180.2, 123.4, 259.0,   0.0,  21.7, 158.4, 101.9,  52.3,  49.0, 106.9,   0.0,  17.5,   9.8,   4.9,   6.0,  10.7,   0.0,  46.9,  39.2,  48.9,  65.6,   0.0,  12.3,  13.9,  15.9,   0.0,   9.6,  24.8,  57.1,  27.5,  62.0
