ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071902011201,1,07190939,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011201,1,07190902,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011201,1,07182059,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011201,4,07190956,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071902011202,1,07191009,10,      19352,   0.0, 147.0, 230.7,  84.2, 194.7, 263.1,  73.8, 110.2,   0.0, 151.4,  36.2,  70.7, 107.8,  28.9,  51.0,   0.0,  76.9, 132.7, 130.4,  61.4,  87.7,   0.0,  11.7,  18.0,   2.9,   6.8,   0.0,  59.7,  12.5,  25.6,   0.0,  17.8,  34.6,  19.3,   6.2, 103.4
2026071902011202,1,07190902,10,       5458,   0.0,  82.9, 169.1,  67.1, 211.4, 140.9,  59.5,  89.9,   0.0, 114.3,  37.1,  60.4,  75.5,  29.9,  45.4,   0.0,  70.4, 100.7,  70.4,  47.5,  63.1,   0.0,  18.3,  17.1,   3.1,   7.6,   0.0,  57.1,  15.1,  22.3,   0.0,  16.5,  23.4,  27.4,   5.6,  76.9
2026071902011202,1,07182055,10,        488,   0.0,  94.5,  94.5,  63.0,   0.0,  94.5,  63.0, 189.1,   0.0,  94.5,  75.6,  63.0,  37.8,  47.2,  42.0,   0.0,  37.8, 189.1,  47.2,  31.5,  37.8,   0.0,  25.2,  16.4,   3.9,   7.1,   0.0,  37.8,  13.5,  15.7,   0.0,   9.2,  19.9,  54.0,   7.7,  27.0
2026071902011202,4,07191026,10,      57613,   0.0, 258.0, 346.1,  40.2, 323.5, 338.2,  70.2, 170.4,   0.0, 261.1,  33.7, 111.3, 151.3,  37.8,  77.1,   0.0,  87.7, 238.7, 201.1,  88.4, 156.1,   0.0,  14.7,  19.2,   2.3,   6.1,   0.0,  78.4,  14.2,  30.0,   0.0,  19.9,  48.7,  20.8,   6.2, 150.8
2026071902011203,1,07191039,14,      21910,   0.0,  77.1,  57.9, 129.6,  86.1,  54.4,  33.2,  57.9,   0.0,  36.2,  95.3,  70.4,  33.6,  22.5,  33.5, 190.7,  52.8,  33.8,  13.0,  12.2,  11.8, 361.2,  80.0,  44.3,  29.4,  41.9, 232.6,  21.9,  16.2,  21.3, 130.6,   7.6,   7.9,  19.2,   6.9, 127.6
2026071902011203,1,07190858,14,       5639,   0.0,  56.7,  67.2, 115.0,  78.0,  56.0,  35.8,  50.8,   0.0,  36.7,  75.3,  62.4,  35.2,  29.1,  36.1, 156.0,  55.3,  29.7,  10.6,  10.4,  10.1, 257.0,  84.0,  42.0,  26.4,  35.8, 136.5,  22.1,  18.8,  19.0, 161.8,  10.4,   7.9,  29.5,   7.0,  87.4
