枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,B,1,,,,,ウインシャーガス,,牝,4,,鮫島克駿,56,,6.0,478,- 4,(栗),杉山晴紀,,ウイン,コスモヴューファーム,黒鹿,5月11日
2,B,2,,,,,ヤコブセン,,牡,4,*,横山琉人,58,,227.7,498,- 8,(美),斎藤誠,,坂口直大,宮内牧場,栗毛,4月 3日
3,B,3,,,,,テルアスワッド,,セ,4,*,北村友一,58,,52.7,476,+ 2,(栗),須貝尚介,,金子真人ホールディングス,社台ファーム,鹿毛,3月 8日
3,,4,,,,,ルージュマローネ,,牝,4,*,横山和生,56,,48.7,478,+ 2,(美),栗田徹,,東京ホースレーシング,社台ファーム,栗毛,2月 9日
4,B,5,,,,,キングベルベット,,セ,5,*,丹内祐次,58,,15.8,488,+ 4,(美),清水英克,転厩初戦,嶋田一成,服部牧場,鹿毛,3月11日
4,,6,,,,,レイザリオ,,牡,4,*,斎藤新,58,,103.2,486,  0,(栗),橋口慎介,,ケイズジャパン,ノーザンファーム,栗毛,4月30日
5,B,7,,,,,ジュンラトゥール,,牡,5,*,浜中俊,58,,26.2,446,-12,(栗),浜田多実,,河合純二,田中裕之,黒鹿,3月14日
5,,8,,,,,マーウォルス,,牡,4,,佐々木大,58,,76.4,468,- 2,(栗),茶木太樹,,サンデーレーシング,坂東牧場,栗毛,3月31日
6,,9,,,,,シーズザスローン,,牡,3,,武豊,55,,4.1,478,  0,(栗),松永幹夫,,前田幸貴,ノースヒルズ,鹿毛,3月 6日
6,,10,,,,,マンダリンボレロ,,牡,6,*,遠藤汰月,58,,78.2,500,+ 4,(美),伊藤伸一,,田頭勇貴,白瀬盛雄,栗毛,3月27日
7,,11,,,,,メイショウタイピン,,牡,4,,池添謙一,58,,29.0,502,+ 2,(栗),飯田祐史,,松本好隆,松栄牧場,栗毛,4月21日
7,,12,,,,,タガノエルー,,牡,3,*,古川吉洋,55,,1.9,464,+ 4,(栗),宮徹,,八木良司,新冠タガノファーム,栗毛,4月12日
8,B,13,,,,,フォーワンセルフ,,牡,7,*,荻野琢真,58,,354.3,526,- 2,(美),小手川準,,アドバンス・サッポロ,碧雲牧場,栗毛,5月 1日
8,B,14,,,,,プライベートアイズ,,牡,4,*,横山武史,58,,8.5,490,- 4,(栗),小栗実,,中水英紀,スマイルファーム,鹿毛,4月23日
