年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,1,未勝利,３歳・未勝利(馬齢)(混)[指定],ダート,1000,8,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,カプリースカラー,,牝,3,*,丹内祐次,55,,10.9,(美),金成貴史,,藤沼利夫,リトルブルーファーム,鹿毛,3月 7日
2,B,2,,,,,テイクマイハート,,牝,3,*,池添謙一,55,,27.3,(栗),森田直行,,三田昌宏,社台ファーム,芦毛,5月 6日
3,,3,,,,,カッサンドラ,,牝,3,,横山琉人,55,,1.5,(栗),高橋義忠,,加藤徹,大狩部牧場,鹿毛,4月 8日
4,,4,,,,,クリコイーコ,,牝,3,*,吉田隼人,55,,22.5,(栗),荒川義之,,栗本依利子,木村牧場,黒鹿,3月28日
5,B,5,,,,,アイビーミャーオ,,牝,3,*,舟山瑠泉,54,☆,6.3,(栗),小林真也,,石坂茂ラボ,高昭牧場,鹿毛,3月10日
6,,6,,,,,ロングフルスペック,,牝,3,,古川吉洋,55,,16.9,(栗),大根田裕,,中井敏雄,フジワラフアーム,鹿毛,3月23日
7,,7,,,,,カレンココナ,,牝,3,*,小林美駒,52,▲,6.2,(栗),小林真也,,鈴木隆司,高柳隆男,栗毛,4月14日
8,B,8,,,,,レヴヴィ,,牝,3,*,松本大輝,55,,18.3,(栗),新谷功一,(外),前田幸治,"Russell Jones",鹿毛,2月22日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,2,未勝利*,２歳・未勝利(馬齢)(混)[指定],芝,1200,8,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,サノノベリー,,牝,2,,舟山瑠泉,54,☆,(美),天間昭一,,佐野信幸,新井昭二牧場,芦毛,2月16日
2,,2,,,,,ヴィヴィアンリーチ,,牝,2,,小林美駒,52,▲,(栗),東田明士,,ヒダカ・ブリーダーズ・ユニオン,辻牧場,鹿毛,5月 8日
3,,3,,,,,テイクケア,,牝,2,,横山琉人,55,,(美),和田正一,,阿津昌弘,上水牧場,黒鹿,2月18日
4,,4,,,,,コックニー,,牡,2,*,丹内祐次,55,,(美),田中剛,,ゴドルフィン,ダーレー・ジャパン・ファーム,鹿毛,2月10日
5,,5,,,,,ヌーンベルク,,牝,2,,横山武史,55,,(美),武井亮,,KHレーシング,ハクレイファーム,鹿毛,2月17日
6,,6,,,,,ライフイズアート,,牝,2,,岩田康誠,55,,(美),青木孝文,,石川秀守,白井吉美,栗毛,4月29日
7,,7,,,,,シガレス,,牝,2,,和田陽希,52,▲,(栗),武幸四郎,,中村祐子,田湯牧場,栗毛,5月28日
8,,8,,,,,トーセンルルド,,牝,2,,佐々木大,55,,(美),杉浦宏昭,,島川隆哉,エスティファーム,栗毛,1月28日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,3,未勝利,３歳・未勝利(馬齢)[指定],ダート,1700,10,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
